driver_id,lap,position,time_ms
lewis-hamilton,1,1,108108
nico-rosberg,1,2,108740
kimi-raikkonen,1,3,109528
daniel-ricciardo,1,4,110484
sebastian-vettel,1,5,111075
sergio-perez,1,6,113301
nico-hulkenberg,1,7,113605
fernando-alonso,1,8,114482
felipe-massa,1,9,115131
valtteri-bottas,1,10,115579
jolyon-palmer,1,11,116116
jenson-button,1,12,116932
daniil-kvyat,1,13,117474
felipe-nasr,1,14,118063
romain-grosjean,1,15,118481
esteban-gutierrez,1,16,118909
esteban-ocon,1,17,120008
marcus-ericsson,1,18,120515
max-verstappen,1,19,120841
carlos-sainz-jr,1,20,121674
pascal-wehrlein,1,21,122104
kevin-magnussen,1,22,125231
lewis-hamilton,2,1,106846
nico-rosberg,2,2,106982
kimi-raikkonen,2,3,107202
daniel-ricciardo,2,4,107079
sebastian-vettel,2,5,107175
nico-hulkenberg,2,6,107123
sergio-perez,2,7,108331
fernando-alonso,2,8,108621
felipe-massa,2,9,109051
valtteri-bottas,2,10,109166
jolyon-palmer,2,11,109308
jenson-button,2,12,109603
daniil-kvyat,2,13,109800
felipe-nasr,2,14,110156
romain-grosjean,2,15,110194
max-verstappen,2,16,108365
esteban-gutierrez,2,17,110584
esteban-ocon,2,18,110824
carlos-sainz-jr,2,19,110753
pascal-wehrlein,2,20,111213
marcus-ericsson,2,21,113559
kevin-magnussen,2,22,133467
lewis-hamilton,3,1,106339
nico-rosberg,3,2,106394
kimi-raikkonen,3,3,106479
daniel-ricciardo,3,4,106585
sebastian-vettel,3,5,106517
nico-hulkenberg,3,6,106797
sergio-perez,3,7,106801
fernando-alonso,3,8,108133
valtteri-bottas,3,9,107886
felipe-massa,3,10,109244
jolyon-palmer,3,11,108774
jenson-button,3,12,108962
daniil-kvyat,3,13,109251
felipe-nasr,3,14,109211
max-verstappen,3,15,108596
esteban-gutierrez,3,16,109274
romain-grosjean,3,17,111034
esteban-ocon,3,18,109859
carlos-sainz-jr,3,19,108957
pascal-wehrlein,3,20,108816
marcus-ericsson,3,21,109446
kevin-magnussen,3,22,108744
lewis-hamilton,4,1,106292
nico-rosberg,4,2,106519
kimi-raikkonen,4,3,106658
daniel-ricciardo,4,4,106711
