driver_id,lap,position,time_ms
charles-leclerc,1,1,91929
george-russell,1,2,92694
lewis-hamilton,1,3,95261
isack-hadjar,1,4,96046
arvid-lindblad,1,5,96081
lando-norris,1,6,96458
kimi-antonelli,1,7,96966
esteban-ocon,1,8,97500
pierre-gasly,1,9,97980
fernando-alonso,1,10,98271
gabriel-bortoleto,1,11,98755
alexander-albon,1,12,99376
oliver-bearman,1,13,99765
carlos-sainz-jr,1,14,99815
valtteri-bottas,1,15,100850
max-verstappen,1,16,101333
franco-colapinto,1,17,101613
liam-lawson,1,18,102188
sergio-perez,1,19,102557
lance-stroll,1,20,103370
george-russell,2,1,85007
charles-leclerc,2,2,86212
lewis-hamilton,2,3,84626
isack-hadjar,2,4,85987
arvid-lindblad,2,5,87218
lando-norris,2,6,87344
kimi-antonelli,2,7,87129
esteban-ocon,2,8,87035
pierre-gasly,2,9,87281
fernando-alonso,2,10,87598
gabriel-bortoleto,2,11,87538
oliver-bearman,2,12,87321
alexander-albon,2,13,87780
carlos-sainz-jr,2,14,87980
max-verstappen,2,15,86828
franco-colapinto,2,16,88166
liam-lawson,2,17,88537
valtteri-bottas,2,18,90152
sergio-perez,2,19,88763
lance-stroll,2,20,88773
charles-leclerc,3,1,85453
george-russell,3,2,86444
lewis-hamilton,3,3,84874
isack-hadjar,3,4,85556
arvid-lindblad,3,5,85497
kimi-antonelli,3,6,85463
lando-norris,3,7,86863
esteban-ocon,3,8,86567
pierre-gasly,3,9,86371
gabriel-bortoleto,3,10,86324
oliver-bearman,3,11,86384
fernando-alonso,3,12,88035
alexander-albon,3,13,87512
max-verstappen,3,14,87096
carlos-sainz-jr,3,15,88093
franco-colapinto,3,16,86935
liam-lawson,3,17,86869
sergio-perez,3,18,88094
valtteri-bottas,3,19,89219
lance-stroll,3,20,88580
charles-leclerc,4,1,84553
george-russell,4,2,84789
lewis-hamilton,4,3,85066
isack-hadjar,4,4,85342
arvid-lindblad,4,5,86072
kimi-antonelli,4,6,85411
lando-norris,4,7,85857
esteban-ocon,4,8,86186
pierre-gasly,4,9,85894
gabriel-bortoleto,4,10,86032
oliver-bearman,4,11,85920
fernando-alonso,4,12,87424
max-verstappen,4,13,86571
alexander-albon,4,14,87911
carlos-sainz-jr,4,15,87216
