driver_id,lap,position,time_ms
lando-norris,1,1,88861
oscar-piastri,1,2,90706
charles-leclerc,1,3,94202
lewis-hamilton,1,4,96740
george-russell,1,5,97687
pierre-gasly,1,6,100322
alexander-albon,1,7,102177
gabriel-bortoleto,1,8,102691
liam-lawson,1,9,104886
fernando-alonso,1,10,105927
franco-colapinto,1,11,107783
oliver-bearman,1,12,109434
lance-stroll,1,13,110757
esteban-ocon,1,14,111782
yuki-tsunoda,1,15,114268
isack-hadjar,1,16,117087
nico-hulkenberg,1,17,118625
lando-norris,2,1,114426
oscar-piastri,2,2,113508
charles-leclerc,2,3,111532
lewis-hamilton,2,4,110441
george-russell,2,5,111333
pierre-gasly,2,6,110256
alexander-albon,2,7,109602
gabriel-bortoleto,2,8,109849
liam-lawson,2,9,108551
fernando-alonso,2,10,108453
franco-colapinto,2,11,107447
oliver-bearman,2,12,107141
lance-stroll,2,13,107622
esteban-ocon,2,14,107393
isack-hadjar,2,15,102317
yuki-tsunoda,2,16,106849
nico-hulkenberg,2,17,104918
lando-norris,3,1,113022
oscar-piastri,3,2,112637
charles-leclerc,3,3,111593
lewis-hamilton,3,4,110612
george-russell,3,5,109154
pierre-gasly,3,6,108045
alexander-albon,3,7,107182
gabriel-bortoleto,3,8,106776
liam-lawson,3,9,106296
fernando-alonso,3,10,105782
franco-colapinto,3,11,105238
oliver-bearman,3,12,104216
lance-stroll,3,13,102903
esteban-ocon,3,14,102552
yuki-tsunoda,3,15,101193
nico-hulkenberg,3,16,99362
isack-hadjar,3,17,103989
lando-norris,4,1,70254
oscar-piastri,4,2,70527
charles-leclerc,4,3,70935
lewis-hamilton,4,4,71400
george-russell,4,5,71671
pierre-gasly,4,6,71859
alexander-albon,4,7,71975
gabriel-bortoleto,4,8,72120
liam-lawson,4,9,72350
fernando-alonso,4,10,72463
franco-colapinto,4,11,72585
oliver-bearman,4,12,72690
lance-stroll,4,13,72717
esteban-ocon,4,14,72537
yuki-tsunoda,4,15,72544
nico-hulkenberg,4,16,72316
isack-hadjar,4,17,72286
lando-norris,5,1,69858
