driver_id,lap,position,time_ms
george-russell,1,1,111904
oscar-piastri,1,2,113184
charles-leclerc,1,3,113667
lando-norris,1,4,114469
isack-hadjar,1,5,114600
lewis-hamilton,1,6,115806
max-verstappen,1,7,116110
pierre-gasly,1,8,117497
franco-colapinto,1,9,118035
liam-lawson,1,10,118485
alexander-albon,1,11,119470
oliver-bearman,1,12,119475
esteban-ocon,1,13,120629
arvid-lindblad,1,14,121360
carlos-sainz-jr,1,15,122768
nico-hulkenberg,1,16,122779
kimi-antonelli,1,17,123131
gabriel-bortoleto,1,18,124323
sergio-perez,1,19,125274
fernando-alonso,1,20,125384
valtteri-bottas,1,21,126766
lance-stroll,1,22,127887
george-russell,2,1,109535
oscar-piastri,2,2,109807
charles-leclerc,2,3,110383
isack-hadjar,2,4,109976
lando-norris,2,5,110202
max-verstappen,2,6,109236
lewis-hamilton,2,7,110728
pierre-gasly,2,8,110267
franco-colapinto,2,9,110447
liam-lawson,2,10,111286
oliver-bearman,2,11,111001
alexander-albon,2,12,111801
esteban-ocon,2,13,111092
arvid-lindblad,2,14,111669
carlos-sainz-jr,2,15,111382
nico-hulkenberg,2,16,111481
kimi-antonelli,2,17,111637
gabriel-bortoleto,2,18,111822
sergio-perez,2,19,111131
fernando-alonso,2,20,112810
valtteri-bottas,2,21,111987
lance-stroll,2,22,112153
george-russell,3,1,108858
oscar-piastri,3,2,109502
charles-leclerc,3,3,109274
isack-hadjar,3,4,108833
max-verstappen,3,5,109023
lando-norris,3,6,110919
lewis-hamilton,3,7,109399
pierre-gasly,3,8,109257
franco-colapinto,3,9,109717
liam-lawson,3,10,110403
oliver-bearman,3,11,109980
alexander-albon,3,12,110388
esteban-ocon,3,13,110748
arvid-lindblad,3,14,110789
carlos-sainz-jr,3,15,110800
kimi-antonelli,3,16,110744
nico-hulkenberg,3,17,111411
gabriel-bortoleto,3,18,110386
sergio-perez,3,19,110991
valtteri-bottas,3,20,112126
fernando-alonso,3,21,112833
lance-stroll,3,22,112082
george-russell,4,1,108619
oscar-piastri,4,2,109039
isack-hadjar,4,3,109322
max-verstappen,4,4,109457
charles-leclerc,4,5,110587
lando-norris,4,6,109477
lewis-hamilton,4,7,109909
pierre-gasly,4,8,109380
franco-colapinto,4,9,109832
liam-lawson,4,10,109949
oliver-bearman,4,11,110059
alexander-albon,4,12,110062
esteban-ocon,4,13,109775
arvid-lindblad,4,14,110256
carlos-sainz-jr,4,15,110298
kimi-antonelli,4,16,109951
nico-hulkenberg,4,17,110698
gabriel-bortoleto,4,18,110326
sergio-perez,4,19,110080
valtteri-bottas,4,20,111848
fernando-alonso,4,21,112798
lance-stroll,4,22,112358
george-russell,5,1,108169
oscar-piastri,5,2,108716
isack-hadjar,5,3,108447
max-verstappen,5,4,107851
charles-leclerc,5,5,109163
lando-norris,5,6,109137
lewis-hamilton,5,7,108861
pierre-gasly,5,8,109343
franco-colapinto,5,9,109295
liam-lawson,5,10,109578
oliver-bearman,5,11,109304
alexander-albon,5,12,109551
esteban-ocon,5,13,109445
arvid-lindblad,5,14,110251
kimi-antonelli,5,15,108913
carlos-sainz-jr,5,16,111059
nico-hulkenberg,5,17,110405
gabriel-bortoleto,5,18,110552
sergio-perez,5,19,110381
valtteri-bottas,5,20,111968
fernando-alonso,5,21,112246
lance-stroll,5,22,112352
george-russell,6,1,107932
oscar-piastri,6,2,107999
isack-hadjar,6,3,107994
max-verstappen,6,4,107574
charles-leclerc,6,5,108609
lando-norris,6,6,108245
lewis-hamilton,6,7,108875
pierre-gasly,6,8,109204
franco-colapinto,6,9,108801
oliver-bearman,6,10,109830
liam-lawson,6,11,110767
alexander-albon,6,12,109832
esteban-ocon,6,13,110164
kimi-antonelli,6,14,108245
arvid-lindblad,6,15,110970
carlos-sainz-jr,6,16,110189
nico-hulkenberg,6,17,109807
gabriel-bortoleto,6,18,109835
sergio-perez,6,19,110506
valtteri-bottas,6,20,111927
fernando-alonso,6,21,111698
lance-stroll,6,22,111874
george-russell,7,1,107812
oscar-piastri,7,2,108192
max-verstappen,7,3,107931
isack-hadjar,7,4,109033
charles-leclerc,7,5,108380
lando-norris,7,6,108587
lewis-hamilton,7,7,109061
pierre-gasly,7,8,109233
franco-colapinto,7,9,109367
oliver-bearman,7,10,109671
liam-lawson,7,11,109833
alexander-albon,7,12,109700
esteban-ocon,7,13,109776
kimi-antonelli,7,14,109433
arvid-lindblad,7,15,109981
carlos-sainz-jr,7,16,110414
nico-hulkenberg,7,17,110708
gabriel-bortoleto,7,18,110740
sergio-perez,7,19,110409
valtteri-bottas,7,20,111790
fernando-alonso,7,21,111414
lance-stroll,7,22,111723
george-russell,8,1,107687
oscar-piastri,8,2,108311
max-verstappen,8,3,107919
isack-hadjar,8,4,107935
charles-leclerc,8,5,108620
lando-norris,8,6,108551
lewis-hamilton,8,7,108788
pierre-gasly,8,8,108921
franco-colapinto,8,9,109532
oliver-bearman,8,10,109174
liam-lawson,8,11,109721
alexander-albon,8,12,109519
esteban-ocon,8,13,109499
kimi-antonelli,8,14,109476
arvid-lindblad,8,15,109810
carlos-sainz-jr,8,16,109925
nico-hulkenberg,8,17,109650
gabriel-bortoleto,8,18,110055
sergio-perez,8,19,109926
valtteri-bottas,8,20,111866
fernando-alonso,8,21,112144
george-russell,9,1,108016
oscar-piastri,9,2,108632
max-verstappen,9,3,108868
isack-hadjar,9,4,108248
charles-leclerc,9,5,108925
lando-norris,9,6,109365
lewis-hamilton,9,7,108585
pierre-gasly,9,8,108802
franco-colapinto,9,9,109342
oliver-bearman,9,10,109458
liam-lawson,9,11,109289
alexander-albon,9,12,109667
esteban-ocon,9,13,110037
kimi-antonelli,9,14,109871
arvid-lindblad,9,15,109857
nico-hulkenberg,9,16,109321
carlos-sainz-jr,9,17,111182
gabriel-bortoleto,9,18,110184
sergio-perez,9,19,110061
valtteri-bottas,9,20,112324
fernando-alonso,9,21,112344
george-russell,10,1,107891
oscar-piastri,10,2,108227
max-verstappen,10,3,108019
isack-hadjar,10,4,108643
charles-leclerc,10,5,108411
lando-norris,10,6,108488
lewis-hamilton,10,7,108708
pierre-gasly,10,8,108926
franco-colapinto,10,9,109489
oliver-bearman,10,10,109317
liam-lawson,10,11,109623
alexander-albon,10,12,109249
kimi-antonelli,10,13,108118
esteban-ocon,10,14,110496
arvid-lindblad,10,15,109654
nico-hulkenberg,10,16,110299
carlos-sainz-jr,10,17,109935
gabriel-bortoleto,10,18,109977
sergio-perez,10,19,110451
valtteri-bottas,10,20,111772
fernando-alonso,10,21,111315
george-russell,11,1,107869
oscar-piastri,11,2,108553
max-verstappen,11,3,108557
isack-hadjar,11,4,108366
charles-leclerc,11,5,108422
lando-norris,11,6,108562
lewis-hamilton,11,7,108349
pierre-gasly,11,8,108993
franco-colapinto,11,9,108858
oliver-bearman,11,10,109334
liam-lawson,11,11,110418
alexander-albon,11,12,110332
kimi-antonelli,11,13,110312
esteban-ocon,11,14,109615
arvid-lindblad,11,15,109365
nico-hulkenberg,11,16,109842
carlos-sainz-jr,11,17,109829
gabriel-bortoleto,11,18,110167
sergio-perez,11,19,110082
valtteri-bottas,11,20,112847
fernando-alonso,11,21,112541
george-russell,12,1,107497
oscar-piastri,12,2,108069
max-verstappen,12,3,108407
isack-hadjar,12,4,108143
charles-leclerc,12,5,108107
lando-norris,12,6,108298
lewis-hamilton,12,7,108384
pierre-gasly,12,8,108636
franco-colapinto,12,9,108914
oliver-bearman,12,10,108959
kimi-antonelli,12,11,109236
liam-lawson,12,12,109724
alexander-albon,12,13,110441
esteban-ocon,12,14,109212
arvid-lindblad,12,15,109339
nico-hulkenberg,12,16,109670
carlos-sainz-jr,12,17,109844
gabriel-bortoleto,12,18,109397
sergio-perez,12,19,109611
valtteri-bottas,12,20,112139
fernando-alonso,12,21,112387
george-russell,13,1,107607
oscar-piastri,13,2,108073
max-verstappen,13,3,108001
isack-hadjar,13,4,108130
charles-leclerc,13,5,108072
lando-norris,13,6,108447
lewis-hamilton,13,7,108042
pierre-gasly,13,8,108584
franco-colapinto,13,9,108972
oliver-bearman,13,10,109139
kimi-antonelli,13,11,108135
liam-lawson,13,12,110266
alexander-albon,13,13,109585
esteban-ocon,13,14,109864
arvid-lindblad,13,15,109303
nico-hulkenberg,13,16,109490
carlos-sainz-jr,13,17,110837
gabriel-bortoleto,13,18,111060
sergio-perez,13,19,110760
fernando-alonso,13,20,111300
valtteri-bottas,13,21,112040
george-russell,14,1,107566
oscar-piastri,14,2,107898
max-verstappen,14,3,108011
isack-hadjar,14,4,108011
charles-leclerc,14,5,108108
lando-norris,14,6,108102
lewis-hamilton,14,7,108084
pierre-gasly,14,8,108542
franco-colapinto,14,9,108543
oliver-bearman,14,10,108991
kimi-antonelli,14,11,108066
liam-lawson,14,12,109049
alexander-albon,14,13,109206
esteban-ocon,14,14,109534
arvid-lindblad,14,15,109315
nico-hulkenberg,14,16,109434
carlos-sainz-jr,14,17,109319
gabriel-bortoleto,14,18,109785
sergio-perez,14,19,109704
valtteri-bottas,14,20,111610
fernando-alonso,14,21,113215
george-russell,15,1,108011
oscar-piastri,15,2,107992
max-verstappen,15,3,108132
isack-hadjar,15,4,108180
charles-leclerc,15,5,107810
lando-norris,15,6,108372
lewis-hamilton,15,7,108118
pierre-gasly,15,8,108889
franco-colapinto,15,9,108745
oliver-bearman,15,10,108826
kimi-antonelli,15,11,108062
liam-lawson,15,12,108734
alexander-albon,15,13,109023
esteban-ocon,15,14,109319
arvid-lindblad,15,15,109675
nico-hulkenberg,15,16,109654
carlos-sainz-jr,15,17,109347
gabriel-bortoleto,15,18,109340
sergio-perez,15,19,109710
valtteri-bottas,15,20,111453
fernando-alonso,15,21,110968
george-russell,16,1,107503
oscar-piastri,16,2,107951
max-verstappen,16,3,107942
isack-hadjar,16,4,107883
charles-leclerc,16,5,108217
lewis-hamilton,16,6,109333
lando-norris,16,7,109976
pierre-gasly,16,8,108446
franco-colapinto,16,9,108628
oliver-bearman,16,10,109135
kimi-antonelli,16,11,108472
liam-lawson,16,12,109058
alexander-albon,16,13,109481
esteban-ocon,16,14,109424
arvid-lindblad,16,15,109499
nico-hulkenberg,16,16,109530
carlos-sainz-jr,16,17,110029
gabriel-bortoleto,16,18,109452
sergio-perez,16,19,110170
valtteri-bottas,16,20,112073
fernando-alonso,16,21,111860
george-russell,17,1,107925
oscar-piastri,17,2,107959
max-verstappen,17,3,107687
isack-hadjar,17,4,107909
charles-leclerc,17,5,108082
lewis-hamilton,17,6,108250
lando-norris,17,7,109408
pierre-gasly,17,8,108551
franco-colapinto,17,9,108484
kimi-antonelli,17,10,107852
oliver-bearman,17,11,110029
liam-lawson,17,12,109018
alexander-albon,17,13,108715
esteban-ocon,17,14,109180
arvid-lindblad,17,15,109102
nico-hulkenberg,17,16,109582
carlos-sainz-jr,17,17,109557
gabriel-bortoleto,17,18,109338
sergio-perez,17,19,109857
valtteri-bottas,17,20,111992
fernando-alonso,17,21,111374
george-russell,18,1,107870
oscar-piastri,18,2,108009
max-verstappen,18,3,107916
isack-hadjar,18,4,108021
charles-leclerc,18,5,108053
lewis-hamilton,18,6,108576
lando-norris,18,7,108390
pierre-gasly,18,8,108301
franco-colapinto,18,9,108832
kimi-antonelli,18,10,108053
oliver-bearman,18,11,109104
liam-lawson,18,12,108942
alexander-albon,18,13,109207
esteban-ocon,18,14,109015
arvid-lindblad,18,15,109380
nico-hulkenberg,18,16,109832
gabriel-bortoleto,18,17,109712
carlos-sainz-jr,18,18,111096
sergio-perez,18,19,110019
valtteri-bottas,18,20,111575
fernando-alonso,18,21,112115
george-russell,19,1,107580
oscar-piastri,19,2,108038
max-verstappen,19,3,108454
isack-hadjar,19,4,107598
charles-leclerc,19,5,107923
lewis-hamilton,19,6,108337
lando-norris,19,7,108541
pierre-gasly,19,8,108518
franco-colapinto,19,9,108759
kimi-antonelli,19,10,107860
oliver-bearman,19,11,108793
liam-lawson,19,12,109084
alexander-albon,19,13,108993
esteban-ocon,19,14,109077
arvid-lindblad,19,15,109280
nico-hulkenberg,19,16,109453
gabriel-bortoleto,19,17,109697
carlos-sainz-jr,19,18,109955
sergio-perez,19,19,109695
valtteri-bottas,19,20,112389
fernando-alonso,19,21,112037
george-russell,20,1,107572
oscar-piastri,20,2,107838
max-verstappen,20,3,107838
isack-hadjar,20,4,108321
charles-leclerc,20,5,108124
lewis-hamilton,20,6,108063
lando-norris,20,7,108241
pierre-gasly,20,8,108144
franco-colapinto,20,9,109037
kimi-antonelli,20,10,108009
oliver-bearman,20,11,108638
liam-lawson,20,12,108928
alexander-albon,20,13,108863
esteban-ocon,20,14,108900
arvid-lindblad,20,15,109243
nico-hulkenberg,20,16,109466
gabriel-bortoleto,20,17,109217
sergio-perez,20,18,109796
carlos-sainz-jr,20,19,113455
valtteri-bottas,20,20,112910
fernando-alonso,20,21,117927
george-russell,21,1,107465
oscar-piastri,21,2,107742
max-verstappen,21,3,107663
isack-hadjar,21,4,107547
charles-leclerc,21,5,107780
lewis-hamilton,21,6,108069
lando-norris,21,7,108172
pierre-gasly,21,8,108229
franco-colapinto,21,9,109121
kimi-antonelli,21,10,107732
oliver-bearman,21,11,109172
liam-lawson,21,12,108708
alexander-albon,21,13,108801
esteban-ocon,21,14,108505
arvid-lindblad,21,15,109126
nico-hulkenberg,21,16,109630
gabriel-bortoleto,21,17,108996
sergio-perez,21,18,109494
carlos-sainz-jr,21,19,127727
valtteri-bottas,21,20,111193
george-russell,22,1,107191
oscar-piastri,22,2,107573
max-verstappen,22,3,107655
isack-hadjar,22,4,107806
charles-leclerc,22,5,107819
lewis-hamilton,22,6,107980
lando-norris,22,7,108035
pierre-gasly,22,8,108193
kimi-antonelli,22,9,108331
franco-colapinto,22,10,108899
oliver-bearman,22,11,109055
liam-lawson,22,12,109153
alexander-albon,22,13,109091
esteban-ocon,22,14,108840
arvid-lindblad,22,15,109142
nico-hulkenberg,22,16,109842
gabriel-bortoleto,22,17,109105
sergio-perez,22,18,109893
carlos-sainz-jr,22,19,108923
valtteri-bottas,22,20,111691
george-russell,23,1,107109
oscar-piastri,23,2,107592
max-verstappen,23,3,107385
isack-hadjar,23,4,107444
charles-leclerc,23,5,107569
