driver_id,lap,position,time_ms
oscar-piastri,1,1,98693
george-russell,1,2,99582
lando-norris,1,3,100424
charles-leclerc,1,4,101332
pierre-gasly,1,5,102050
carlos-sainz-jr,1,6,102770
kimi-antonelli,1,7,103363
max-verstappen,1,8,103877
lewis-hamilton,1,9,104568
yuki-tsunoda,1,10,104935
jack-doohan,1,11,105172
fernando-alonso,1,12,105786
esteban-ocon,1,13,106156
alexander-albon,1,14,106629
oliver-bearman,1,15,106874
isack-hadjar,1,16,108113
liam-lawson,1,17,108467
lance-stroll,1,18,108838
gabriel-bortoleto,1,19,109307
nico-hulkenberg,1,20,109482
oscar-piastri,2,1,97492
george-russell,2,2,97817
lando-norris,2,3,97910
charles-leclerc,2,4,98048
pierre-gasly,2,5,98064
carlos-sainz-jr,2,6,98185
kimi-antonelli,2,7,98187
max-verstappen,2,8,98403
lewis-hamilton,2,9,98566
yuki-tsunoda,2,10,98959
jack-doohan,2,11,99172
esteban-ocon,2,12,98883
fernando-alonso,2,13,100514
alexander-albon,2,14,99821
oliver-bearman,2,15,100265
isack-hadjar,2,16,99603
liam-lawson,2,17,100130
lance-stroll,2,18,100250
gabriel-bortoleto,2,19,100450
nico-hulkenberg,2,20,100634
oscar-piastri,3,1,98083
george-russell,3,2,98286
lando-norris,3,3,98417
charles-leclerc,3,4,98463
pierre-gasly,3,5,98418
carlos-sainz-jr,3,6,98389
kimi-antonelli,3,7,98427
max-verstappen,3,8,98475
lewis-hamilton,3,9,98419
yuki-tsunoda,3,10,98565
jack-doohan,3,11,98714
esteban-ocon,3,12,98726
alexander-albon,3,13,98699
fernando-alonso,3,14,100017
oliver-bearman,3,15,99586
isack-hadjar,3,16,99767
liam-lawson,3,17,99689
lance-stroll,3,18,99708
gabriel-bortoleto,3,19,99900
nico-hulkenberg,3,20,100019
oscar-piastri,4,1,98133
george-russell,4,2,98378
lando-norris,4,3,98235
charles-leclerc,4,4,98273
pierre-gasly,4,5,98312
carlos-sainz-jr,4,6,98620
kimi-antonelli,4,7,98564
max-verstappen,4,8,98549
lewis-hamilton,4,9,98654
yuki-tsunoda,4,10,98612
jack-doohan,4,11,98722
esteban-ocon,4,12,98766
alexander-albon,4,13,99056
fernando-alonso,4,14,99318
oliver-bearman,4,15,99262
isack-hadjar,4,16,99631
liam-lawson,4,17,99641
lance-stroll,4,18,99844
gabriel-bortoleto,4,19,100079
nico-hulkenberg,4,20,99829
oscar-piastri,5,1,98043
george-russell,5,2,98604
lando-norris,5,3,98604
charles-leclerc,5,4,98427
pierre-gasly,5,5,98616
kimi-antonelli,5,6,98520
max-verstappen,5,7,98760
carlos-sainz-jr,5,8,101021
lewis-hamilton,5,9,99465
yuki-tsunoda,5,10,99370
jack-doohan,5,11,99295
esteban-ocon,5,12,99240
alexander-albon,5,13,99257
oliver-bearman,5,14,99246
fernando-alonso,5,15,100555
isack-hadjar,5,16,99669
liam-lawson,5,17,99958
lance-stroll,5,18,99974
gabriel-bortoleto,5,19,100726
nico-hulkenberg,5,20,101958
oscar-piastri,6,1,98363
george-russell,6,2,98467
lando-norris,6,3,98570
charles-leclerc,6,4,98784
pierre-gasly,6,5,98867
kimi-antonelli,6,6,98634
max-verstappen,6,7,98593
carlos-sainz-jr,6,8,99023
lewis-hamilton,6,9,99104
yuki-tsunoda,6,10,99245
jack-doohan,6,11,99286
esteban-ocon,6,12,99447
alexander-albon,6,13,99263
oliver-bearman,6,14,99303
fernando-alonso,6,15,99589
liam-lawson,6,16,99706
lance-stroll,6,17,99805
isack-hadjar,6,18,102366
gabriel-bortoleto,6,19,99953
nico-hulkenberg,6,20,117624
oscar-piastri,7,1,98498
george-russell,7,2,98686
lando-norris,7,3,98468
charles-leclerc,7,4,98680
pierre-gasly,7,5,99003
kimi-antonelli,7,6,98905
max-verstappen,7,7,98929
carlos-sainz-jr,7,8,99330
lewis-hamilton,7,9,99279
yuki-tsunoda,7,10,99366
jack-doohan,7,11,99457
esteban-ocon,7,12,99408
alexander-albon,7,13,99565
oliver-bearman,7,14,99507
fernando-alonso,7,15,99919
liam-lawson,7,16,99609
lance-stroll,7,17,99855
gabriel-bortoleto,7,18,99772
nico-hulkenberg,7,19,97950
isack-hadjar,7,20,118792
oscar-piastri,8,1,98567
george-russell,8,2,99007
lando-norris,8,3,98970
charles-leclerc,8,4,99133
pierre-gasly,8,5,99431
kimi-antonelli,8,6,99197
max-verstappen,8,7,99385
carlos-sainz-jr,8,8,99906
