driver_id,lap,position,time_ms
george-russell,1,1,84418
lewis-hamilton,1,2,85639
kimi-antonelli,1,3,86497
lando-norris,1,4,87198
max-verstappen,1,5,87920
oscar-piastri,1,6,88570
charles-leclerc,1,7,89361
liam-lawson,1,8,90071
arvid-lindblad,1,9,90602
nico-hulkenberg,1,10,90923
franco-colapinto,1,11,91450
pierre-gasly,1,12,92099
carlos-sainz-jr,1,13,92484
isack-hadjar,1,14,93015
oliver-bearman,1,15,93669
esteban-ocon,1,16,93891
gabriel-bortoleto,1,17,94169
alexander-albon,1,18,94507
sergio-perez,1,19,94895
valtteri-bottas,1,20,95407
lance-stroll,1,21,96077
fernando-alonso,1,22,97171
george-russell,2,1,81513
lewis-hamilton,2,2,81710
kimi-antonelli,2,3,82042
lando-norris,2,4,82251
max-verstappen,2,5,82628
oscar-piastri,2,6,82673
charles-leclerc,2,7,82883
liam-lawson,2,8,83785
nico-hulkenberg,2,9,83447
arvid-lindblad,2,10,84617
franco-colapinto,2,11,84260
pierre-gasly,2,12,84303
carlos-sainz-jr,2,13,84786
isack-hadjar,2,14,84536
esteban-ocon,2,15,84454
oliver-bearman,2,16,85184
gabriel-bortoleto,2,17,85022
alexander-albon,2,18,85305
sergio-perez,2,19,85549
valtteri-bottas,2,20,86038
lance-stroll,2,21,86301
fernando-alonso,2,22,85751
george-russell,3,1,81479
lewis-hamilton,3,2,82070
kimi-antonelli,3,3,82120
lando-norris,3,4,82422
max-verstappen,3,5,82734
oscar-piastri,3,6,82940
charles-leclerc,3,7,82650
liam-lawson,3,8,83740
nico-hulkenberg,3,9,84000
arvid-lindblad,3,10,84071
franco-colapinto,3,11,84360
pierre-gasly,3,12,84219
isack-hadjar,3,13,83843
carlos-sainz-jr,3,14,85319
esteban-ocon,3,15,84984
oliver-bearman,3,16,84941
gabriel-bortoleto,3,17,85078
alexander-albon,3,18,85324
sergio-perez,3,19,85378
valtteri-bottas,3,20,85745
lance-stroll,3,21,85904
fernando-alonso,3,22,86254
george-russell,4,1,82044
lewis-hamilton,4,2,82579
kimi-antonelli,4,3,82271
lando-norris,4,4,82773
max-verstappen,4,5,82998
oscar-piastri,4,6,83054
charles-leclerc,4,7,82914
liam-lawson,4,8,83868
nico-hulkenberg,4,9,83806
arvid-lindblad,4,10,84305
franco-colapinto,4,11,84397
pierre-gasly,4,12,84527
isack-hadjar,4,13,84407
carlos-sainz-jr,4,14,84723
esteban-ocon,4,15,84865
oliver-bearman,4,16,85086
gabriel-bortoleto,4,17,85113
alexander-albon,4,18,85320
sergio-perez,4,19,85701
valtteri-bottas,4,20,86254
lance-stroll,4,21,86430
fernando-alonso,4,22,86079
george-russell,5,1,82427
lewis-hamilton,5,2,82302
kimi-antonelli,5,3,82448
lando-norris,5,4,83287
max-verstappen,5,5,83029
oscar-piastri,5,6,83242
charles-leclerc,5,7,83063
liam-lawson,5,8,84374
nico-hulkenberg,5,9,84387
arvid-lindblad,5,10,84576
franco-colapinto,5,11,84909
pierre-gasly,5,12,85097
isack-hadjar,5,13,84798
carlos-sainz-jr,5,14,84999
esteban-ocon,5,15,85153
oliver-bearman,5,16,85215
gabriel-bortoleto,5,17,85442
alexander-albon,5,18,85707
sergio-perez,5,19,85768
valtteri-bottas,5,20,86543
fernando-alonso,5,21,86728
lance-stroll,5,22,94345
george-russell,6,1,82473
lewis-hamilton,6,2,82890
kimi-antonelli,6,3,82992
lando-norris,6,4,83226
max-verstappen,6,5,83413
oscar-piastri,6,6,83298
charles-leclerc,6,7,83835
liam-lawson,6,8,85203
nico-hulkenberg,6,9,85236
arvid-lindblad,6,10,85414
franco-colapinto,6,11,84948
isack-hadjar,6,12,84499
pierre-gasly,6,13,85808
carlos-sainz-jr,6,14,85278
esteban-ocon,6,15,85635
oliver-bearman,6,16,85592
gabriel-bortoleto,6,17,85548
alexander-albon,6,18,85680
sergio-perez,6,19,86016
valtteri-bottas,6,20,86660
fernando-alonso,6,21,86279
george-russell,7,1,82687
lewis-hamilton,7,2,82937
kimi-antonelli,7,3,83088
lando-norris,7,4,83357
max-verstappen,7,5,83343
oscar-piastri,7,6,83569
charles-leclerc,7,7,83102
liam-lawson,7,8,84783
nico-hulkenberg,7,9,85328
arvid-lindblad,7,10,85526
isack-hadjar,7,11,84577
franco-colapinto,7,12,86439
pierre-gasly,7,13,85386
carlos-sainz-jr,7,14,85568
esteban-ocon,7,15,85854
oliver-bearman,7,16,86101
gabriel-bortoleto,7,17,86224
alexander-albon,7,18,86108
sergio-perez,7,19,86090
valtteri-bottas,7,20,86681
fernando-alonso,7,21,86333
george-russell,8,1,83253
lewis-hamilton,8,2,83351
kimi-antonelli,8,3,83757
lando-norris,8,4,83392
max-verstappen,8,5,83663
charles-leclerc,8,6,83402
oscar-piastri,8,7,85507
liam-lawson,8,8,85309
nico-hulkenberg,8,9,85106
arvid-lindblad,8,10,85468
isack-hadjar,8,11,85342
franco-colapinto,8,12,85561
pierre-gasly,8,13,85720
carlos-sainz-jr,8,14,85756
esteban-ocon,8,15,85775
oliver-bearman,8,16,86127
gabriel-bortoleto,8,17,86347
alexander-albon,8,18,86438
sergio-perez,8,19,86482
valtteri-bottas,8,20,87170
fernando-alonso,8,21,86644
george-russell,9,1,83198
lewis-hamilton,9,2,83462
kimi-antonelli,9,3,83560
lando-norris,9,4,83501
max-verstappen,9,5,83969
charles-leclerc,9,6,83561
oscar-piastri,9,7,84548
liam-lawson,9,8,85185
nico-hulkenberg,9,9,85099
arvid-lindblad,9,10,85793
isack-hadjar,9,11,85914
franco-colapinto,9,12,86184
