driver_id,lap,position,time_ms
lando-norris,1,1,184619
oscar-piastri,1,2,185558
charles-leclerc,1,3,188456
max-verstappen,1,4,190061
alexander-albon,1,5,191296
george-russell,1,6,193707
yuki-tsunoda,1,7,195676
isack-hadjar,1,8,196869
liam-lawson,1,9,198369
gabriel-bortoleto,1,10,199512
esteban-ocon,1,11,201517
oliver-bearman,1,12,201972
pierre-gasly,1,13,204447
nico-hulkenberg,1,14,206488
franco-colapinto,1,15,207440
lance-stroll,1,16,209116
carlos-sainz-jr,1,17,211318
lewis-hamilton,1,18,213712
kimi-antonelli,1,19,216399
fernando-alonso,1,20,218679
lando-norris,2,1,173581
oscar-piastri,2,2,174449
charles-leclerc,2,3,173653
max-verstappen,2,4,173359
alexander-albon,2,5,173532
george-russell,2,6,172584
yuki-tsunoda,2,7,173033
isack-hadjar,2,8,173453
liam-lawson,2,9,172952
gabriel-bortoleto,2,10,172493
esteban-ocon,2,11,171741
oliver-bearman,2,12,172548
pierre-gasly,2,13,171639
nico-hulkenberg,2,14,170729
franco-colapinto,2,15,172304
lance-stroll,2,16,173025
carlos-sainz-jr,2,17,172706
lewis-hamilton,2,18,171594
kimi-antonelli,2,19,170291
fernando-alonso,2,20,170821
lando-norris,3,1,172478
oscar-piastri,3,2,171528
charles-leclerc,3,3,171221
max-verstappen,3,4,171567
alexander-albon,3,5,170676
george-russell,3,6,171828
yuki-tsunoda,3,7,171205
isack-hadjar,3,8,171478
liam-lawson,3,9,171822
gabriel-bortoleto,3,10,172700
esteban-ocon,3,11,173139
oliver-bearman,3,12,172746
pierre-gasly,3,13,173252
nico-hulkenberg,3,14,174100
franco-colapinto,3,15,172824
lance-stroll,3,16,172250
carlos-sainz-jr,3,17,172573
lewis-hamilton,3,18,172450
kimi-antonelli,3,19,172325
fernando-alonso,3,20,171585
lando-norris,4,1,182567
oscar-piastri,4,2,182060
charles-leclerc,4,3,180884
max-verstappen,4,4,179537
alexander-albon,4,5,179535
george-russell,4,6,177493
yuki-tsunoda,4,7,176298
isack-hadjar,4,8,174982
liam-lawson,4,9,174070
gabriel-bortoleto,4,10,173539
esteban-ocon,4,11,172403
oliver-bearman,4,12,171923
pierre-gasly,4,13,170625
nico-hulkenberg,4,14,169263
franco-colapinto,4,15,168511
lance-stroll,4,16,167693
carlos-sainz-jr,4,17,165975
lewis-hamilton,4,18,165258
kimi-antonelli,4,19,164706
fernando-alonso,4,20,163707
oscar-piastri,5,1,119092
lando-norris,5,2,120568
charles-leclerc,5,3,120463
max-verstappen,5,4,120696
alexander-albon,5,5,121343
george-russell,5,6,121470
yuki-tsunoda,5,7,122398
isack-hadjar,5,8,122531
liam-lawson,5,9,122728
gabriel-bortoleto,5,10,123632
esteban-ocon,5,11,124024
oliver-bearman,5,12,124052
pierre-gasly,5,13,123809
nico-hulkenberg,5,14,123799
franco-colapinto,5,15,124273
carlos-sainz-jr,5,16,123311
lance-stroll,5,17,124228
lewis-hamilton,5,18,123577
kimi-antonelli,5,19,123291
fernando-alonso,5,20,122826
oscar-piastri,6,1,119215
lando-norris,6,2,119136
charles-leclerc,6,3,120142
max-verstappen,6,4,120190
george-russell,6,5,119891
alexander-albon,6,6,121752
yuki-tsunoda,6,7,120831
isack-hadjar,6,8,121255
liam-lawson,6,9,121212
gabriel-bortoleto,6,10,121165
esteban-ocon,6,11,121578
oliver-bearman,6,12,121873
pierre-gasly,6,13,122097
nico-hulkenberg,6,14,122049
franco-colapinto,6,15,122275
carlos-sainz-jr,6,16,122267
lewis-hamilton,6,17,122152
lance-stroll,6,18,123162
kimi-antonelli,6,19,122847
fernando-alonso,6,20,122757
oscar-piastri,7,1,119768
lando-norris,7,2,119859
charles-leclerc,7,3,120554
max-verstappen,7,4,120542
george-russell,7,5,120418
alexander-albon,7,6,121326
yuki-tsunoda,7,7,121258
isack-hadjar,7,8,121677
liam-lawson,7,9,121796
gabriel-bortoleto,7,10,121461
esteban-ocon,7,11,121831
oliver-bearman,7,12,121707
pierre-gasly,7,13,122794
nico-hulkenberg,7,14,122875
franco-colapinto,7,15,123101
lewis-hamilton,7,16,122510
carlos-sainz-jr,7,17,123356
kimi-antonelli,7,18,122188
lance-stroll,7,19,123682
fernando-alonso,7,20,123279
oscar-piastri,8,1,120611
lando-norris,8,2,120747
charles-leclerc,8,3,121820
max-verstappen,8,4,121993
george-russell,8,5,122472
alexander-albon,8,6,122471
yuki-tsunoda,8,7,122330
isack-hadjar,8,8,122837
liam-lawson,8,9,122746
gabriel-bortoleto,8,10,122601
esteban-ocon,8,11,123179
oliver-bearman,8,12,123403
pierre-gasly,8,13,123228
lewis-hamilton,8,14,121599
nico-hulkenberg,8,15,123968
franco-colapinto,8,16,124446
carlos-sainz-jr,8,17,124324
kimi-antonelli,8,18,124219
lance-stroll,8,19,123866
fernando-alonso,8,20,123891
oscar-piastri,9,1,121409
lando-norris,9,2,121841
charles-leclerc,9,3,123710
max-verstappen,9,4,123462
george-russell,9,5,123892
alexander-albon,9,6,123577
yuki-tsunoda,9,7,123480
isack-hadjar,9,8,123822
liam-lawson,9,9,124162
gabriel-bortoleto,9,10,123996
esteban-ocon,9,11,124581
oliver-bearman,9,12,124288
lewis-hamilton,9,13,124389
pierre-gasly,9,14,126857
nico-hulkenberg,9,15,125890
franco-colapinto,9,16,125097
carlos-sainz-jr,9,17,125122
kimi-antonelli,9,18,125404
lance-stroll,9,19,125241
fernando-alonso,9,20,125329
oscar-piastri,10,1,122104
lando-norris,10,2,122285
charles-leclerc,10,3,124208
max-verstappen,10,4,123978
george-russell,10,5,124205
alexander-albon,10,6,124104
yuki-tsunoda,10,7,124980
isack-hadjar,10,8,124736
liam-lawson,10,9,124537
gabriel-bortoleto,10,10,124833
esteban-ocon,10,11,125310
oliver-bearman,10,12,124996
lewis-hamilton,10,13,123457
pierre-gasly,10,14,125517
nico-hulkenberg,10,15,126075
franco-colapinto,10,16,125749
carlos-sainz-jr,10,17,125764
kimi-antonelli,10,18,125624
fernando-alonso,10,19,125600
lance-stroll,10,20,126686
oscar-piastri,11,1,121466
lando-norris,11,2,121576
charles-leclerc,11,3,122478
max-verstappen,11,4,122968
george-russell,11,5,123386
alexander-albon,11,6,123439
yuki-tsunoda,11,7,124137
isack-hadjar,11,8,124304
liam-lawson,11,9,124295
gabriel-bortoleto,11,10,124626
oliver-bearman,11,11,122741
esteban-ocon,11,12,125656
franco-colapinto,11,13,124737
lewis-hamilton,11,14,130597
carlos-sainz-jr,11,15,124978
