driver_id,lap,position,time_ms
rubens-barrichello,1,1,91292
mark-webber,1,2,92269
nico-rosberg,1,3,94289
robert-kubica,1,4,99746
sebastien-buemi,1,5,100360
kazuki-nakajima,1,6,101148
kamui-kobayashi,1,7,102657
romain-grosjean,1,8,103469
jenson-button,1,9,103723
jaime-alguersuari,1,10,105236
sebastian-vettel,1,11,105837
lewis-hamilton,1,12,106078
vitantonio-liuzzi,1,13,107463
nick-heidfeld,1,14,109450
giancarlo-fisichella,1,15,110813
kimi-raikkonen,1,16,115463
heikki-kovalainen,1,17,115846
rubens-barrichello,2,1,120739
mark-webber,2,2,121463
nico-rosberg,2,3,120339
robert-kubica,2,4,118613
sebastien-buemi,2,5,118869
kazuki-nakajima,2,6,118759
kamui-kobayashi,2,7,118080
romain-grosjean,2,8,119319
jenson-button,2,9,119518
jaime-alguersuari,2,10,118948
sebastian-vettel,2,11,120669
nick-heidfeld,2,12,118510
vitantonio-liuzzi,2,13,120738
giancarlo-fisichella,2,14,117669
lewis-hamilton,2,15,123212
kimi-raikkonen,2,16,122409
heikki-kovalainen,2,17,125888
rubens-barrichello,3,1,119347
mark-webber,3,2,119570
nico-rosberg,3,3,119684
robert-kubica,3,4,117967
sebastien-buemi,3,5,117811
kazuki-nakajima,3,6,118012
kamui-kobayashi,3,7,117954
romain-grosjean,3,8,117975
jenson-button,3,9,118650
jaime-alguersuari,3,10,119141
sebastian-vettel,3,11,117538
nick-heidfeld,3,12,118191
giancarlo-fisichella,3,13,118295
lewis-hamilton,3,14,118326
kimi-raikkonen,3,15,112734
heikki-kovalainen,3,16,110051
vitantonio-liuzzi,3,17,125681
rubens-barrichello,4,1,119722
mark-webber,4,2,120887
nico-rosberg,4,3,120454
robert-kubica,4,4,120811
sebastien-buemi,4,5,120986
kazuki-nakajima,4,6,121222
kamui-kobayashi,4,7,121783
romain-grosjean,4,8,120756
jenson-button,4,9,120179
jaime-alguersuari,4,10,120177
sebastian-vettel,4,11,121866
nick-heidfeld,4,12,121566
giancarlo-fisichella,4,13,121420
lewis-hamilton,4,14,121755
kimi-raikkonen,4,15,120705
heikki-kovalainen,4,16,120457
vitantonio-liuzzi,4,17,119815
rubens-barrichello,5,1,118063
mark-webber,5,2,115403
nico-rosberg,5,3,115306
robert-kubica,5,4,112977
sebastien-buemi,5,5,113059
kazuki-nakajima,5,6,112154
kamui-kobayashi,5,7,111112
romain-grosjean,5,8,110329
jenson-button,5,9,109949
jaime-alguersuari,5,10,109704
sebastian-vettel,5,11,107383
nick-heidfeld,5,12,106022
giancarlo-fisichella,5,13,105817
lewis-hamilton,5,14,104807
kimi-raikkonen,5,15,103255
heikki-kovalainen,5,16,102588
vitantonio-liuzzi,5,17,101978
rubens-barrichello,6,1,75380
mark-webber,6,2,76045
robert-kubica,6,3,76038
nico-rosberg,6,4,77109
sebastien-buemi,6,5,77050
kamui-kobayashi,6,6,77579
kazuki-nakajima,6,7,78087
jenson-button,6,8,77424
sebastian-vettel,6,9,77301
romain-grosjean,6,10,79058
nick-heidfeld,6,11,77647
jaime-alguersuari,6,12,78185
lewis-hamilton,6,13,77790
kimi-raikkonen,6,14,78006
heikki-kovalainen,6,15,77831
giancarlo-fisichella,6,16,80006
vitantonio-liuzzi,6,17,78843
rubens-barrichello,7,1,74636
mark-webber,7,2,75027
robert-kubica,7,3,74990
nico-rosberg,7,4,75095
sebastien-buemi,7,5,75897
kamui-kobayashi,7,6,75935
jenson-button,7,7,75815
kazuki-nakajima,7,8,76763
sebastian-vettel,7,9,75781
nick-heidfeld,7,10,76813
lewis-hamilton,7,11,77048
romain-grosjean,7,12,78901
jaime-alguersuari,7,13,78937
heikki-kovalainen,7,14,77694
kimi-raikkonen,7,15,78417
giancarlo-fisichella,7,16,77488
vitantonio-liuzzi,7,17,77966
rubens-barrichello,8,1,74454
mark-webber,8,2,74706
robert-kubica,8,3,75002
nico-rosberg,8,4,74893
sebastien-buemi,8,5,75092
kamui-kobayashi,8,6,76285
jenson-button,8,7,76385
kazuki-nakajima,8,8,76634
sebastian-vettel,8,9,76981
nick-heidfeld,8,10,75641
lewis-hamilton,8,11,76564
romain-grosjean,8,12,76741
heikki-kovalainen,8,13,76311
jaime-alguersuari,8,14,77856
kimi-raikkonen,8,15,77608
giancarlo-fisichella,8,16,77686
vitantonio-liuzzi,8,17,77453
rubens-barrichello,9,1,74559
mark-webber,9,2,74750
robert-kubica,9,3,74549
nico-rosberg,9,4,74950
sebastien-buemi,9,5,75296
kamui-kobayashi,9,6,75836
