driver_id,lap,position,time_ms
george-russell,1,1,81852
max-verstappen,1,2,82549
kimi-antonelli,1,3,83319
oscar-piastri,1,4,83939
lewis-hamilton,1,5,84695
fernando-alonso,1,6,85331
lando-norris,1,7,85741
charles-leclerc,1,8,86330
nico-hulkenberg,1,9,87961
franco-colapinto,1,10,88837
isack-hadjar,1,11,89263
alexander-albon,1,12,89443
oliver-bearman,1,13,89938
esteban-ocon,1,14,90156
gabriel-bortoleto,1,15,90643
carlos-sainz-jr,1,16,90973
yuki-tsunoda,1,17,91334
lance-stroll,1,18,91602
liam-lawson,1,19,93298
pierre-gasly,1,20,94327
george-russell,2,1,76437
max-verstappen,2,2,76418
kimi-antonelli,2,3,76584
oscar-piastri,2,4,77510
lewis-hamilton,2,5,77320
fernando-alonso,2,6,77402
lando-norris,2,7,77686
charles-leclerc,2,8,77784
nico-hulkenberg,2,9,77872
franco-colapinto,2,10,78477
isack-hadjar,2,11,78419
alexander-albon,2,12,78730
oliver-bearman,2,13,78823
esteban-ocon,2,14,79243
gabriel-bortoleto,2,15,79187
carlos-sainz-jr,2,16,79473
yuki-tsunoda,2,17,80040
lance-stroll,2,18,80175
liam-lawson,2,19,79524
pierre-gasly,2,20,79336
george-russell,3,1,76253
max-verstappen,3,2,76094
kimi-antonelli,3,3,76878
oscar-piastri,3,4,76714
lewis-hamilton,3,5,76867
fernando-alonso,3,6,77113
lando-norris,3,7,77355
charles-leclerc,3,8,77953
nico-hulkenberg,3,9,77854
franco-colapinto,3,10,77700
isack-hadjar,3,11,77597
alexander-albon,3,12,78131
oliver-bearman,3,13,78008
esteban-ocon,3,14,78014
gabriel-bortoleto,3,15,78174
carlos-sainz-jr,3,16,78399
yuki-tsunoda,3,17,78366
lance-stroll,3,18,78838
liam-lawson,3,19,78482
pierre-gasly,3,20,78835
george-russell,4,1,75986
max-verstappen,4,2,75925
kimi-antonelli,4,3,76357
oscar-piastri,4,4,76537
lewis-hamilton,4,5,76982
fernando-alonso,4,6,76677
lando-norris,4,7,77066
charles-leclerc,4,8,77884
nico-hulkenberg,4,9,77895
franco-colapinto,4,10,77551
isack-hadjar,4,11,77880
alexander-albon,4,12,77476
oliver-bearman,4,13,77716
esteban-ocon,4,14,77581
gabriel-bortoleto,4,15,77507
carlos-sainz-jr,4,16,77511
yuki-tsunoda,4,17,77777
lance-stroll,4,18,78142
liam-lawson,4,19,78602
pierre-gasly,4,20,78711
george-russell,5,1,75808
max-verstappen,5,2,75901
kimi-antonelli,5,3,76186
oscar-piastri,5,4,76397
lewis-hamilton,5,5,76507
fernando-alonso,5,6,76669
lando-norris,5,7,76896
charles-leclerc,5,8,77574
nico-hulkenberg,5,9,77345
franco-colapinto,5,10,77306
isack-hadjar,5,11,77198
alexander-albon,5,12,77509
oliver-bearman,5,13,77359
esteban-ocon,5,14,77493
gabriel-bortoleto,5,15,77589
carlos-sainz-jr,5,16,77317
yuki-tsunoda,5,17,77394
lance-stroll,5,18,77878
liam-lawson,5,19,77997
pierre-gasly,5,20,78187
george-russell,6,1,75984
max-verstappen,6,2,76531
kimi-antonelli,6,3,76159
oscar-piastri,6,4,76209
lewis-hamilton,6,5,76506
fernando-alonso,6,6,76510
lando-norris,6,7,76657
charles-leclerc,6,8,76808
nico-hulkenberg,6,9,77295
franco-colapinto,6,10,77402
isack-hadjar,6,11,77462
alexander-albon,6,12,77302
oliver-bearman,6,13,77390
esteban-ocon,6,14,77359
gabriel-bortoleto,6,15,77249
carlos-sainz-jr,6,16,77611
yuki-tsunoda,6,17,77357
lance-stroll,6,18,77596
liam-lawson,6,19,77679
pierre-gasly,6,20,77860
george-russell,7,1,76384
max-verstappen,7,2,76600
kimi-antonelli,7,3,76295
oscar-piastri,7,4,76456
lewis-hamilton,7,5,76498
fernando-alonso,7,6,76552
lando-norris,7,7,76666
charles-leclerc,7,8,77314
nico-hulkenberg,7,9,76987
franco-colapinto,7,10,77446
isack-hadjar,7,11,77412
alexander-albon,7,12,77312
oliver-bearman,7,13,77297
esteban-ocon,7,14,77410
gabriel-bortoleto,7,15,77551
carlos-sainz-jr,7,16,77634
yuki-tsunoda,7,17,77516
lance-stroll,7,18,77476
liam-lawson,7,19,77633
pierre-gasly,7,20,77763
george-russell,8,1,76413
max-verstappen,8,2,76640
kimi-antonelli,8,3,76436
oscar-piastri,8,4,76381
lewis-hamilton,8,5,76433
fernando-alonso,8,6,76369
lando-norris,8,7,76488
charles-leclerc,8,8,76430
nico-hulkenberg,8,9,77350
franco-colapinto,8,10,77262
isack-hadjar,8,11,77301
alexander-albon,8,12,77500
oliver-bearman,8,13,77491
esteban-ocon,8,14,77497
gabriel-bortoleto,8,15,77572
carlos-sainz-jr,8,16,77280
yuki-tsunoda,8,17,77570
lance-stroll,8,18,77636
liam-lawson,8,19,77517
pierre-gasly,8,20,77699
george-russell,9,1,76608
max-verstappen,9,2,76762
kimi-antonelli,9,3,76439
oscar-piastri,9,4,76714
lewis-hamilton,9,5,76657
fernando-alonso,9,6,77208
lando-norris,9,7,76704
charles-leclerc,9,8,76860
nico-hulkenberg,9,9,77046
franco-colapinto,9,10,77405
isack-hadjar,9,11,77381
alexander-albon,9,12,77275
oliver-bearman,9,13,77299
esteban-ocon,9,14,77410
gabriel-bortoleto,9,15,77463
carlos-sainz-jr,9,16,77233
yuki-tsunoda,9,17,77445
lance-stroll,9,18,77657
liam-lawson,9,19,77988
pierre-gasly,9,20,77827
george-russell,10,1,76538
max-verstappen,10,2,76680
kimi-antonelli,10,3,76562
oscar-piastri,10,4,76775
lewis-hamilton,10,5,76710
fernando-alonso,10,6,77921
lando-norris,10,7,76778
charles-leclerc,10,8,77088
nico-hulkenberg,10,9,77232
franco-colapinto,10,10,77636
isack-hadjar,10,11,77705
alexander-albon,10,12,77407
oliver-bearman,10,13,77379
esteban-ocon,10,14,77279
gabriel-bortoleto,10,15,77191
carlos-sainz-jr,10,16,77501
yuki-tsunoda,10,17,77091
lance-stroll,10,18,77481
liam-lawson,10,19,77352
pierre-gasly,10,20,77772
george-russell,11,1,76558
max-verstappen,11,2,76991
kimi-antonelli,11,3,76327
oscar-piastri,11,4,76599
lewis-hamilton,11,5,76726
lando-norris,11,6,77282
fernando-alonso,11,7,78334
charles-leclerc,11,8,76674
nico-hulkenberg,11,9,77513
franco-colapinto,11,10,77653
isack-hadjar,11,11,78216
