driver_id,lap,position,time_ms
lewis-hamilton,1,1,99448
kimi-antonelli,1,2,100137
charles-leclerc,1,3,101064
george-russell,1,4,101815
pierre-gasly,1,5,102591
franco-colapinto,1,6,105498
liam-lawson,1,7,106084
arvid-lindblad,1,8,106513
esteban-ocon,1,9,106693
fernando-alonso,1,10,107230
carlos-sainz-jr,1,11,107507
oliver-bearman,1,12,107851
max-verstappen,1,13,107910
valtteri-bottas,1,14,108335
nico-hulkenberg,1,15,108719
lance-stroll,1,16,109471
sergio-perez,1,17,115089
isack-hadjar,1,18,123643
kimi-antonelli,2,1,98305
lewis-hamilton,2,2,99561
charles-leclerc,2,3,98558
george-russell,2,4,98075
pierre-gasly,2,5,98917
franco-colapinto,2,6,99308
liam-lawson,2,7,99798
esteban-ocon,2,8,99736
arvid-lindblad,2,9,101049
max-verstappen,2,10,100295
carlos-sainz-jr,2,11,100743
oliver-bearman,2,12,101136
fernando-alonso,2,13,102291
valtteri-bottas,2,14,101601
nico-hulkenberg,2,15,101634
lance-stroll,2,16,101830
sergio-perez,2,17,101066
isack-hadjar,2,18,120199
kimi-antonelli,3,1,98013
lewis-hamilton,3,2,98587
george-russell,3,3,98125
charles-leclerc,3,4,99148
pierre-gasly,3,5,98923
franco-colapinto,3,6,98925
liam-lawson,3,7,98947
esteban-ocon,3,8,99082
arvid-lindblad,3,9,99308
max-verstappen,3,10,99080
carlos-sainz-jr,3,11,99987
oliver-bearman,3,12,99715
nico-hulkenberg,3,13,99907
fernando-alonso,3,14,101588
valtteri-bottas,3,15,101829
lance-stroll,3,16,101798
sergio-perez,3,17,101224
isack-hadjar,3,18,98812
kimi-antonelli,4,1,97394
george-russell,4,2,97093
lewis-hamilton,4,3,98234
charles-leclerc,4,4,97835
pierre-gasly,4,5,98717
franco-colapinto,4,6,98865
liam-lawson,4,7,99114
esteban-ocon,4,8,99102
arvid-lindblad,4,9,99298
max-verstappen,4,10,99120
carlos-sainz-jr,4,11,98988
oliver-bearman,4,12,99180
nico-hulkenberg,4,13,99517
fernando-alonso,4,14,100471
valtteri-bottas,4,15,100904
lance-stroll,4,16,101854
sergio-perez,4,17,100934
isack-hadjar,4,18,99088
kimi-antonelli,5,1,97535
george-russell,5,2,97462
lewis-hamilton,5,3,97636
charles-leclerc,5,4,97863
pierre-gasly,5,5,98474
franco-colapinto,5,6,98910
esteban-ocon,5,7,98846
liam-lawson,5,8,100055
arvid-lindblad,5,9,99395
max-verstappen,5,10,99582
carlos-sainz-jr,5,11,99754
oliver-bearman,5,12,99504
nico-hulkenberg,5,13,99264
fernando-alonso,5,14,101554
valtteri-bottas,5,15,101396
lance-stroll,5,16,100992
sergio-perez,5,17,100978
isack-hadjar,5,18,98824
kimi-antonelli,6,1,97172
george-russell,6,2,97375
lewis-hamilton,6,3,97962
charles-leclerc,6,4,98136
pierre-gasly,6,5,98298
franco-colapinto,6,6,98734
esteban-ocon,6,7,98758
liam-lawson,6,8,99510
arvid-lindblad,6,9,99363
max-verstappen,6,10,99206
oliver-bearman,6,11,98610
carlos-sainz-jr,6,12,100138
nico-hulkenberg,6,13,98775
valtteri-bottas,6,14,100278
fernando-alonso,6,15,101824
lance-stroll,6,16,100971
sergio-perez,6,17,100557
isack-hadjar,6,18,98261
kimi-antonelli,7,1,97412
george-russell,7,2,97383
lewis-hamilton,7,3,98221
charles-leclerc,7,4,97994
pierre-gasly,7,5,98635
franco-colapinto,7,6,98805
esteban-ocon,7,7,99086
liam-lawson,7,8,99709
arvid-lindblad,7,9,99198
max-verstappen,7,10,99574
oliver-bearman,7,11,99323
nico-hulkenberg,7,12,99390
carlos-sainz-jr,7,13,100631
valtteri-bottas,7,14,100875
fernando-alonso,7,15,101659
lance-stroll,7,16,100956
sergio-perez,7,17,100918
isack-hadjar,7,18,98457
kimi-antonelli,8,1,97322
george-russell,8,2,97266
lewis-hamilton,8,3,97929
charles-leclerc,8,4,97794
pierre-gasly,8,5,98427
franco-colapinto,8,6,98959
esteban-ocon,8,7,99015
liam-lawson,8,8,99878
arvid-lindblad,8,9,99450
max-verstappen,8,10,99465
oliver-bearman,8,11,99436
nico-hulkenberg,8,12,99027
carlos-sainz-jr,8,13,99913
valtteri-bottas,8,14,101258
fernando-alonso,8,15,101113
lance-stroll,8,16,101174
sergio-perez,8,17,101103
isack-hadjar,8,18,98661
kimi-antonelli,9,1,97356
george-russell,9,2,97261
lewis-hamilton,9,3,98371
charles-leclerc,9,4,98130
pierre-gasly,9,5,98609
franco-colapinto,9,6,99036
esteban-ocon,9,7,99018
arvid-lindblad,9,8,99859
oliver-bearman,9,9,99710
nico-hulkenberg,9,10,99164
liam-lawson,9,11,106179
max-verstappen,9,12,105525
carlos-sainz-jr,9,13,105134
valtteri-bottas,9,14,101349
fernando-alonso,9,15,101631
lance-stroll,9,16,100883
sergio-perez,9,17,101781
isack-hadjar,9,18,98662
kimi-antonelli,10,1,106671
george-russell,10,2,112779
lewis-hamilton,10,3,109946
charles-leclerc,10,4,112397
pierre-gasly,10,5,112994
franco-colapinto,10,6,111471
esteban-ocon,10,7,112375
arvid-lindblad,10,8,113138
nico-hulkenberg,10,9,113809
oliver-bearman,10,10,117430
fernando-alonso,10,11,119919
valtteri-bottas,10,12,125131
sergio-perez,10,13,121617
liam-lawson,10,14,142138
max-verstappen,10,15,143152
carlos-sainz-jr,10,16,143187
isack-hadjar,10,17,128038
kimi-antonelli,11,1,167222
franco-colapinto,11,2,146642
esteban-ocon,11,3,144244
george-russell,11,4,162723
lewis-hamilton,11,5,162319
arvid-lindblad,11,6,143056
charles-leclerc,11,7,161733
nico-hulkenberg,11,8,141998
pierre-gasly,11,9,158639
oliver-bearman,11,10,152030
fernando-alonso,11,11,135393
sergio-perez,11,12,138719
liam-lawson,11,13,135169
max-verstappen,11,14,135068
carlos-sainz-jr,11,15,135222
valtteri-bottas,11,16,156783
isack-hadjar,11,17,154638
kimi-antonelli,12,1,149910
franco-colapinto,12,2,149978
esteban-ocon,12,3,149854
george-russell,12,4,149667
lewis-hamilton,12,5,150004
arvid-lindblad,12,6,149824
charles-leclerc,12,7,150182
nico-hulkenberg,12,8,150857
pierre-gasly,12,9,150075
oliver-bearman,12,10,140475
fernando-alonso,12,11,140998
liam-lawson,12,12,130584
max-verstappen,12,13,129669
carlos-sainz-jr,12,14,127751
valtteri-bottas,12,15,121448
sergio-perez,12,16,137935
isack-hadjar,12,17,111211
kimi-antonelli,13,1,150521
franco-colapinto,13,2,150492
esteban-ocon,13,3,149970
george-russell,13,4,149280
lewis-hamilton,13,5,148395
arvid-lindblad,13,6,147571
charles-leclerc,13,7,146486
nico-hulkenberg,13,8,145608
pierre-gasly,13,9,145559
oliver-bearman,13,10,144540
fernando-alonso,13,11,143746
liam-lawson,13,12,142417
max-verstappen,13,13,142347
carlos-sainz-jr,13,14,141350
valtteri-bottas,13,15,139819
sergio-perez,13,16,139666
isack-hadjar,13,17,133423
kimi-antonelli,14,1,98957
franco-colapinto,14,2,99465
lewis-hamilton,14,3,98966
esteban-ocon,14,4,100325
george-russell,14,5,100588
charles-leclerc,14,6,99851
arvid-lindblad,14,7,100873
oliver-bearman,14,8,99240
nico-hulkenberg,14,9,100945
pierre-gasly,14,10,100408
max-verstappen,14,11,99573
liam-lawson,14,12,100779
carlos-sainz-jr,14,13,100484
isack-hadjar,14,14,99331
valtteri-bottas,14,15,101294
fernando-alonso,14,16,103500
sergio-perez,14,17,101759
kimi-antonelli,15,1,98222
lewis-hamilton,15,2,97073
franco-colapinto,15,3,98829
charles-leclerc,15,4,97205
esteban-ocon,15,5,99043
george-russell,15,6,98910
arvid-lindblad,15,7,99084
oliver-bearman,15,8,99289
nico-hulkenberg,15,9,99198
pierre-gasly,15,10,98883
max-verstappen,15,11,99068
liam-lawson,15,12,99020
carlos-sainz-jr,15,13,99125
isack-hadjar,15,14,99161
valtteri-bottas,15,15,100006
sergio-perez,15,16,100004
fernando-alonso,15,17,101183
kimi-antonelli,16,1,96604
lewis-hamilton,16,2,96931
charles-leclerc,16,3,97306
george-russell,16,4,97532
franco-colapinto,16,5,100106
esteban-ocon,16,6,99417
oliver-bearman,16,7,98269
arvid-lindblad,16,8,99328
pierre-gasly,16,9,98644
nico-hulkenberg,16,10,99566
max-verstappen,16,11,98953
liam-lawson,16,12,99437
carlos-sainz-jr,16,13,99428
isack-hadjar,16,14,99689
valtteri-bottas,16,15,99739
sergio-perez,16,16,99621
fernando-alonso,16,17,100260
kimi-antonelli,17,1,96555
lewis-hamilton,17,2,96697
charles-leclerc,17,3,96877
george-russell,17,4,96420
franco-colapinto,17,5,98383
esteban-ocon,17,6,98357
oliver-bearman,17,7,98343
pierre-gasly,17,8,98238
