driver_id,lap,position,time_ms
max-verstappen,1,1,82992
oscar-piastri,1,2,83966
george-russell,1,3,84968
lando-norris,1,4,85806
fernando-alonso,1,5,86360
carlos-sainz-jr,1,6,86933
alexander-albon,1,7,87403
lance-stroll,1,8,87757
pierre-gasly,1,9,88236
charles-leclerc,1,10,88571
isack-hadjar,1,11,89045
kimi-antonelli,1,12,89534
lewis-hamilton,1,13,89981
gabriel-bortoleto,1,14,90416
liam-lawson,1,15,90945
nico-hulkenberg,1,16,91936
franco-colapinto,1,17,92370
oliver-bearman,1,18,93051
yuki-tsunoda,1,19,95056
esteban-ocon,1,20,96497
max-verstappen,2,1,81131
oscar-piastri,2,2,81601
george-russell,2,3,81596
lando-norris,2,4,81819
fernando-alonso,2,5,82150
carlos-sainz-jr,2,6,82200
alexander-albon,2,7,82323
lance-stroll,2,8,82497
pierre-gasly,2,9,82771
charles-leclerc,2,10,82899
isack-hadjar,2,11,82976
kimi-antonelli,2,12,83293
lewis-hamilton,2,13,83062
gabriel-bortoleto,2,14,83419
liam-lawson,2,15,83630
nico-hulkenberg,2,16,83279
franco-colapinto,2,17,83357
oliver-bearman,2,18,83836
yuki-tsunoda,2,19,82726
esteban-ocon,2,20,104487
max-verstappen,3,1,81258
oscar-piastri,3,2,81345
george-russell,3,3,81618
lando-norris,3,4,81462
fernando-alonso,3,5,81609
carlos-sainz-jr,3,6,81656
alexander-albon,3,7,81774
lance-stroll,3,8,81830
charles-leclerc,3,9,81571
isack-hadjar,3,10,81933
kimi-antonelli,3,11,81788
lewis-hamilton,3,12,82080
gabriel-bortoleto,3,13,82237
pierre-gasly,3,14,85766
liam-lawson,3,15,82737
nico-hulkenberg,3,16,82670
franco-colapinto,3,17,82869
oliver-bearman,3,18,82619
yuki-tsunoda,3,19,82262
esteban-ocon,3,20,81413
max-verstappen,4,1,81218
oscar-piastri,4,2,81290
george-russell,4,3,81707
lando-norris,4,4,81647
fernando-alonso,4,5,81643
carlos-sainz-jr,4,6,81507
alexander-albon,4,7,81753
lance-stroll,4,8,81939
charles-leclerc,4,9,81428
isack-hadjar,4,10,81233
kimi-antonelli,4,11,81239
lewis-hamilton,4,12,81230
gabriel-bortoleto,4,13,81582
pierre-gasly,4,14,81805
liam-lawson,4,15,82110
nico-hulkenberg,4,16,82434
franco-colapinto,4,17,82452
oliver-bearman,4,18,82341
yuki-tsunoda,4,19,82502
esteban-ocon,4,20,81423
max-verstappen,5,1,81228
oscar-piastri,5,2,81096
george-russell,5,3,81385
lando-norris,5,4,81581
fernando-alonso,5,5,81401
carlos-sainz-jr,5,6,81708
alexander-albon,5,7,81615
lance-stroll,5,8,81527
charles-leclerc,5,9,81706
isack-hadjar,5,10,81599
kimi-antonelli,5,11,81526
lewis-hamilton,5,12,81439
gabriel-bortoleto,5,13,81812
pierre-gasly,5,14,81668
liam-lawson,5,15,81917
nico-hulkenberg,5,16,81922
franco-colapinto,5,17,82052
oliver-bearman,5,18,82267
yuki-tsunoda,5,19,82265
esteban-ocon,5,20,81651
max-verstappen,6,1,80977
