driver_id,lap,position,time_ms
michael-schumacher,1,1,88764
heinz-harald-frentzen,1,2,90746
jacques-villeneuve,1,3,91985
mika-hakkinen,1,4,92613
david-coulthard,1,5,93280
damon-hill,1,6,93851
eddie-irvine,1,7,94850
jan-magnussen,1,8,95343
gerhard-berger,1,9,96575
rubens-barrichello,1,10,97151
jean-alesi,1,11,97938
pedro-diniz,1,12,98438
olivier-panis,1,13,98821
johnny-herbert,1,14,99269
ralf-schumacher,1,15,99611
giancarlo-fisichella,1,16,100170
mika-salo,1,17,100451
shinji-nakano,1,18,100973
jos-verstappen,1,19,101510
tarso-marques,1,20,101883
ukyo-katayama,1,21,102729
norberto-fontana,1,22,102999
michael-schumacher,2,1,84811
heinz-harald-frentzen,2,2,85095
jacques-villeneuve,2,3,84848
mika-hakkinen,2,4,85373
david-coulthard,2,5,85524
damon-hill,2,6,85841
eddie-irvine,2,7,86329
jan-magnussen,2,8,86337
gerhard-berger,2,9,85781
rubens-barrichello,2,10,87452
jean-alesi,2,11,87029
pedro-diniz,2,12,87181
olivier-panis,2,13,87084
johnny-herbert,2,14,87639
ralf-schumacher,2,15,87715
giancarlo-fisichella,2,16,87974
mika-salo,2,17,88007
shinji-nakano,2,18,88107
jos-verstappen,2,19,88496
tarso-marques,2,20,88783
norberto-fontana,2,21,88063
ukyo-katayama,2,22,89388
michael-schumacher,3,1,84724
heinz-harald-frentzen,3,2,84571
jacques-villeneuve,3,3,84810
mika-hakkinen,3,4,85147
david-coulthard,3,5,85494
damon-hill,3,6,85451
eddie-irvine,3,7,85862
jan-magnussen,3,8,86030
gerhard-berger,3,9,86027
rubens-barrichello,3,10,86394
jean-alesi,3,11,86436
pedro-diniz,3,12,86434
olivier-panis,3,13,86424
johnny-herbert,3,14,86683
ralf-schumacher,3,15,86956
giancarlo-fisichella,3,16,87015
mika-salo,3,17,87216
shinji-nakano,3,18,87231
jos-verstappen,3,19,87314
tarso-marques,3,20,87613
norberto-fontana,3,21,87789
ukyo-katayama,3,22,87689
michael-schumacher,4,1,84638
heinz-harald-frentzen,4,2,84664
jacques-villeneuve,4,3,84546
mika-hakkinen,4,4,84869
david-coulthard,4,5,85278
damon-hill,4,6,85338
eddie-irvine,4,7,85675
jan-magnussen,4,8,85829
gerhard-berger,4,9,85919
rubens-barrichello,4,10,86700
jean-alesi,4,11,86854
olivier-panis,4,12,86219
pedro-diniz,4,13,87665
johnny-herbert,4,14,86907
ralf-schumacher,4,15,86594
giancarlo-fisichella,4,16,86938
mika-salo,4,17,87318
shinji-nakano,4,18,87261
jos-verstappen,4,19,87351
tarso-marques,4,20,87220
norberto-fontana,4,21,87284
ukyo-katayama,4,22,87609
michael-schumacher,5,1,84765
heinz-harald-frentzen,5,2,84620
jacques-villeneuve,5,3,84808
mika-hakkinen,5,4,85169
david-coulthard,5,5,85276
damon-hill,5,6,85339
eddie-irvine,5,7,85307
jan-magnussen,5,8,86256
gerhard-berger,5,9,86193
rubens-barrichello,5,10,87434
jean-alesi,5,11,87353
olivier-panis,5,12,87091
pedro-diniz,5,13,86681
johnny-herbert,5,14,86709
