driver_id,lap,position,time_ms
juan-pablo-montoya,1,1,78032
michael-schumacher,1,2,78433
kimi-raikkonen,1,3,78711
ralf-schumacher,1,4,79244
david-coulthard,1,5,79623
jenson-button,1,6,80092
felipe-massa,1,7,80602
jarno-trulli,1,8,81247
eddie-irvine,1,9,82763
nick-heidfeld,1,10,83180
mika-salo,1,11,83671
allan-mcnish,1,12,84129
jacques-villeneuve,1,13,84606
mark-webber,1,14,85128
alex-yoong,1,15,86383
pedro-de-la-rosa,1,16,86928
takuma-sato,1,17,87711
olivier-panis,1,18,119232
juan-pablo-montoya,2,1,76883
michael-schumacher,2,2,77047
kimi-raikkonen,2,3,77143
ralf-schumacher,2,4,77376
david-coulthard,2,5,77527
jenson-button,2,6,77580
felipe-massa,2,7,77755
jarno-trulli,2,8,77697
eddie-irvine,2,9,78245
nick-heidfeld,2,10,78414
mika-salo,2,11,78475
allan-mcnish,2,12,78647
jacques-villeneuve,2,13,78829
mark-webber,2,14,78788
alex-yoong,2,15,79415
pedro-de-la-rosa,2,16,79463
takuma-sato,2,17,79088
olivier-panis,2,18,171094
juan-pablo-montoya,3,1,77805
michael-schumacher,3,2,77763
kimi-raikkonen,3,3,77857
ralf-schumacher,3,4,77737
david-coulthard,3,5,77656
jenson-button,3,6,77636
felipe-massa,3,7,77765
jarno-trulli,3,8,77706
eddie-irvine,3,9,77631
nick-heidfeld,3,10,78174
mika-salo,3,11,78245
allan-mcnish,3,12,78424
jacques-villeneuve,3,13,78236
mark-webber,3,14,78547
pedro-de-la-rosa,3,15,77950
takuma-sato,3,16,79923
alex-yoong,3,17,81333
olivier-panis,3,18,76580
juan-pablo-montoya,4,1,76543
michael-schumacher,4,2,76597
kimi-raikkonen,4,3,76820
ralf-schumacher,4,4,77266
david-coulthard,4,5,77255
jenson-button,4,6,77484
felipe-massa,4,7,77649
jarno-trulli,4,8,77901
eddie-irvine,4,9,77540
nick-heidfeld,4,10,77933
mika-salo,4,11,78044
allan-mcnish,4,12,78129
jacques-villeneuve,4,13,78265
mark-webber,4,14,78306
pedro-de-la-rosa,4,15,77683
takuma-sato,4,16,77829
alex-yoong,4,17,79987
olivier-panis,4,18,76278
juan-pablo-montoya,5,1,76836
michael-schumacher,5,2,76903
kimi-raikkonen,5,3,76642
ralf-schumacher,5,4,77049
david-coulthard,5,5,77148
jenson-button,5,6,77053
felipe-massa,5,7,77927
jarno-trulli,5,8,77737
eddie-irvine,5,9,77546
nick-heidfeld,5,10,77559
mika-salo,5,11,77814
allan-mcnish,5,12,77864
jacques-villeneuve,5,13,78046
mark-webber,5,14,78319
pedro-de-la-rosa,5,15,78010
takuma-sato,5,16,77738
alex-yoong,5,17,79422
olivier-panis,5,18,76673
juan-pablo-montoya,6,1,76497
michael-schumacher,6,2,76564
kimi-raikkonen,6,3,76620
ralf-schumacher,6,4,76957
david-coulthard,6,5,77008
jenson-button,6,6,77034
felipe-massa,6,7,77460
jarno-trulli,6,8,77432
eddie-irvine,6,9,77429
nick-heidfeld,6,10,77686
mika-salo,6,11,78033
allan-mcnish,6,12,77920
jacques-villeneuve,6,13,77788
mark-webber,6,14,78017
pedro-de-la-rosa,6,15,78054
takuma-sato,6,16,77565
alex-yoong,6,17,79978
olivier-panis,6,18,76747
juan-pablo-montoya,7,1,76367
michael-schumacher,7,2,76523
kimi-raikkonen,7,3,76756
ralf-schumacher,7,4,76521
david-coulthard,7,5,76748
jenson-button,7,6,76978
jarno-trulli,7,7,77580
eddie-irvine,7,8,77465
felipe-massa,7,9,80695
nick-heidfeld,7,10,77601
mika-salo,7,11,78136
allan-mcnish,7,12,78013
jacques-villeneuve,7,13,78004
mark-webber,7,14,78108
pedro-de-la-rosa,7,15,78211
takuma-sato,7,16,77810
alex-yoong,7,17,79388
olivier-panis,7,18,76895
juan-pablo-montoya,8,1,76299
michael-schumacher,8,2,76310
kimi-raikkonen,8,3,76451
ralf-schumacher,8,4,76483
david-coulthard,8,5,76663
jenson-button,8,6,76775
jarno-trulli,8,7,76379
eddie-irvine,8,8,76878
nick-heidfeld,8,9,77504
mika-salo,8,10,78130
allan-mcnish,8,11,78144
jacques-villeneuve,8,12,78222
mark-webber,8,13,78239
pedro-de-la-rosa,8,14,78370
felipe-massa,8,15,85827
takuma-sato,8,16,79007
alex-yoong,8,17,85325
olivier-panis,8,18,77505
juan-pablo-montoya,9,1,76550
michael-schumacher,9,2,76512
kimi-raikkonen,9,3,76401
ralf-schumacher,9,4,76566
david-coulthard,9,5,76530
jenson-button,9,6,76906
jarno-trulli,9,7,76826
eddie-irvine,9,8,77382
nick-heidfeld,9,9,77682
mika-salo,9,10,78290
allan-mcnish,9,11,78321
jacques-villeneuve,9,12,78213
mark-webber,9,13,78261
pedro-de-la-rosa,9,14,78039
felipe-massa,9,15,78010
takuma-sato,9,16,77905
alex-yoong,9,17,79893
olivier-panis,9,18,79125
juan-pablo-montoya,10,1,76481
michael-schumacher,10,2,76448
kimi-raikkonen,10,3,76616
ralf-schumacher,10,4,76474
david-coulthard,10,5,76389
jenson-button,10,6,76528
jarno-trulli,10,7,76777
eddie-irvine,10,8,77473
nick-heidfeld,10,9,77489
mika-salo,10,10,78287
allan-mcnish,10,11,78162
jacques-villeneuve,10,12,78286
mark-webber,10,13,78489
pedro-de-la-rosa,10,14,78578
takuma-sato,10,15,78383
felipe-massa,10,16,81486
alex-yoong,10,17,80113
olivier-panis,10,18,76871
juan-pablo-montoya,11,1,76209
michael-schumacher,11,2,76495
kimi-raikkonen,11,3,76534
ralf-schumacher,11,4,76486
david-coulthard,11,5,76356
jenson-button,11,6,76405
jarno-trulli,11,7,76960
eddie-irvine,11,8,77010
nick-heidfeld,11,9,77584
mika-salo,11,10,78518
allan-mcnish,11,11,78551
jacques-villeneuve,11,12,78315
mark-webber,11,13,78530
pedro-de-la-rosa,11,14,78263
takuma-sato,11,15,78448
felipe-massa,11,16,85697
alex-yoong,11,17,79834
olivier-panis,11,18,76960
juan-pablo-montoya,12,1,76473
michael-schumacher,12,2,76335
kimi-raikkonen,12,3,76420
ralf-schumacher,12,4,76658
david-coulthard,12,5,76678
jenson-button,12,6,76714
jarno-trulli,12,7,77075
eddie-irvine,12,8,77461
nick-heidfeld,12,9,77491
mika-salo,12,10,78299
allan-mcnish,12,11,78617
jacques-villeneuve,12,12,78770
mark-webber,12,13,78161
pedro-de-la-rosa,12,14,78251
takuma-sato,12,15,78078
felipe-massa,12,16,77399
alex-yoong,12,17,79981
olivier-panis,12,18,77238
juan-pablo-montoya,13,1,76287
michael-schumacher,13,2,76362
kimi-raikkonen,13,3,76413
ralf-schumacher,13,4,76514
david-coulthard,13,5,76508
