driver_id,lap,position,time_ms
max-verstappen,1,1,105820
oscar-piastri,1,2,106554
lando-norris,1,3,108196
lewis-hamilton,1,4,108827
pierre-gasly,1,5,109058
fernando-alonso,1,6,110468
carlos-sainz-jr,1,7,111254
kimi-antonelli,1,8,111613
alexander-albon,1,9,112180
yuki-tsunoda,1,10,112897
nico-hulkenberg,1,11,113433
lance-stroll,1,12,114213
esteban-ocon,1,13,114646
george-russell,1,14,130567
charles-leclerc,1,15,131978
isack-hadjar,1,16,133171
gabriel-bortoleto,1,17,135202
oliver-bearman,1,18,136342
max-verstappen,2,1,135598
oscar-piastri,2,2,135131
lando-norris,2,3,136245
kimi-antonelli,2,4,133229
lewis-hamilton,2,5,137611
pierre-gasly,2,6,138221
fernando-alonso,2,7,137676
carlos-sainz-jr,2,8,138077
alexander-albon,2,9,138765
yuki-tsunoda,2,10,138902
nico-hulkenberg,2,11,139630
lance-stroll,2,12,139999
esteban-ocon,2,13,140933
george-russell,2,14,136938
charles-leclerc,2,15,137868
isack-hadjar,2,16,138715
gabriel-bortoleto,2,17,137780
oliver-bearman,2,18,137120
max-verstappen,3,1,137357
oscar-piastri,3,2,137795
lando-norris,3,3,137443
lewis-hamilton,3,4,136362
pierre-gasly,3,5,137418
fernando-alonso,3,6,137227
carlos-sainz-jr,3,7,137240
alexander-albon,3,8,136656
yuki-tsunoda,3,9,136524
nico-hulkenberg,3,10,135863
lance-stroll,3,11,135927
esteban-ocon,3,12,135573
kimi-antonelli,3,13,153550
george-russell,3,14,136427
charles-leclerc,3,15,135872
isack-hadjar,3,16,135981
gabriel-bortoleto,3,17,136121
oliver-bearman,3,18,137209
max-verstappen,4,1,105568
oscar-piastri,4,2,105828
lando-norris,4,3,105751
lewis-hamilton,4,4,106333
pierre-gasly,4,5,105466
fernando-alonso,4,6,105678
carlos-sainz-jr,4,7,106016
alexander-albon,4,8,105774
yuki-tsunoda,4,9,106058
nico-hulkenberg,4,10,106563
lance-stroll,4,11,106197
esteban-ocon,4,12,106266
kimi-antonelli,4,13,115035
george-russell,4,14,111418
charles-leclerc,4,15,112993
isack-hadjar,4,16,113542
oliver-bearman,4,17,111955
max-verstappen,5,1,104809
oscar-piastri,5,2,104455
lando-norris,5,3,105033
lewis-hamilton,5,4,107677
pierre-gasly,5,5,108978
fernando-alonso,5,6,109536
carlos-sainz-jr,5,7,110644
alexander-albon,5,8,110861
yuki-tsunoda,5,9,111106
nico-hulkenberg,5,10,111575
lance-stroll,5,11,111895
esteban-ocon,5,12,112165
george-russell,5,13,115425
kimi-antonelli,5,14,121805
charles-leclerc,5,15,118458
isack-hadjar,5,16,119848
oliver-bearman,5,17,120293
max-verstappen,6,1,139789
oscar-piastri,6,2,139626
lando-norris,6,3,139233
lewis-hamilton,6,4,136745
pierre-gasly,6,5,136266
fernando-alonso,6,6,136643
carlos-sainz-jr,6,7,135577
lance-stroll,6,8,131987
alexander-albon,6,9,136208
yuki-tsunoda,6,10,135867
nico-hulkenberg,6,11,136140
esteban-ocon,6,12,135737
george-russell,6,13,137488
kimi-antonelli,6,14,135762
charles-leclerc,6,15,137909
isack-hadjar,6,16,137761
oliver-bearman,6,17,137467
max-verstappen,7,1,122547
oscar-piastri,7,2,122770
lando-norris,7,3,123224
lewis-hamilton,7,4,124009
pierre-gasly,7,5,123029
fernando-alonso,7,6,122063
carlos-sainz-jr,7,7,122205
alexander-albon,7,8,121594
yuki-tsunoda,7,9,122043
nico-hulkenberg,7,10,121737
esteban-ocon,7,11,121435
lance-stroll,7,12,131823
george-russell,7,13,113675
kimi-antonelli,7,14,115536
charles-leclerc,7,15,112542
isack-hadjar,7,16,111751
oliver-bearman,7,17,111212
oscar-piastri,8,1,104171
max-verstappen,8,2,105834
lando-norris,8,3,104869
lewis-hamilton,8,4,106102
pierre-gasly,8,5,106083
fernando-alonso,8,6,106420
carlos-sainz-jr,8,7,106227
alexander-albon,8,8,106496
yuki-tsunoda,8,9,106957
nico-hulkenberg,8,10,106517
esteban-ocon,8,11,107293
lance-stroll,8,12,103353
george-russell,8,13,101287
kimi-antonelli,8,14,105576
charles-leclerc,8,15,104730
isack-hadjar,8,16,103759
oliver-bearman,8,17,104011
oscar-piastri,9,1,104393
max-verstappen,9,2,106326
lando-norris,9,3,105595
lewis-hamilton,9,4,108049
pierre-gasly,9,5,107962
fernando-alonso,9,6,107569
carlos-sainz-jr,9,7,107819
nico-hulkenberg,9,8,105879
alexander-albon,9,9,108888
yuki-tsunoda,9,10,109000
lance-stroll,9,11,104912
esteban-ocon,9,12,109361
george-russell,9,13,101503
kimi-antonelli,9,14,99336
charles-leclerc,9,15,100941
isack-hadjar,9,16,101705
oliver-bearman,9,17,102431
oscar-piastri,10,1,104890
max-verstappen,10,2,106432
lando-norris,10,3,105857
lewis-hamilton,10,4,108242
lance-stroll,10,5,100708
pierre-gasly,10,6,108953
fernando-alonso,10,7,108951
carlos-sainz-jr,10,8,108531
alexander-albon,10,9,109218
george-russell,10,10,102417
yuki-tsunoda,10,11,110083
esteban-ocon,10,12,109770
charles-leclerc,10,13,100092
isack-hadjar,10,14,102691
oliver-bearman,10,15,103208
nico-hulkenberg,10,16,124672
kimi-antonelli,10,17,125979
oscar-piastri,11,1,105937
lando-norris,11,2,107735
max-verstappen,11,3,110497
lewis-hamilton,11,4,109484
pierre-gasly,11,5,109240
fernando-alonso,11,6,109478
carlos-sainz-jr,11,7,109688
alexander-albon,11,8,111991
yuki-tsunoda,11,9,111245
esteban-ocon,11,10,111866
lance-stroll,11,11,126264
nico-hulkenberg,11,12,105789
george-russell,11,13,124881
charles-leclerc,11,14,128576
kimi-antonelli,11,15,108439
isack-hadjar,11,16,129977
oliver-bearman,11,17,128816
oscar-piastri,12,1,126150
max-verstappen,12,2,126914
alexander-albon,12,3,109680
lando-norris,12,4,130451
lance-stroll,12,5,107154
nico-hulkenberg,12,6,107347
esteban-ocon,12,7,110786
lewis-hamilton,12,8,127044
pierre-gasly,12,9,127003
fernando-alonso,12,10,127516
george-russell,12,11,107571
carlos-sainz-jr,12,12,128134
yuki-tsunoda,12,13,128361
charles-leclerc,12,14,108142
kimi-antonelli,12,15,107009
isack-hadjar,12,16,108339
oliver-bearman,12,17,108510
oscar-piastri,13,1,107585
max-verstappen,13,2,111224
lando-norris,13,3,109605
lance-stroll,13,4,112134
nico-hulkenberg,13,5,113815
pierre-gasly,13,6,115838
esteban-ocon,13,7,120169
lewis-hamilton,13,8,120754
george-russell,13,9,119779
fernando-alonso,13,10,122342
carlos-sainz-jr,13,11,123101
alexander-albon,13,12,138760
yuki-tsunoda,13,13,119762
charles-leclerc,13,14,120583
kimi-antonelli,13,15,118898
isack-hadjar,13,16,117216
oliver-bearman,13,17,118712
oscar-piastri,14,1,135810
max-verstappen,14,2,136820
lando-norris,14,3,138860
lance-stroll,14,4,138760
nico-hulkenberg,14,5,138607
pierre-gasly,14,6,136634
esteban-ocon,14,7,136497
lewis-hamilton,14,8,136623
george-russell,14,9,137864
fernando-alonso,14,10,136573
carlos-sainz-jr,14,11,135643
alexander-albon,14,12,133691
yuki-tsunoda,14,13,133549
charles-leclerc,14,14,135370
kimi-antonelli,14,15,136490
isack-hadjar,14,16,136377
oliver-bearman,14,17,136851
oscar-piastri,15,1,170312
max-verstappen,15,2,157643
lando-norris,15,3,157526
lance-stroll,15,4,151688
nico-hulkenberg,15,5,150156
pierre-gasly,15,6,148486
esteban-ocon,15,7,147377
lewis-hamilton,15,8,146802
george-russell,15,9,144561
fernando-alonso,15,10,144268
carlos-sainz-jr,15,11,144702
alexander-albon,15,12,144808
yuki-tsunoda,15,13,144454
charles-leclerc,15,14,142100
kimi-antonelli,15,15,140841
isack-hadjar,15,16,139641
oliver-bearman,15,17,137133
oscar-piastri,16,1,165231
max-verstappen,16,2,164552
lando-norris,16,3,164503
lance-stroll,16,4,164794
nico-hulkenberg,16,5,165071
pierre-gasly,16,6,165282
esteban-ocon,16,7,165222
lewis-hamilton,16,8,164792
george-russell,16,9,164546
fernando-alonso,16,10,165282
carlos-sainz-jr,16,11,163866
alexander-albon,16,12,164243
yuki-tsunoda,16,13,164090
charles-leclerc,16,14,164301
kimi-antonelli,16,15,164171
isack-hadjar,16,16,164362
oliver-bearman,16,17,164532
oscar-piastri,17,1,177051
max-verstappen,17,2,176861
lando-norris,17,3,175434
lance-stroll,17,4,174418
nico-hulkenberg,17,5,174133
pierre-gasly,17,6,173580
esteban-ocon,17,7,173176
lewis-hamilton,17,8,173294
george-russell,17,9,172528
fernando-alonso,17,10,172180
carlos-sainz-jr,17,11,171973
alexander-albon,17,12,171309
yuki-tsunoda,17,13,170971
charles-leclerc,17,14,169868
kimi-antonelli,17,15,169605
isack-hadjar,17,16,168551
oliver-bearman,17,17,168472
oscar-piastri,18,1,118043
max-verstappen,18,2,118665
lando-norris,18,3,119824
lance-stroll,18,4,120917
nico-hulkenberg,18,5,124183
esteban-ocon,18,6,123452
pierre-gasly,18,7,124781
lewis-hamilton,18,8,124321
george-russell,18,9,125399
fernando-alonso,18,10,127029
carlos-sainz-jr,18,11,128665
alexander-albon,18,12,128671
charles-leclerc,18,13,130334
yuki-tsunoda,18,14,132762
oliver-bearman,18,15,131242
kimi-antonelli,18,16,133800
oscar-piastri,19,1,159547
max-verstappen,19,2,159595
lando-norris,19,3,160057
lance-stroll,19,4,159678
nico-hulkenberg,19,5,156855
pierre-gasly,19,6,156831
lewis-hamilton,19,7,156595
george-russell,19,8,157108
fernando-alonso,19,9,155587
carlos-sainz-jr,19,10,154061
alexander-albon,19,11,154626
charles-leclerc,19,12,152749
yuki-tsunoda,19,13,151717
oliver-bearman,19,14,151766
kimi-antonelli,19,15,151136
esteban-ocon,19,16,166955
oscar-piastri,20,1,163087
max-verstappen,20,2,162616
lando-norris,20,3,162824
lance-stroll,20,4,162888
nico-hulkenberg,20,5,163007
pierre-gasly,20,6,163004
kimi-antonelli,20,7,154329
lewis-hamilton,20,8,163223
george-russell,20,9,163017
fernando-alonso,20,10,163063
carlos-sainz-jr,20,11,164088
alexander-albon,20,12,163967
charles-leclerc,20,13,164741
yuki-tsunoda,20,14,164622
oliver-bearman,20,15,164405
esteban-ocon,20,16,164506
oscar-piastri,21,1,161620
lando-norris,21,2,160127
lance-stroll,21,3,159605
nico-hulkenberg,21,4,159069
pierre-gasly,21,5,158346
lewis-hamilton,21,6,158174
george-russell,21,7,157138
fernando-alonso,21,8,156744
carlos-sainz-jr,21,9,155621
max-verstappen,21,10,168264
alexander-albon,21,11,155731
charles-leclerc,21,12,154503
yuki-tsunoda,21,13,153974
oliver-bearman,21,14,153813
esteban-ocon,21,15,152569
kimi-antonelli,21,16,164784
oscar-piastri,22,1,104494
lando-norris,22,2,105339
lance-stroll,22,3,108945
nico-hulkenberg,22,4,109150
pierre-gasly,22,5,109883
lewis-hamilton,22,6,110026
george-russell,22,7,110251
fernando-alonso,22,8,110388
carlos-sainz-jr,22,9,110697
max-verstappen,22,10,111018
alexander-albon,22,11,111437
charles-leclerc,22,12,111791
