driver_id,lap,position,time_ms
oscar-piastri,1,1,90286
lando-norris,1,2,91211
max-verstappen,1,3,92030
lewis-hamilton,1,4,92420
charles-leclerc,1,5,93063
kimi-antonelli,1,6,93893
isack-hadjar,1,7,94347
liam-lawson,1,8,95009
arvid-lindblad,1,9,95383
nico-hulkenberg,1,10,95853
pierre-gasly,1,11,96301
esteban-ocon,1,12,96871
gabriel-bortoleto,1,13,97037
franco-colapinto,1,14,97708
fernando-alonso,1,15,98187
oliver-bearman,1,16,98777
carlos-sainz-jr,1,17,99271
alexander-albon,1,18,99948
george-russell,1,19,100218
lance-stroll,1,20,100293
valtteri-bottas,1,21,100812
sergio-perez,1,22,101266
oscar-piastri,2,1,86060
lando-norris,2,2,86103
max-verstappen,2,3,85958
lewis-hamilton,2,4,85911
charles-leclerc,2,5,85916
kimi-antonelli,2,6,85919
isack-hadjar,2,7,86269
liam-lawson,2,8,87163
arvid-lindblad,2,9,88085
nico-hulkenberg,2,10,88356
pierre-gasly,2,11,88584
esteban-ocon,2,12,88696
gabriel-bortoleto,2,13,88743
franco-colapinto,2,14,88763
fernando-alonso,2,15,88901
oliver-bearman,2,16,88919
carlos-sainz-jr,2,17,89017
george-russell,2,18,88386
alexander-albon,2,19,89851
valtteri-bottas,2,20,89990
lance-stroll,2,21,90751
sergio-perez,2,22,90496
oscar-piastri,3,1,85272
lando-norris,3,2,85307
max-verstappen,3,3,85597
lewis-hamilton,3,4,85598
charles-leclerc,3,5,85679
kimi-antonelli,3,6,85930
isack-hadjar,3,7,85893
liam-lawson,3,8,86380
arvid-lindblad,3,9,87001
nico-hulkenberg,3,10,86963
pierre-gasly,3,11,87125
esteban-ocon,3,12,87489
gabriel-bortoleto,3,13,87634
franco-colapinto,3,14,88069
fernando-alonso,3,15,87883
oliver-bearman,3,16,88008
george-russell,3,17,87407
carlos-sainz-jr,3,18,89138
alexander-albon,3,19,88630
lance-stroll,3,20,87739
valtteri-bottas,3,21,89155
sergio-perez,3,22,89025
oscar-piastri,4,1,85154
lando-norris,4,2,85184
max-verstappen,4,3,85359
lewis-hamilton,4,4,85616
charles-leclerc,4,5,85701
kimi-antonelli,4,6,85640
isack-hadjar,4,7,85808
liam-lawson,4,8,86605
arvid-lindblad,4,9,87240
nico-hulkenberg,4,10,87400
pierre-gasly,4,11,87581
esteban-ocon,4,12,87649
gabriel-bortoleto,4,13,87566
franco-colapinto,4,14,87801
fernando-alonso,4,15,88021
george-russell,4,16,87264
oliver-bearman,4,17,88723
carlos-sainz-jr,4,18,88343
alexander-albon,4,19,88479
lance-stroll,4,20,88366
valtteri-bottas,4,21,87959
sergio-perez,4,22,88623
oscar-piastri,5,1,85095
lando-norris,5,2,85223
max-verstappen,5,3,85743
lewis-hamilton,5,4,85806
charles-leclerc,5,5,85811
kimi-antonelli,5,6,85817
isack-hadjar,5,7,86077
liam-lawson,5,8,86739
arvid-lindblad,5,9,86822
nico-hulkenberg,5,10,86895
pierre-gasly,5,11,87127
esteban-ocon,5,12,87493
gabriel-bortoleto,5,13,87675
franco-colapinto,5,14,88168
george-russell,5,15,87339
fernando-alonso,5,16,89290
oliver-bearman,5,17,88462
carlos-sainz-jr,5,18,88488
lance-stroll,5,19,87685
alexander-albon,5,20,89269
valtteri-bottas,5,21,89154
sergio-perez,5,22,88785
oscar-piastri,6,1,85030
lando-norris,6,2,85091
max-verstappen,6,3,85396
lewis-hamilton,6,4,85228
charles-leclerc,6,5,85434
kimi-antonelli,6,6,85636
isack-hadjar,6,7,86567
liam-lawson,6,8,86820
arvid-lindblad,6,9,86830
nico-hulkenberg,6,10,86842
pierre-gasly,6,11,87415
esteban-ocon,6,12,87680
gabriel-bortoleto,6,13,87668
george-russell,6,14,86556
franco-colapinto,6,15,88290
fernando-alonso,6,16,87262
oliver-bearman,6,17,88112
carlos-sainz-jr,6,18,88472
lance-stroll,6,19,88365
alexander-albon,6,20,88665
valtteri-bottas,6,21,88847
sergio-perez,6,22,89083
oscar-piastri,7,1,84840
lando-norris,7,2,85360
max-verstappen,7,3,85388
lewis-hamilton,7,4,85474
charles-leclerc,7,5,85468
kimi-antonelli,7,6,85751
isack-hadjar,7,7,86478
liam-lawson,7,8,86841
arvid-lindblad,7,9,86902
nico-hulkenberg,7,10,87058
pierre-gasly,7,11,87468
esteban-ocon,7,12,87684
gabriel-bortoleto,7,13,87777
george-russell,7,14,87165
franco-colapinto,7,15,87505
fernando-alonso,7,16,87495
oliver-bearman,7,17,88182
carlos-sainz-jr,7,18,88328
lance-stroll,7,19,88362
alexander-albon,7,20,88616
valtteri-bottas,7,21,88764
sergio-perez,7,22,89245
oscar-piastri,8,1,85339
lando-norris,8,2,85530
max-verstappen,8,3,85474
lewis-hamilton,8,4,85369
charles-leclerc,8,5,85435
kimi-antonelli,8,6,85733
isack-hadjar,8,7,86730
liam-lawson,8,8,86608
arvid-lindblad,8,9,86748
nico-hulkenberg,8,10,86943
pierre-gasly,8,11,87215
esteban-ocon,8,12,87924
george-russell,8,13,87348
gabriel-bortoleto,8,14,88395
franco-colapinto,8,15,87888
fernando-alonso,8,16,87678
oliver-bearman,8,17,88033
carlos-sainz-jr,8,18,88354
alexander-albon,8,19,88460
lance-stroll,8,20,91065
valtteri-bottas,8,21,89003
sergio-perez,8,22,89208
oscar-piastri,9,1,85389
lando-norris,9,2,85194
max-verstappen,9,3,85635
lewis-hamilton,9,4,85910
charles-leclerc,9,5,85532
kimi-antonelli,9,6,85491
isack-hadjar,9,7,86256
liam-lawson,9,8,86612
arvid-lindblad,9,9,87044
nico-hulkenberg,9,10,87121
pierre-gasly,9,11,87361
george-russell,9,12,86075
esteban-ocon,9,13,88719
gabriel-bortoleto,9,14,88201
franco-colapinto,9,15,88032
fernando-alonso,9,16,88149
oliver-bearman,9,17,88085
carlos-sainz-jr,9,18,88193
alexander-albon,9,19,87831
valtteri-bottas,9,20,88802
sergio-perez,9,21,89295
lance-stroll,9,22,104057
oscar-piastri,10,1,85666
lando-norris,10,2,85269
max-verstappen,10,3,85622
lewis-hamilton,10,4,85401
charles-leclerc,10,5,85797
kimi-antonelli,10,6,85502
isack-hadjar,10,7,86390
liam-lawson,10,8,86939
arvid-lindblad,10,9,87091
nico-hulkenberg,10,10,87206
pierre-gasly,10,11,87485
george-russell,10,12,86683
esteban-ocon,10,13,87806
gabriel-bortoleto,10,14,87953
franco-colapinto,10,15,88107
fernando-alonso,10,16,87887
oliver-bearman,10,17,88232
carlos-sainz-jr,10,18,88120
alexander-albon,10,19,88497
valtteri-bottas,10,20,88874
sergio-perez,10,21,89627
lance-stroll,10,22,86397
oscar-piastri,11,1,85418
lando-norris,11,2,85335
max-verstappen,11,3,85627
lewis-hamilton,11,4,85732
charles-leclerc,11,5,85824
kimi-antonelli,11,6,85972
isack-hadjar,11,7,86781
liam-lawson,11,8,86861
arvid-lindblad,11,9,87056
nico-hulkenberg,11,10,87447
pierre-gasly,11,11,88245
george-russell,11,12,87622
esteban-ocon,11,13,88194
gabriel-bortoleto,11,14,88014
franco-colapinto,11,15,87978
fernando-alonso,11,16,88208
oliver-bearman,11,17,88129
carlos-sainz-jr,11,18,87946
alexander-albon,11,19,88411
valtteri-bottas,11,20,88935
sergio-perez,11,21,89549
lance-stroll,11,22,87235
oscar-piastri,12,1,85798
lando-norris,12,2,85719
max-verstappen,12,3,85733
lewis-hamilton,12,4,85803
charles-leclerc,12,5,86055
kimi-antonelli,12,6,86066
isack-hadjar,12,7,86788
liam-lawson,12,8,87095
arvid-lindblad,12,9,87425
nico-hulkenberg,12,10,87325
george-russell,12,11,86685
pierre-gasly,12,12,89116
esteban-ocon,12,13,88685
gabriel-bortoleto,12,14,88717
franco-colapinto,12,15,88270
fernando-alonso,12,16,88216
oliver-bearman,12,17,88359
carlos-sainz-jr,12,18,88121
alexander-albon,12,19,91197
valtteri-bottas,12,20,89344
sergio-perez,12,21,89694
lance-stroll,12,22,87803
oscar-piastri,13,1,85925
lando-norris,13,2,85845
max-verstappen,13,3,85957
charles-leclerc,13,4,86069
lewis-hamilton,13,5,88640
kimi-antonelli,13,6,86163
isack-hadjar,13,7,86844
liam-lawson,13,8,86918
arvid-lindblad,13,9,87268
nico-hulkenberg,13,10,87136
george-russell,13,11,86257
pierre-gasly,13,12,88596
esteban-ocon,13,13,88311
gabriel-bortoleto,13,14,88381
franco-colapinto,13,15,88351
fernando-alonso,13,16,88327
oliver-bearman,13,17,88612
carlos-sainz-jr,13,18,88374
alexander-albon,13,19,88837
valtteri-bottas,13,20,89621
sergio-perez,13,21,89371
lance-stroll,13,22,87528
oscar-piastri,14,1,85681
lando-norris,14,2,85579
charles-leclerc,14,3,86049
max-verstappen,14,4,88509
kimi-antonelli,14,5,86080
isack-hadjar,14,6,86995
liam-lawson,14,7,87111
lewis-hamilton,14,8,103085
arvid-lindblad,14,9,88124
nico-hulkenberg,14,10,87745
george-russell,14,11,86597
pierre-gasly,14,12,87522
gabriel-bortoleto,14,13,88119
esteban-ocon,14,14,89762
franco-colapinto,14,15,89139
fernando-alonso,14,16,88777
oliver-bearman,14,17,88512
carlos-sainz-jr,14,18,88551
alexander-albon,14,19,88248
sergio-perez,14,20,89342
lance-stroll,14,21,88174
oscar-piastri,15,1,85643
lando-norris,15,2,85613
charles-leclerc,15,3,86066
kimi-antonelli,15,4,86052
isack-hadjar,15,5,86758
lewis-hamilton,15,6,84937
liam-lawson,15,7,87540
max-verstappen,15,8,103352
arvid-lindblad,15,9,87494
nico-hulkenberg,15,10,87489
george-russell,15,11,86714
pierre-gasly,15,12,88083
gabriel-bortoleto,15,13,87184
esteban-ocon,15,14,88193
fernando-alonso,15,15,88534
franco-colapinto,15,16,90993
oliver-bearman,15,17,88489
carlos-sainz-jr,15,18,88658
alexander-albon,15,19,88500
sergio-perez,15,20,89719
lance-stroll,15,21,88619
lando-norris,16,1,85878
oscar-piastri,16,2,88518
kimi-antonelli,16,3,85974
charles-leclerc,16,4,88909
isack-hadjar,16,5,86879
max-verstappen,16,6,84985
lewis-hamilton,16,7,86092
liam-lawson,16,8,88845
arvid-lindblad,16,9,87506
nico-hulkenberg,16,10,87626
george-russell,16,11,87232
gabriel-bortoleto,16,12,87128
pierre-gasly,16,13,91103
esteban-ocon,16,14,88293
fernando-alonso,16,15,87683
oliver-bearman,16,16,88383
carlos-sainz-jr,16,17,88154
alexander-albon,16,18,88309
lance-stroll,16,19,87720
franco-colapinto,16,20,107212
sergio-perez,16,21,91287
lando-norris,17,1,87912
kimi-antonelli,17,2,85770
isack-hadjar,17,3,87317
oscar-piastri,17,4,104725
max-verstappen,17,5,84969
lewis-hamilton,17,6,85064
charles-leclerc,17,7,104646
liam-lawson,17,8,87906
arvid-lindblad,17,9,87760
george-russell,17,10,86514
nico-hulkenberg,17,11,88471
gabriel-bortoleto,17,12,87330
fernando-alonso,17,13,87856
esteban-ocon,17,14,90958
oliver-bearman,17,15,88363
carlos-sainz-jr,17,16,88082
alexander-albon,17,17,87976
pierre-gasly,17,18,105148
lance-stroll,17,19,86999
franco-colapinto,17,20,86011
sergio-perez,17,21,90207
kimi-antonelli,18,1,85554
isack-hadjar,18,2,86939
oscar-piastri,18,3,86476
lando-norris,18,4,105312
max-verstappen,18,5,85979
lewis-hamilton,18,6,85654
charles-leclerc,18,7,84536
liam-lawson,18,8,87701
george-russell,18,9,86082
arvid-lindblad,18,10,88488
nico-hulkenberg,18,11,87673
gabriel-bortoleto,18,12,86797
fernando-alonso,18,13,87186
oliver-bearman,18,14,87898
carlos-sainz-jr,18,15,90214
alexander-albon,18,16,88214
pierre-gasly,18,17,86756
lance-stroll,18,18,86951
franco-colapinto,18,19,86559
esteban-ocon,18,20,106962
sergio-perez,18,21,89556
kimi-antonelli,19,1,85632
oscar-piastri,19,2,84843
lando-norris,19,3,85351
max-verstappen,19,4,85648
lewis-hamilton,19,5,86384
charles-leclerc,19,6,84876
isack-hadjar,19,7,91582
liam-lawson,19,8,87559
george-russell,19,9,86246
arvid-lindblad,19,10,87365
nico-hulkenberg,19,11,90376
gabriel-bortoleto,19,12,86927
fernando-alonso,19,13,87535
oliver-bearman,19,14,88083
pierre-gasly,19,15,85638
alexander-albon,19,16,89114
lance-stroll,19,17,87229
franco-colapinto,19,18,87255
esteban-ocon,19,19,86962
carlos-sainz-jr,19,20,104718
sergio-perez,19,21,89923
kimi-antonelli,20,1,85510
oscar-piastri,20,2,84507
lando-norris,20,3,84374
max-verstappen,20,4,84965
lewis-hamilton,20,5,85255
charles-leclerc,20,6,85034
liam-lawson,20,7,87683
george-russell,20,8,86703
arvid-lindblad,20,9,89434
isack-hadjar,20,10,104672
gabriel-bortoleto,20,11,87548
fernando-alonso,20,12,87515
nico-hulkenberg,20,13,104492
oliver-bearman,20,14,88356
pierre-gasly,20,15,85992
alexander-albon,20,16,88621
lance-stroll,20,17,87300
franco-colapinto,20,18,87245
esteban-ocon,20,19,86969
carlos-sainz-jr,20,20,86930
sergio-perez,20,21,89335
kimi-antonelli,21,1,85702
oscar-piastri,21,2,84446
lando-norris,21,3,84349
max-verstappen,21,4,85211
lewis-hamilton,21,5,85207
charles-leclerc,21,6,84871
george-russell,21,7,85954
liam-lawson,21,8,90678
isack-hadjar,21,9,84643
gabriel-bortoleto,21,10,86823
fernando-alonso,21,11,87559
arvid-lindblad,21,12,104243
nico-hulkenberg,21,13,85814
oliver-bearman,21,14,89195
pierre-gasly,21,15,86389
alexander-albon,21,16,88380
lance-stroll,21,17,87556
franco-colapinto,21,18,87607
esteban-ocon,21,19,87405
carlos-sainz-jr,21,20,86948
sergio-perez,21,21,92338
kimi-antonelli,22,1,88510
oscar-piastri,22,2,84282
lando-norris,22,3,84689
max-verstappen,22,4,85317
lewis-hamilton,22,5,85231
charles-leclerc,22,6,84869
george-russell,22,7,85609
isack-hadjar,22,8,84783
gabriel-bortoleto,22,9,86790
fernando-alonso,22,10,87363
liam-lawson,22,11,105587
arvid-lindblad,22,12,86841
nico-hulkenberg,22,13,87780
pierre-gasly,22,14,86352
oliver-bearman,22,15,91004
alexander-albon,22,16,88341
lance-stroll,22,17,87150
franco-colapinto,22,18,87103
esteban-ocon,22,19,87081
carlos-sainz-jr,22,20,87248
sergio-perez,22,21,108751
oscar-piastri,23,1,84478
lando-norris,23,2,84405
max-verstappen,23,3,85073
lewis-hamilton,23,4,85575
charles-leclerc,23,5,84944
kimi-antonelli,23,6,104538
george-russell,23,7,86076
isack-hadjar,23,8,84908
gabriel-bortoleto,23,9,87145
fernando-alonso,23,10,87547
liam-lawson,23,11,86344
arvid-lindblad,23,12,86402
nico-hulkenberg,23,13,87049
pierre-gasly,23,14,86628
alexander-albon,23,15,88522
lance-stroll,23,16,88019
franco-colapinto,23,17,88139
esteban-ocon,23,18,87428
carlos-sainz-jr,23,19,87563
oliver-bearman,23,20,105840
sergio-perez,23,21,86342
oscar-piastri,24,1,84792
lando-norris,24,2,84496
max-verstappen,24,3,85027
lewis-hamilton,24,4,85250
charles-leclerc,24,5,84989
kimi-antonelli,24,6,84119
george-russell,24,7,86206
isack-hadjar,24,8,84942
gabriel-bortoleto,24,9,87270
liam-lawson,24,10,85714
fernando-alonso,24,11,88587
arvid-lindblad,24,12,87463
nico-hulkenberg,24,13,86979
pierre-gasly,24,14,86636
alexander-albon,24,15,88227
lance-stroll,24,16,88086
franco-colapinto,24,17,88095
esteban-ocon,24,18,87713
carlos-sainz-jr,24,19,87042
oliver-bearman,24,20,85884
sergio-perez,24,21,87359
oscar-piastri,25,1,84957
lando-norris,25,2,84973
max-verstappen,25,3,85172
lewis-hamilton,25,4,85153
charles-leclerc,25,5,85074
kimi-antonelli,25,6,84444
george-russell,25,7,86324
isack-hadjar,25,8,85133
gabriel-bortoleto,25,9,86893
liam-lawson,25,10,86149
arvid-lindblad,25,11,86696
fernando-alonso,25,12,89121
nico-hulkenberg,25,13,87158
pierre-gasly,25,14,86811
lance-stroll,25,15,86862
alexander-albon,25,16,89862
franco-colapinto,25,17,88963
esteban-ocon,25,18,88689
carlos-sainz-jr,25,19,87484
oliver-bearman,25,20,86627
sergio-perez,25,21,87246
oscar-piastri,26,1,85405
lando-norris,26,2,85464
max-verstappen,26,3,85446
lewis-hamilton,26,4,85540
charles-leclerc,26,5,85750
kimi-antonelli,26,6,84498
george-russell,26,7,86737
isack-hadjar,26,8,85546
gabriel-bortoleto,26,9,87243
liam-lawson,26,10,85847
arvid-lindblad,26,11,86370
nico-hulkenberg,26,12,86034
pierre-gasly,26,13,87338
fernando-alonso,26,14,89776
lance-stroll,26,15,87172
franco-colapinto,26,16,87096
esteban-ocon,26,17,89084
carlos-sainz-jr,26,18,88007
alexander-albon,26,19,91997
oliver-bearman,26,20,86978
sergio-perez,26,21,87857
oscar-piastri,27,1,85465
lando-norris,27,2,85532
max-verstappen,27,3,85470
lewis-hamilton,27,4,85926
charles-leclerc,27,5,85974
kimi-antonelli,27,6,85295
george-russell,27,7,89524
isack-hadjar,27,8,85748
gabriel-bortoleto,27,9,87136
liam-lawson,27,10,86090
arvid-lindblad,27,11,86228
nico-hulkenberg,27,12,86443
pierre-gasly,27,13,86736
fernando-alonso,27,14,87963
lance-stroll,27,15,86837
franco-colapinto,27,16,87138
esteban-ocon,27,17,87112
carlos-sainz-jr,27,18,87684
oliver-bearman,27,19,86972
alexander-albon,27,20,108303
sergio-perez,27,21,87733
oscar-piastri,28,1,85122
lando-norris,28,2,85071
max-verstappen,28,3,85114
