driver_id,lap,position,time_ms
sebastian-vettel,1,1,92771
felipe-massa,1,2,95261
nico-rosberg,1,3,96003
lewis-hamilton,1,4,96592
nico-hulkenberg,1,5,97178
kimi-raikkonen,1,6,97600
mark-webber,1,7,98171
sergio-perez,1,8,98803
daniel-ricciardo,1,9,99529
fernando-alonso,1,10,100693
adrian-sutil,1,11,101562
pastor-maldonado,1,12,102128
jenson-button,1,13,102416
esteban-gutierrez,1,14,103160
paul-di-resta,1,15,103709
romain-grosjean,1,16,103765
valtteri-bottas,1,17,103771
jules-bianchi,1,18,104613
max-chilton,1,19,105185
jean-eric-vergne,1,20,105281
charles-pic,1,21,131024
giedo-van-der-garde,1,22,162390
sebastian-vettel,2,1,94399
felipe-massa,2,2,92981
nico-rosberg,2,3,93101
lewis-hamilton,2,4,93278
nico-hulkenberg,2,5,93703
kimi-raikkonen,2,6,93824
mark-webber,2,7,94156
sergio-perez,2,8,94165
daniel-ricciardo,2,9,94622
adrian-sutil,2,10,95887
jenson-button,2,11,95341
pastor-maldonado,2,12,96278
esteban-gutierrez,2,13,95913
romain-grosjean,2,14,95523
fernando-alonso,2,15,98865
valtteri-bottas,2,16,96117
jules-bianchi,2,17,96235
max-chilton,2,18,97351
paul-di-resta,2,19,113339
jean-eric-vergne,2,20,113633
charles-pic,2,21,122121
felipe-massa,3,1,92706
nico-rosberg,3,2,92990
lewis-hamilton,3,3,93063
nico-hulkenberg,3,4,93480
kimi-raikkonen,3,5,93279
mark-webber,3,6,93131
sergio-perez,3,7,93752
daniel-ricciardo,3,8,94155
jenson-button,3,9,93855
adrian-sutil,3,10,95235
pastor-maldonado,3,11,94926
romain-grosjean,3,12,95038
esteban-gutierrez,3,13,95535
valtteri-bottas,3,14,95393
jules-bianchi,3,15,95570
max-chilton,3,16,96102
sebastian-vettel,3,17,112178
paul-di-resta,3,18,93268
jean-eric-vergne,3,19,93514
fernando-alonso,3,20,118816
charles-pic,3,21,96043
felipe-massa,4,1,92716
nico-rosberg,4,2,92746
lewis-hamilton,4,3,93097
nico-hulkenberg,4,4,93713
kimi-raikkonen,4,5,93935
mark-webber,4,6,93813
sergio-perez,4,7,93548
daniel-ricciardo,4,8,94133
jenson-button,4,9,93599
adrian-sutil,4,10,93957
romain-grosjean,4,11,93374
pastor-maldonado,4,12,94816
esteban-gutierrez,4,13,94349
valtteri-bottas,4,14,94445
jules-bianchi,4,15,95967
sebastian-vettel,4,16,93208
max-chilton,4,17,96947
paul-di-resta,4,18,93317
jean-eric-vergne,4,19,93688
fernando-alonso,4,20,92814
charles-pic,4,21,95752
felipe-massa,5,1,92921
nico-rosberg,5,2,93049
lewis-hamilton,5,3,93318
kimi-raikkonen,5,4,93771
mark-webber,5,5,93634
nico-hulkenberg,5,6,95785
sergio-perez,5,7,93736
daniel-ricciardo,5,8,93925
jenson-button,5,9,93615
adrian-sutil,5,10,93819
romain-grosjean,5,11,93571
pastor-maldonado,5,12,94182
esteban-gutierrez,5,13,94483
valtteri-bottas,5,14,94459
