driver_id,lap,position,time_ms
pierre-gasly,1,1,88470
george-russell,1,2,88774
charles-leclerc,1,3,89371
max-verstappen,1,4,89682
oscar-piastri,1,5,90028
franco-colapinto,1,6,90606
lando-norris,1,7,91580
arvid-lindblad,1,8,92262
oliver-bearman,1,9,92659
lewis-hamilton,1,10,93234
gabriel-bortoleto,1,11,93432
esteban-ocon,1,12,93920
nico-hulkenberg,1,13,95032
kimi-antonelli,1,14,95414
yuki-tsunoda,1,15,96174
carlos-sainz-jr,1,16,96596
sergio-perez,1,17,96657
alexander-albon,1,18,97381
liam-lawson,1,19,97497
lance-stroll,1,20,97717
valtteri-bottas,1,21,97725
fernando-alonso,1,22,98367
george-russell,2,1,86651
pierre-gasly,2,2,87795
max-verstappen,2,3,87174
oscar-piastri,2,4,87486
franco-colapinto,2,5,87137
lando-norris,2,6,86915
arvid-lindblad,2,7,87165
oliver-bearman,2,8,87733
lewis-hamilton,2,9,87244
esteban-ocon,2,10,87558
gabriel-bortoleto,2,11,88416
kimi-antonelli,2,12,87011
nico-hulkenberg,2,13,87941
yuki-tsunoda,2,14,88814
carlos-sainz-jr,2,15,89305
liam-lawson,2,16,88836
sergio-perez,2,17,90033
alexander-albon,2,18,90395
fernando-alonso,2,19,91150
valtteri-bottas,2,20,91895
lance-stroll,2,21,92315
george-russell,3,1,119148
pierre-gasly,3,2,123475
max-verstappen,3,3,125983
franco-colapinto,3,4,126896
oscar-piastri,3,5,133714
lando-norris,3,6,135827
arvid-lindblad,3,7,136778
lewis-hamilton,3,8,138027
oliver-bearman,3,9,142717
esteban-ocon,3,10,144115
gabriel-bortoleto,3,11,145367
kimi-antonelli,3,12,146043
nico-hulkenberg,3,13,147527
yuki-tsunoda,3,14,151310
liam-lawson,3,15,153953
carlos-sainz-jr,3,16,155946
sergio-perez,3,17,158791
alexander-albon,3,18,159477
valtteri-bottas,3,19,159919
lance-stroll,3,20,162980
fernando-alonso,3,21,169953
george-russell,4,1,1958319
pierre-gasly,4,2,1955174
max-verstappen,4,3,1956913
franco-colapinto,4,4,1957224
oscar-piastri,4,5,1954257
lando-norris,4,6,1953175
arvid-lindblad,4,7,1953462
lewis-hamilton,4,8,1956220
oliver-bearman,4,9,1953349
esteban-ocon,4,10,1954058
gabriel-bortoleto,4,11,1954830
kimi-antonelli,4,12,1955709
nico-hulkenberg,4,13,1956009
yuki-tsunoda,4,14,1954517
liam-lawson,4,15,1952849
carlos-sainz-jr,4,16,1953793
sergio-perez,4,17,1952583
alexander-albon,4,18,1952319
valtteri-bottas,4,19,1952109
lance-stroll,4,20,1952267
fernando-alonso,4,21,1948683
george-russell,5,1,200259
pierre-gasly,5,2,200677
max-verstappen,5,3,198400
franco-colapinto,5,4,198372
oscar-piastri,5,5,196620
lando-norris,5,6,197849
arvid-lindblad,5,7,197161
lewis-hamilton,5,8,194748
oliver-bearman,5,9,194870
esteban-ocon,5,10,194602
gabriel-bortoleto,5,11,198186
kimi-antonelli,5,12,199022
nico-hulkenberg,5,13,197751
yuki-tsunoda,5,14,198308
liam-lawson,5,15,198082
carlos-sainz-jr,5,16,198108
sergio-perez,5,17,196624
alexander-albon,5,18,197566
valtteri-bottas,5,19,197236
lance-stroll,5,20,196538
fernando-alonso,5,21,195888
george-russell,6,1,166237
pierre-gasly,6,2,164926
max-verstappen,6,3,162824
oscar-piastri,6,4,160368
lewis-hamilton,6,5,153014
arvid-lindblad,6,6,156951
lando-norris,6,7,158440
kimi-antonelli,6,8,140752
oliver-bearman,6,9,153391
yuki-tsunoda,6,10,136065
nico-hulkenberg,6,11,140996
liam-lawson,6,12,134843
esteban-ocon,6,13,151871
carlos-sainz-jr,6,14,133388
franco-colapinto,6,15,167838
gabriel-bortoleto,6,16,147850
sergio-perez,6,17,134373
alexander-albon,6,18,132275
lance-stroll,6,19,127640
fernando-alonso,6,20,125482
valtteri-bottas,6,21,131615
george-russell,7,1,86440
max-verstappen,7,2,86328
pierre-gasly,7,3,87477
lewis-hamilton,7,4,86663
oscar-piastri,7,5,87432
kimi-antonelli,7,6,86503
lando-norris,7,7,86993
arvid-lindblad,7,8,87902
oliver-bearman,7,9,88252
yuki-tsunoda,7,10,88090
nico-hulkenberg,7,11,88531
liam-lawson,7,12,88260
esteban-ocon,7,13,88798
carlos-sainz-jr,7,14,88332
gabriel-bortoleto,7,15,88211
franco-colapinto,7,16,88926
sergio-perez,7,17,88725
alexander-albon,7,18,89017
fernando-alonso,7,19,89577
lance-stroll,7,20,90832
valtteri-bottas,7,21,89851
george-russell,8,1,86093
max-verstappen,8,2,86407
pierre-gasly,8,3,86557
lewis-hamilton,8,4,85931
oscar-piastri,8,5,86051
kimi-antonelli,8,6,86300
lando-norris,8,7,86433
arvid-lindblad,8,8,86830
oliver-bearman,8,9,87442
yuki-tsunoda,8,10,87369
liam-lawson,8,11,87679
nico-hulkenberg,8,12,88742
esteban-ocon,8,13,88213
carlos-sainz-jr,8,14,88665
gabriel-bortoleto,8,15,88035
franco-colapinto,8,16,88122
sergio-perez,8,17,88382
alexander-albon,8,18,88244
fernando-alonso,8,19,87961
valtteri-bottas,8,20,88429
lance-stroll,8,21,89718
george-russell,9,1,86495
max-verstappen,9,2,86096
pierre-gasly,9,3,86428
lewis-hamilton,9,4,86176
oscar-piastri,9,5,85978
kimi-antonelli,9,6,85749
lando-norris,9,7,86203
arvid-lindblad,9,8,86526
yuki-tsunoda,9,9,86631
oliver-bearman,9,10,87651
liam-lawson,9,11,86838
nico-hulkenberg,9,12,87005
esteban-ocon,9,13,87357
gabriel-bortoleto,9,14,87597
carlos-sainz-jr,9,15,88223
franco-colapinto,9,16,87968
alexander-albon,9,17,87844
sergio-perez,9,18,88491
fernando-alonso,9,19,88093
valtteri-bottas,9,20,89044
lance-stroll,9,21,89406
george-russell,10,1,86305
max-verstappen,10,2,85609
lewis-hamilton,10,3,86082
oscar-piastri,10,4,86321
kimi-antonelli,10,5,86352
pierre-gasly,10,6,88305
lando-norris,10,7,86591
arvid-lindblad,10,8,86552
yuki-tsunoda,10,9,86994
oliver-bearman,10,10,87260
liam-lawson,10,11,87259
nico-hulkenberg,10,12,87082
esteban-ocon,10,13,87462
gabriel-bortoleto,10,14,87849
carlos-sainz-jr,10,15,87945
franco-colapinto,10,16,87626
alexander-albon,10,17,88151
sergio-perez,10,18,88248
fernando-alonso,10,19,88261
valtteri-bottas,10,20,89110
lance-stroll,10,21,89060
george-russell,11,1,86630
max-verstappen,11,2,86154
lewis-hamilton,11,3,86738
oscar-piastri,11,4,86086
kimi-antonelli,11,5,86101
pierre-gasly,11,6,86546
lando-norris,11,7,86238
arvid-lindblad,11,8,86667
yuki-tsunoda,11,9,86859
oliver-bearman,11,10,87380
liam-lawson,11,11,88705
nico-hulkenberg,11,12,88411
esteban-ocon,11,13,87862
carlos-sainz-jr,11,14,87155
gabriel-bortoleto,11,15,87978
franco-colapinto,11,16,87702
alexander-albon,11,17,88044
sergio-perez,11,18,88527
fernando-alonso,11,19,88548
valtteri-bottas,11,20,88906
lance-stroll,11,21,88415
max-verstappen,12,1,86438
george-russell,12,2,87352
oscar-piastri,12,3,85975
kimi-antonelli,12,4,85721
lewis-hamilton,12,5,87104
pierre-gasly,12,6,86112
lando-norris,12,7,86213
arvid-lindblad,12,8,86508
yuki-tsunoda,12,9,86733
oliver-bearman,12,10,87033
nico-hulkenberg,12,11,87856
esteban-ocon,12,12,88095
gabriel-bortoleto,12,13,86673
carlos-sainz-jr,12,14,87941
franco-colapinto,12,15,87951
alexander-albon,12,16,87078
liam-lawson,12,17,93743
sergio-perez,12,18,88087
fernando-alonso,12,19,88323
valtteri-bottas,12,20,88549
lance-stroll,12,21,88887
max-verstappen,13,1,86280
george-russell,13,2,86142
kimi-antonelli,13,3,85469
oscar-piastri,13,4,86547
lewis-hamilton,13,5,85929
pierre-gasly,13,6,85998
lando-norris,13,7,86070
arvid-lindblad,13,8,86710
yuki-tsunoda,13,9,86481
oliver-bearman,13,10,86883
nico-hulkenberg,13,11,87540
esteban-ocon,13,12,86890
gabriel-bortoleto,13,13,86929
carlos-sainz-jr,13,14,87268
franco-colapinto,13,15,87236
alexander-albon,13,16,87066
sergio-perez,13,17,88614
fernando-alonso,13,18,88213
valtteri-bottas,13,19,88807
lance-stroll,13,20,88946
liam-lawson,13,21,115493
max-verstappen,14,1,86411
george-russell,14,2,86549
kimi-antonelli,14,3,85828
oscar-piastri,14,4,86111
lewis-hamilton,14,5,86415
pierre-gasly,14,6,86221
lando-norris,14,7,86060
arvid-lindblad,14,8,86522
yuki-tsunoda,14,9,86876
oliver-bearman,14,10,87305
nico-hulkenberg,14,11,87394
esteban-ocon,14,12,87640
gabriel-bortoleto,14,13,87295
carlos-sainz-jr,14,14,87406
franco-colapinto,14,15,87071
alexander-albon,14,16,87405
sergio-perez,14,17,88920
fernando-alonso,14,18,88889
valtteri-bottas,14,19,88370
lance-stroll,14,20,89076
liam-lawson,14,21,87044
george-russell,15,1,85773
max-verstappen,15,2,86958
kimi-antonelli,15,3,86118
oscar-piastri,15,4,86233
lewis-hamilton,15,5,85869
pierre-gasly,15,6,86246
lando-norris,15,7,86201
arvid-lindblad,15,8,86841
yuki-tsunoda,15,9,86530
oliver-bearman,15,10,87145
nico-hulkenberg,15,11,87629
gabriel-bortoleto,15,12,86993
esteban-ocon,15,13,87795
carlos-sainz-jr,15,14,87571
franco-colapinto,15,15,87214
alexander-albon,15,16,87772
sergio-perez,15,17,89001
fernando-alonso,15,18,88951
valtteri-bottas,15,19,88597
lance-stroll,15,20,89438
liam-lawson,15,21,86698
george-russell,16,1,85742
kimi-antonelli,16,2,85615
max-verstappen,16,3,86445
lewis-hamilton,16,4,86218
oscar-piastri,16,5,86723
pierre-gasly,16,6,86249
lando-norris,16,7,86262
arvid-lindblad,16,8,86919
yuki-tsunoda,16,9,86692
oliver-bearman,16,10,87283
gabriel-bortoleto,16,11,86813
esteban-ocon,16,12,87285
nico-hulkenberg,16,13,88638
franco-colapinto,16,14,87334
carlos-sainz-jr,16,15,88221
alexander-albon,16,16,87356
fernando-alonso,16,17,88058
sergio-perez,16,18,88785
valtteri-bottas,16,19,88572
lance-stroll,16,20,89347
liam-lawson,16,21,86544
george-russell,17,1,85584
kimi-antonelli,17,2,85203
max-verstappen,17,3,85419
lewis-hamilton,17,4,86489
oscar-piastri,17,5,86552
pierre-gasly,17,6,86329
lando-norris,17,7,86549
arvid-lindblad,17,8,86858
yuki-tsunoda,17,9,86585
oliver-bearman,17,10,87071
gabriel-bortoleto,17,11,87012
esteban-ocon,17,12,87129
nico-hulkenberg,17,13,86977
franco-colapinto,17,14,87060
carlos-sainz-jr,17,15,87494
alexander-albon,17,16,87290
sergio-perez,17,17,88357
fernando-alonso,17,18,89390
valtteri-bottas,17,19,88476
lance-stroll,17,20,89085
liam-lawson,17,21,86377
kimi-antonelli,18,1,85224
