driver_id,lap,position,time_ms
max-verstappen,1,1,122046
charles-leclerc,1,2,124571
sergio-perez,1,3,127539
esteban-ocon,1,4,132607
lewis-hamilton,1,5,136349
fernando-alonso,1,6,139009
george-russell,1,7,142299
daniel-ricciardo,1,8,144913
yuki-tsunoda,1,9,147133
mick-schumacher,1,10,148607
lance-stroll,1,11,150337
kevin-magnussen,1,12,152254
lando-norris,1,13,154186
valtteri-bottas,1,14,156668
nicholas-latifi,1,15,158944
sebastian-vettel,1,16,162377
guanyu-zhou,1,17,167346
pierre-gasly,1,18,169982
max-verstappen,2,1,183369
charles-leclerc,2,2,183735
sergio-perez,2,3,183119
esteban-ocon,2,4,179566
lewis-hamilton,2,5,180131
fernando-alonso,2,6,180255
george-russell,2,7,179723
daniel-ricciardo,2,8,179276
yuki-tsunoda,2,9,180964
mick-schumacher,2,10,182728
lance-stroll,2,11,184261
kevin-magnussen,2,12,184196
lando-norris,2,13,183799
valtteri-bottas,2,14,182908
nicholas-latifi,2,15,183734
sebastian-vettel,2,16,183136
guanyu-zhou,2,17,180250
pierre-gasly,2,18,180465
max-verstappen,3,1,553758
charles-leclerc,3,2,552789
sergio-perez,3,3,551999
esteban-ocon,3,4,553288
lewis-hamilton,3,5,552244
fernando-alonso,3,6,551291
george-russell,3,7,550782
daniel-ricciardo,3,8,550080
yuki-tsunoda,3,9,547099
mick-schumacher,3,10,544609
lance-stroll,3,11,543113
kevin-magnussen,3,12,542372
lando-norris,3,13,541923
valtteri-bottas,3,14,542136
nicholas-latifi,3,15,541634
sebastian-vettel,3,16,543240
guanyu-zhou,3,17,543096
pierre-gasly,3,18,542349
max-verstappen,4,1,165704
charles-leclerc,4,2,165976
sergio-perez,4,3,166411
esteban-ocon,4,4,165290
lewis-hamilton,4,5,166392
fernando-alonso,4,6,167059
george-russell,4,7,166511
daniel-ricciardo,4,8,165979
yuki-tsunoda,4,9,166325
mick-schumacher,4,10,166339
lance-stroll,4,11,165927
kevin-magnussen,4,12,166170
lando-norris,4,13,167589
valtteri-bottas,4,14,166418
nicholas-latifi,4,15,167472
sebastian-vettel,4,16,165568
guanyu-zhou,4,17,165226
pierre-gasly,4,18,166478
max-verstappen,5,1,183390
charles-leclerc,5,2,181833
sergio-perez,5,3,181424
esteban-ocon,5,4,180129
lewis-hamilton,5,5,176122
fernando-alonso,5,6,174046
george-russell,5,7,172980
daniel-ricciardo,5,8,172881
yuki-tsunoda,5,9,171856
mick-schumacher,5,10,171933
lance-stroll,5,11,171170
kevin-magnussen,5,12,170782
lando-norris,5,13,169411
valtteri-bottas,5,14,171638
guanyu-zhou,5,15,165737
pierre-gasly,5,16,162769
nicholas-latifi,5,17,171537
sebastian-vettel,5,18,169390
max-verstappen,6,1,110761
charles-leclerc,6,2,111393
sergio-perez,6,3,113662
esteban-ocon,6,4,114730
lewis-hamilton,6,5,115173
fernando-alonso,6,6,116300
george-russell,6,7,117437
daniel-ricciardo,6,8,118762
yuki-tsunoda,6,9,119016
mick-schumacher,6,10,119530
kevin-magnussen,6,11,118579
lance-stroll,6,12,120467
lando-norris,6,13,122340
guanyu-zhou,6,14,117862
pierre-gasly,6,15,117895
valtteri-bottas,6,16,122174
sebastian-vettel,6,17,132958
nicholas-latifi,6,18,135690
max-verstappen,7,1,112865
charles-leclerc,7,2,112863
sergio-perez,7,3,114053
esteban-ocon,7,4,114890
fernando-alonso,7,5,113315
lewis-hamilton,7,6,115367
george-russell,7,7,116796
daniel-ricciardo,7,8,114988
mick-schumacher,7,9,115038
yuki-tsunoda,7,10,118102
kevin-magnussen,7,11,118331
guanyu-zhou,7,12,114060
lance-stroll,7,13,118562
pierre-gasly,7,14,117813
sebastian-vettel,7,15,108401
nicholas-latifi,7,16,108663
lando-norris,7,17,131652
valtteri-bottas,7,18,132897
fernando-alonso,8,1,112739
mick-schumacher,8,2,113513
daniel-ricciardo,8,3,115504
max-verstappen,8,4,130625
charles-leclerc,8,5,132483
guanyu-zhou,8,6,113826
sergio-perez,8,7,131551
esteban-ocon,8,8,131686
lewis-hamilton,8,9,132216
sebastian-vettel,8,10,110163
nicholas-latifi,8,11,109015
lando-norris,8,12,108175
yuki-tsunoda,8,13,131821
george-russell,8,14,136643
lance-stroll,8,15,130741
valtteri-bottas,8,16,110819
kevin-magnussen,8,17,133938
pierre-gasly,8,18,131737
max-verstappen,9,1,105148
charles-leclerc,9,2,106672
mick-schumacher,9,3,114213
sergio-perez,9,4,107730
esteban-ocon,9,5,108747
lewis-hamilton,9,6,107518
guanyu-zhou,9,7,115996
sebastian-vettel,9,8,108638
fernando-alonso,9,9,132203
nicholas-latifi,9,10,110071
lando-norris,9,11,108837
yuki-tsunoda,9,12,108188
george-russell,9,13,108586
lance-stroll,9,14,108388
daniel-ricciardo,9,15,134512
kevin-magnussen,9,16,111148
valtteri-bottas,9,17,112751
pierre-gasly,9,18,109380
max-verstappen,10,1,104911
charles-leclerc,10,2,104489
sergio-perez,10,3,107088
esteban-ocon,10,4,108104
lewis-hamilton,10,5,109566
mick-schumacher,10,6,114672
sebastian-vettel,10,7,108481
fernando-alonso,10,8,108497
nicholas-latifi,10,9,108919
lando-norris,10,10,108942
yuki-tsunoda,10,11,108667
george-russell,10,12,108568
lance-stroll,10,13,108474
daniel-ricciardo,10,14,108046
kevin-magnussen,10,15,108072
valtteri-bottas,10,16,108646
pierre-gasly,10,17,108870
guanyu-zhou,10,18,130761
max-verstappen,11,1,105011
charles-leclerc,11,2,105481
sergio-perez,11,3,106120
esteban-ocon,11,4,106559
lewis-hamilton,11,5,105530
sebastian-vettel,11,6,110458
fernando-alonso,11,7,109226
nicholas-latifi,11,8,109947
lando-norris,11,9,110127
yuki-tsunoda,11,10,109599
george-russell,11,11,108944
lance-stroll,11,12,109142
mick-schumacher,11,13,120481
daniel-ricciardo,11,14,107843
kevin-magnussen,11,15,108123
valtteri-bottas,11,16,107820
pierre-gasly,11,17,107854
guanyu-zhou,11,18,106008
max-verstappen,12,1,105403
charles-leclerc,12,2,106628
sergio-perez,12,3,106165
esteban-ocon,12,4,107152
lewis-hamilton,12,5,107030
sebastian-vettel,12,6,107053
fernando-alonso,12,7,106995
nicholas-latifi,12,8,108371
lando-norris,12,9,108984
yuki-tsunoda,12,10,108769
george-russell,12,11,108830
lance-stroll,12,12,109389
daniel-ricciardo,12,13,108404
kevin-magnussen,12,14,109322
valtteri-bottas,12,15,108891
pierre-gasly,12,16,109115
guanyu-zhou,12,17,106748
mick-schumacher,12,18,129854
max-verstappen,13,1,105802
charles-leclerc,13,2,107272
sergio-perez,13,3,107120
esteban-ocon,13,4,107106
lewis-hamilton,13,5,106816
sebastian-vettel,13,6,106964
fernando-alonso,13,7,106965
