driver_id,lap,position,time_ms
george-russell,1,1,103267
charles-leclerc,1,2,103882
carlos-sainz-jr,1,3,104812
pierre-gasly,1,4,105330
max-verstappen,1,5,105917
lando-norris,1,6,106792
yuki-tsunoda,1,7,107340
oscar-piastri,1,8,108433
nico-hulkenberg,1,9,108675
lewis-hamilton,1,10,109116
esteban-ocon,1,11,110001
guanyu-zhou,1,12,110678
liam-lawson,1,13,112392
kevin-magnussen,1,14,112614
fernando-alonso,1,15,112823
alexander-albon,1,16,113147
sergio-perez,1,17,113292
lance-stroll,1,18,113727
valtteri-bottas,1,19,114609
franco-colapinto,1,20,115624
george-russell,2,1,99077
charles-leclerc,2,2,99333
carlos-sainz-jr,2,3,99466
pierre-gasly,2,4,99956
max-verstappen,2,5,99861
lando-norris,2,6,99907
yuki-tsunoda,2,7,100026
nico-hulkenberg,2,8,99760
oscar-piastri,2,9,100495
lewis-hamilton,2,10,100033
esteban-ocon,2,11,100137
guanyu-zhou,2,12,100366
liam-lawson,2,13,100447
fernando-alonso,2,14,100592
kevin-magnussen,2,15,102380
sergio-perez,2,16,102106
alexander-albon,2,17,102776
lance-stroll,2,18,102752
valtteri-bottas,2,19,102556
franco-colapinto,2,20,102181
george-russell,3,1,98864
charles-leclerc,3,2,98329
carlos-sainz-jr,3,3,98581
pierre-gasly,3,4,99234
max-verstappen,3,5,99345
lando-norris,3,6,99197
yuki-tsunoda,3,7,99407
nico-hulkenberg,3,8,99073
oscar-piastri,3,9,99144
lewis-hamilton,3,10,99403
esteban-ocon,3,11,99585
guanyu-zhou,3,12,99399
liam-lawson,3,13,99729
fernando-alonso,3,14,100165
kevin-magnussen,3,15,100169
sergio-perez,3,16,100450
alexander-albon,3,17,100535
lance-stroll,3,18,100483
valtteri-bottas,3,19,100669
franco-colapinto,3,20,101198
george-russell,4,1,98748
charles-leclerc,4,2,98501
carlos-sainz-jr,4,3,98537
max-verstappen,4,4,98713
pierre-gasly,4,5,99635
lando-norris,4,6,99094
yuki-tsunoda,4,7,99071
nico-hulkenberg,4,8,98998
oscar-piastri,4,9,99226
lewis-hamilton,4,10,99157
esteban-ocon,4,11,99367
guanyu-zhou,4,12,99307
liam-lawson,4,13,99839
kevin-magnussen,4,14,100422
sergio-perez,4,15,100282
alexander-albon,4,16,100351
