driver_id,lap,position,time_ms
max-verstappen,1,1,84203
valtteri-bottas,1,2,85940
esteban-ocon,1,3,87996
nico-hulkenberg,1,4,88581
carlos-sainz-jr,1,5,89217
sergio-perez,1,6,89929
felipe-massa,1,7,90699
sebastian-vettel,1,8,90846
kimi-raikkonen,1,9,91052
lance-stroll,1,10,91761
daniel-ricciardo,1,11,92234
kevin-magnussen,1,12,93101
stoffel-vandoorne,1,13,93796
marcus-ericsson,1,14,94289
romain-grosjean,1,15,94613
fernando-alonso,1,16,95061
pascal-wehrlein,1,17,95761
brendon-hartley,1,18,96321
pierre-gasly,1,19,106287
lewis-hamilton,1,20,116558
max-verstappen,2,1,81601
valtteri-bottas,2,2,81919
esteban-ocon,2,3,82584
nico-hulkenberg,2,4,83045
sergio-perez,2,5,83693
felipe-massa,2,6,83833
kimi-raikkonen,2,7,84029
lance-stroll,2,8,84615
daniel-ricciardo,2,9,84567
kevin-magnussen,2,10,84590
marcus-ericsson,2,11,85004
stoffel-vandoorne,2,12,86069
romain-grosjean,2,13,86051
fernando-alonso,2,14,86130
pascal-wehrlein,2,15,86006
brendon-hartley,2,16,85955
pierre-gasly,2,17,85036
carlos-sainz-jr,2,18,103199
sebastian-vettel,2,19,110130
lewis-hamilton,2,20,108341
max-verstappen,3,1,81593
valtteri-bottas,3,2,81997
esteban-ocon,3,3,82743
nico-hulkenberg,3,4,82909
sergio-perez,3,5,82848
kimi-raikkonen,3,6,83465
daniel-ricciardo,3,7,82823
lance-stroll,3,8,84295
felipe-massa,3,9,86448
kevin-magnussen,3,10,84260
marcus-ericsson,3,11,84396
stoffel-vandoorne,3,12,84361
romain-grosjean,3,13,84732
fernando-alonso,3,14,84724
pascal-wehrlein,3,15,85278
brendon-hartley,3,16,85474
pierre-gasly,3,17,84293
sebastian-vettel,3,18,82093
carlos-sainz-jr,3,19,101543
lewis-hamilton,3,20,82149
max-verstappen,4,1,81439
valtteri-bottas,4,2,81796
esteban-ocon,4,3,82619
nico-hulkenberg,4,4,82768
sergio-perez,4,5,82443
kimi-raikkonen,4,6,82215
daniel-ricciardo,4,7,82789
lance-stroll,4,8,83225
kevin-magnussen,4,9,83856
marcus-ericsson,4,10,83797
stoffel-vandoorne,4,11,83876
romain-grosjean,4,12,83996
fernando-alonso,4,13,84072
brendon-hartley,4,14,84247
pascal-wehrlein,4,15,87070
pierre-gasly,4,16,83505
felipe-massa,4,17,101087
sebastian-vettel,4,18,81800
carlos-sainz-jr,4,19,82668
lewis-hamilton,4,20,82223
max-verstappen,5,1,81335
valtteri-bottas,5,2,81579
esteban-ocon,5,3,82475
nico-hulkenberg,5,4,82795
sergio-perez,5,5,82898
kimi-raikkonen,5,6,82196
lance-stroll,5,7,82943
kevin-magnussen,5,8,84588
marcus-ericsson,5,9,83862
stoffel-vandoorne,5,10,83951
romain-grosjean,5,11,84534
fernando-alonso,5,12,84464
brendon-hartley,5,13,83612
pierre-gasly,5,14,83347
felipe-massa,5,15,83005
daniel-ricciardo,5,16,104795
sebastian-vettel,5,17,82545
pascal-wehrlein,5,18,103344
carlos-sainz-jr,5,19,83374
lewis-hamilton,5,20,81892
max-verstappen,6,1,81299
valtteri-bottas,6,2,81929
esteban-ocon,6,3,82579
nico-hulkenberg,6,4,82657
sergio-perez,6,5,82808
kimi-raikkonen,6,6,82701
lance-stroll,6,7,82753
kevin-magnussen,6,8,83996
marcus-ericsson,6,9,84062
stoffel-vandoorne,6,10,83971
romain-grosjean,6,11,84819
fernando-alonso,6,12,84476
brendon-hartley,6,13,84066
pierre-gasly,6,14,83494
felipe-massa,6,15,83207
sebastian-vettel,6,16,82305
pascal-wehrlein,6,17,83294
carlos-sainz-jr,6,18,83030
lewis-hamilton,6,19,81856
max-verstappen,7,1,81443
valtteri-bottas,7,2,81575
esteban-ocon,7,3,82372
nico-hulkenberg,7,4,82651
sergio-perez,7,5,82759
kimi-raikkonen,7,6,82580
lance-stroll,7,7,82764
kevin-magnussen,7,8,83766
marcus-ericsson,7,9,83952
stoffel-vandoorne,7,10,84003
romain-grosjean,7,11,84019
fernando-alonso,7,12,84425
brendon-hartley,7,13,84577
pierre-gasly,7,14,83612
felipe-massa,7,15,83464
sebastian-vettel,7,16,83307
pascal-wehrlein,7,17,83222
carlos-sainz-jr,7,18,82989
lewis-hamilton,7,19,82368
max-verstappen,8,1,81343
valtteri-bottas,8,2,81548
esteban-ocon,8,3,82449
nico-hulkenberg,8,4,82778
sergio-perez,8,5,82789
kimi-raikkonen,8,6,82687
lance-stroll,8,7,82870
kevin-magnussen,8,8,83527
marcus-ericsson,8,9,83993
stoffel-vandoorne,8,10,84148
romain-grosjean,8,11,84251
fernando-alonso,8,12,84066
brendon-hartley,8,13,84067
pierre-gasly,8,14,83403
felipe-massa,8,15,83103
sebastian-vettel,8,16,82622
pascal-wehrlein,8,17,83256
carlos-sainz-jr,8,18,83011
lewis-hamilton,8,19,82168
max-verstappen,9,1,81333
valtteri-bottas,9,2,81636
esteban-ocon,9,3,82366
nico-hulkenberg,9,4,82630
sergio-perez,9,5,82771
kimi-raikkonen,9,6,82850
lance-stroll,9,7,82716
kevin-magnussen,9,8,83407
marcus-ericsson,9,9,83735
stoffel-vandoorne,9,10,83629
fernando-alonso,9,11,83993
brendon-hartley,9,12,85001
romain-grosjean,9,13,87700
pierre-gasly,9,14,84061
felipe-massa,9,15,83525
sebastian-vettel,9,16,83270
pascal-wehrlein,9,17,83686
carlos-sainz-jr,9,18,83282
lewis-hamilton,9,19,82810
max-verstappen,10,1,81454
valtteri-bottas,10,2,81843
esteban-ocon,10,3,82501
nico-hulkenberg,10,4,82885
sergio-perez,10,5,82970
kimi-raikkonen,10,6,82607
lance-stroll,10,7,83129
kevin-magnussen,10,8,83331
marcus-ericsson,10,9,83665
stoffel-vandoorne,10,10,83739
fernando-alonso,10,11,82998
brendon-hartley,10,12,83498
romain-grosjean,10,13,83933
pierre-gasly,10,14,83677
felipe-massa,10,15,83585
sebastian-vettel,10,16,83667
pascal-wehrlein,10,17,83097
carlos-sainz-jr,10,18,83755
lewis-hamilton,10,19,82031
max-verstappen,11,1,81177
valtteri-bottas,11,2,81576
esteban-ocon,11,3,82506
nico-hulkenberg,11,4,82359
sergio-perez,11,5,82395
kimi-raikkonen,11,6,82707
lance-stroll,11,7,82579
kevin-magnussen,11,8,83029
marcus-ericsson,11,9,83592
stoffel-vandoorne,11,10,83435
fernando-alonso,11,11,82708
brendon-hartley,11,12,83032
romain-grosjean,11,13,83489
pierre-gasly,11,14,83307
felipe-massa,11,15,83430
sebastian-vettel,11,16,83335
pascal-wehrlein,11,17,83173
carlos-sainz-jr,11,18,84308
lewis-hamilton,11,19,82271
max-verstappen,12,1,81079
valtteri-bottas,12,2,81404
esteban-ocon,12,3,82187
nico-hulkenberg,12,4,82455
sergio-perez,12,5,82526
kimi-raikkonen,12,6,82630
lance-stroll,12,7,82516
kevin-magnussen,12,8,82998
marcus-ericsson,12,9,83227
stoffel-vandoorne,12,10,83428
fernando-alonso,12,11,83046
brendon-hartley,12,12,83579
romain-grosjean,12,13,83966
pierre-gasly,12,14,83406
sebastian-vettel,12,15,84329
felipe-massa,12,16,86538
pascal-wehrlein,12,17,83363
carlos-sainz-jr,12,18,82865
lewis-hamilton,12,19,81873
max-verstappen,13,1,81285
valtteri-bottas,13,2,81403
esteban-ocon,13,3,82281
nico-hulkenberg,13,4,82265
sergio-perez,13,5,82282
kimi-raikkonen,13,6,81896
lance-stroll,13,7,82097
kevin-magnussen,13,8,82886
marcus-ericsson,13,9,83489
stoffel-vandoorne,13,10,83394
fernando-alonso,13,11,82974
brendon-hartley,13,12,83249
romain-grosjean,13,13,83563
pierre-gasly,13,14,83416
sebastian-vettel,13,15,82262
felipe-massa,13,16,83807
pascal-wehrlein,13,17,83256
carlos-sainz-jr,13,18,82714
lewis-hamilton,13,19,81978
max-verstappen,14,1,81038
valtteri-bottas,14,2,81026
esteban-ocon,14,3,82196
nico-hulkenberg,14,4,82220
sergio-perez,14,5,82242
kimi-raikkonen,14,6,82659
lance-stroll,14,7,82181
kevin-magnussen,14,8,82816
marcus-ericsson,14,9,83272
stoffel-vandoorne,14,10,83308
fernando-alonso,14,11,82927
brendon-hartley,14,12,83232
romain-grosjean,14,13,83592
pierre-gasly,14,14,83308
sebastian-vettel,14,15,82463
