driver_id,lap,position,time_ms
max-verstappen,1,1,95669
kimi-antonelli,1,2,96850
oscar-piastri,1,3,97135
george-russell,1,4,98178
alexander-albon,1,5,98782
lando-norris,1,6,99277
carlos-sainz-jr,1,7,99731
charles-leclerc,1,8,100561
yuki-tsunoda,1,9,101207
esteban-ocon,1,10,101555
isack-hadjar,1,11,102125
lewis-hamilton,1,12,102517
gabriel-bortoleto,1,13,103084
nico-hulkenberg,1,14,103306
lance-stroll,1,15,103734
oliver-bearman,1,16,104650
fernando-alonso,1,17,104913
pierre-gasly,1,18,105474
liam-lawson,1,19,115964
max-verstappen,2,1,111128
kimi-antonelli,2,2,112276
oscar-piastri,2,3,112677
george-russell,2,4,112831
alexander-albon,2,5,113640
lando-norris,2,6,115086
carlos-sainz-jr,2,7,115407
charles-leclerc,2,8,116383
yuki-tsunoda,2,9,116508
esteban-ocon,2,10,117623
isack-hadjar,2,11,119426
lewis-hamilton,2,12,119324
gabriel-bortoleto,2,13,121110
nico-hulkenberg,2,14,122663
lance-stroll,2,15,124499
oliver-bearman,2,16,124627
fernando-alonso,2,17,125043
pierre-gasly,2,18,125704
liam-lawson,2,19,121748
max-verstappen,3,1,125946
kimi-antonelli,3,2,124905
oscar-piastri,3,3,124620
george-russell,3,4,124090
alexander-albon,3,5,123540
lando-norris,3,6,122001
carlos-sainz-jr,3,7,121936
charles-leclerc,3,8,121385
yuki-tsunoda,3,9,121976
esteban-ocon,3,10,121586
isack-hadjar,3,11,121095
lewis-hamilton,3,12,120931
gabriel-bortoleto,3,13,118970
nico-hulkenberg,3,14,117784
lance-stroll,3,15,116297
oliver-bearman,3,16,116005
fernando-alonso,3,17,115758
pierre-gasly,3,18,115733
liam-lawson,3,19,117913
max-verstappen,4,1,92569
oscar-piastri,4,2,91920
kimi-antonelli,4,3,93016
george-russell,4,4,92646
lando-norris,4,5,92128
alexander-albon,4,6,93079
carlos-sainz-jr,4,7,92521
charles-leclerc,4,8,92763
yuki-tsunoda,4,9,92955
esteban-ocon,4,10,92670
lewis-hamilton,4,11,92412
isack-hadjar,4,12,94546
gabriel-bortoleto,4,13,94522
nico-hulkenberg,4,14,94181
lance-stroll,4,15,93892
oliver-bearman,4,16,93844
fernando-alonso,4,17,93693
pierre-gasly,4,18,94054
liam-lawson,4,19,93315
max-verstappen,5,1,92133
oscar-piastri,5,2,92282
kimi-antonelli,5,3,92859
george-russell,5,4,92779
lando-norris,5,5,92639
carlos-sainz-jr,5,6,92332
alexander-albon,5,7,93836
charles-leclerc,5,8,92509
yuki-tsunoda,5,9,92945
esteban-ocon,5,10,92756
lewis-hamilton,5,11,92899
isack-hadjar,5,12,92963
gabriel-bortoleto,5,13,93194
nico-hulkenberg,5,14,93552
lance-stroll,5,15,93896
oliver-bearman,5,16,93888
fernando-alonso,5,17,94064
pierre-gasly,5,18,94123
liam-lawson,5,19,94526
max-verstappen,6,1,92096
oscar-piastri,6,2,92047
kimi-antonelli,6,3,92883
george-russell,6,4,93036
lando-norris,6,5,92634
carlos-sainz-jr,6,6,93317
alexander-albon,6,7,93206
charles-leclerc,6,8,93363
yuki-tsunoda,6,9,93036
esteban-ocon,6,10,93113
lewis-hamilton,6,11,93410
isack-hadjar,6,12,93291
gabriel-bortoleto,6,13,93134
nico-hulkenberg,6,14,93311
lance-stroll,6,15,93212
oliver-bearman,6,16,93489
fernando-alonso,6,17,93695
pierre-gasly,6,18,94295
liam-lawson,6,19,94334
max-verstappen,7,1,92083
oscar-piastri,7,2,92197
kimi-antonelli,7,3,93029
lando-norris,7,4,93008
george-russell,7,5,94362
carlos-sainz-jr,7,6,93029
alexander-albon,7,7,92982
charles-leclerc,7,8,93047
yuki-tsunoda,7,9,93076
esteban-ocon,7,10,93054
lewis-hamilton,7,11,92960
isack-hadjar,7,12,93114
gabriel-bortoleto,7,13,93607
nico-hulkenberg,7,14,93576
lance-stroll,7,15,93581
oliver-bearman,7,16,93424
fernando-alonso,7,17,93485
pierre-gasly,7,18,94019
liam-lawson,7,19,94046
max-verstappen,8,1,92583
oscar-piastri,8,2,91985
kimi-antonelli,8,3,92945
lando-norris,8,4,92427
george-russell,8,5,93136
carlos-sainz-jr,8,6,93230
alexander-albon,8,7,93117
charles-leclerc,8,8,93415
yuki-tsunoda,8,9,93187
esteban-ocon,8,10,93145
lewis-hamilton,8,11,93229
isack-hadjar,8,12,93342
gabriel-bortoleto,8,13,93594
nico-hulkenberg,8,14,93415
lance-stroll,8,15,93469
oliver-bearman,8,16,93550
fernando-alonso,8,17,93387
pierre-gasly,8,18,94087
liam-lawson,8,19,94137
max-verstappen,9,1,92406
oscar-piastri,9,2,92236
lando-norris,9,3,92146
kimi-antonelli,9,4,93684
george-russell,9,5,92951
carlos-sainz-jr,9,6,93100
alexander-albon,9,7,93014
charles-leclerc,9,8,93033
yuki-tsunoda,9,9,93272
esteban-ocon,9,10,94012
lewis-hamilton,9,11,93164
isack-hadjar,9,12,93399
gabriel-bortoleto,9,13,93269
nico-hulkenberg,9,14,93517
lance-stroll,9,15,93621
oliver-bearman,9,16,93626
pierre-gasly,9,17,93727
fernando-alonso,9,18,101044
liam-lawson,9,19,94094
max-verstappen,10,1,92392
oscar-piastri,10,2,92076
lando-norris,10,3,91901
kimi-antonelli,10,4,93004
george-russell,10,5,93161
carlos-sainz-jr,10,6,92906
alexander-albon,10,7,92834
charles-leclerc,10,8,92850
yuki-tsunoda,10,9,93145
esteban-ocon,10,10,93278
lewis-hamilton,10,11,92876
isack-hadjar,10,12,93205
gabriel-bortoleto,10,13,93439
nico-hulkenberg,10,14,93584
lance-stroll,10,15,93843
oliver-bearman,10,16,93757
pierre-gasly,10,17,93430
fernando-alonso,10,18,93184
liam-lawson,10,19,94204
max-verstappen,11,1,92595
oscar-piastri,11,2,92900
lando-norris,11,3,91700
kimi-antonelli,11,4,92790
george-russell,11,5,92670
carlos-sainz-jr,11,6,93652
alexander-albon,11,7,93569
charles-leclerc,11,8,93558
yuki-tsunoda,11,9,93219
esteban-ocon,11,10,93257
lewis-hamilton,11,11,93328
isack-hadjar,11,12,93095
gabriel-bortoleto,11,13,93561
nico-hulkenberg,11,14,93736
lance-stroll,11,15,93678
oliver-bearman,11,16,93726
pierre-gasly,11,17,93253
fernando-alonso,11,18,93184
liam-lawson,11,19,93990
max-verstappen,12,1,92236
oscar-piastri,12,2,92253
lando-norris,12,3,91905
kimi-antonelli,12,4,92725
george-russell,12,5,92836
carlos-sainz-jr,12,6,93379
alexander-albon,12,7,93515
charles-leclerc,12,8,93096
yuki-tsunoda,12,9,93239
esteban-ocon,12,10,93153
lewis-hamilton,12,11,93039
isack-hadjar,12,12,93235
gabriel-bortoleto,12,13,93381
nico-hulkenberg,12,14,93441
lance-stroll,12,15,93547
oliver-bearman,12,16,93360
pierre-gasly,12,17,93244
fernando-alonso,12,18,92548
liam-lawson,12,19,94087
max-verstappen,13,1,92272
oscar-piastri,13,2,91879
lando-norris,13,3,91745
kimi-antonelli,13,4,92745
george-russell,13,5,92829
carlos-sainz-jr,13,6,93044
alexander-albon,13,7,93031
charles-leclerc,13,8,93112
yuki-tsunoda,13,9,93225
esteban-ocon,13,10,93061
lewis-hamilton,13,11,92844
isack-hadjar,13,12,93145
gabriel-bortoleto,13,13,93402
nico-hulkenberg,13,14,93390
lance-stroll,13,15,93825
oliver-bearman,13,16,93637
pierre-gasly,13,17,93113
fernando-alonso,13,18,92982
liam-lawson,13,19,94351
oscar-piastri,14,1,92986
max-verstappen,14,2,94727
lando-norris,14,3,92333
kimi-antonelli,14,4,92692
george-russell,14,5,92719
alexander-albon,14,6,92701
carlos-sainz-jr,14,7,93614
charles-leclerc,14,8,93600
yuki-tsunoda,14,9,93105
esteban-ocon,14,10,93214
lewis-hamilton,14,11,93067
isack-hadjar,14,12,93641
gabriel-bortoleto,14,13,93203
nico-hulkenberg,14,14,93560
lance-stroll,14,15,94221
oliver-bearman,14,16,94268
pierre-gasly,14,17,93309
fernando-alonso,14,18,93132
liam-lawson,14,19,94598
oscar-piastri,15,1,91816
max-verstappen,15,2,93736
lando-norris,15,3,93943
kimi-antonelli,15,4,92902
george-russell,15,5,92755
alexander-albon,15,6,92968
carlos-sainz-jr,15,7,93538
charles-leclerc,15,8,93409
yuki-tsunoda,15,9,93489
esteban-ocon,15,10,93377
lewis-hamilton,15,11,93369
isack-hadjar,15,12,93241
gabriel-bortoleto,15,13,93547
nico-hulkenberg,15,14,93743
lance-stroll,15,15,93694
oliver-bearman,15,16,93878
pierre-gasly,15,17,93775
fernando-alonso,15,18,93290
liam-lawson,15,19,94692
oscar-piastri,16,1,91687
max-verstappen,16,2,93178
lando-norris,16,3,93099
kimi-antonelli,16,4,92878
george-russell,16,5,92886
alexander-albon,16,6,92612
