driver_id,lap,position,time_ms
lando-norris,1,1,83340
charles-leclerc,1,2,84481
oscar-piastri,1,3,86141
max-verstappen,1,4,87020
isack-hadjar,1,5,87567
fernando-alonso,1,6,88332
lewis-hamilton,1,7,89406
esteban-ocon,1,8,89926
liam-lawson,1,9,90523
alexander-albon,1,10,91479
carlos-sainz-jr,1,11,92413
nico-hulkenberg,1,12,92788
george-russell,1,13,94077
kimi-antonelli,1,14,94721
franco-colapinto,1,15,96577
lance-stroll,1,16,98018
yuki-tsunoda,1,17,110476
pierre-gasly,1,18,112223
oliver-bearman,1,19,139932
gabriel-bortoleto,1,20,145564
lando-norris,2,1,104634
charles-leclerc,2,2,104769
oscar-piastri,2,3,106466
max-verstappen,2,4,106318
isack-hadjar,2,5,106692
fernando-alonso,2,6,107072
lewis-hamilton,2,7,111437
esteban-ocon,2,8,111527
liam-lawson,2,9,112308
alexander-albon,2,10,112152
carlos-sainz-jr,2,11,111609
nico-hulkenberg,2,12,112404
george-russell,2,13,111593
kimi-antonelli,2,14,111408
franco-colapinto,2,15,110894
lance-stroll,2,16,109806
yuki-tsunoda,2,17,108876
pierre-gasly,2,18,108974
oliver-bearman,2,19,110654
gabriel-bortoleto,2,20,109746
lando-norris,3,1,109015
charles-leclerc,3,2,108805
oscar-piastri,3,3,108176
max-verstappen,3,4,108815
isack-hadjar,3,5,109414
fernando-alonso,3,6,109211
lewis-hamilton,3,7,109212
esteban-ocon,3,8,109187
liam-lawson,3,9,108504
alexander-albon,3,10,108346
carlos-sainz-jr,3,11,108386
nico-hulkenberg,3,12,108106
george-russell,3,13,108563
kimi-antonelli,3,14,108871
franco-colapinto,3,15,108913
lance-stroll,3,16,109353
yuki-tsunoda,3,17,108545
pierre-gasly,3,18,108723
oliver-bearman,3,19,110334
gabriel-bortoleto,3,20,109362
lando-norris,4,1,101564
charles-leclerc,4,2,101248
oscar-piastri,4,3,100676
max-verstappen,4,4,100290
isack-hadjar,4,5,99640
fernando-alonso,4,6,99675
lewis-hamilton,4,7,94730
esteban-ocon,4,8,95230
liam-lawson,4,9,95354
alexander-albon,4,10,96006
carlos-sainz-jr,4,11,96808
nico-hulkenberg,4,12,96696
george-russell,4,13,96667
kimi-antonelli,4,14,96575
franco-colapinto,4,15,96476
lance-stroll,4,16,96353
yuki-tsunoda,4,17,93097
pierre-gasly,4,18,91509
oliver-bearman,4,19,82127
gabriel-bortoleto,4,20,83609
lando-norris,5,1,78050
charles-leclerc,5,2,78801
oscar-piastri,5,3,80048
max-verstappen,5,4,80800
isack-hadjar,5,5,80952
fernando-alonso,5,6,80940
lewis-hamilton,5,7,81057
esteban-ocon,5,8,80666
liam-lawson,5,9,80766
alexander-albon,5,10,80465
carlos-sainz-jr,5,11,80580
nico-hulkenberg,5,12,80475
george-russell,5,13,80576
kimi-antonelli,5,14,80377
franco-colapinto,5,15,79999
lance-stroll,5,16,80285
yuki-tsunoda,5,17,78663
pierre-gasly,5,18,78864
oliver-bearman,5,19,75576
gabriel-bortoleto,5,20,76394
lando-norris,6,1,79172
charles-leclerc,6,2,79267
oscar-piastri,6,3,79793
max-verstappen,6,4,80011
isack-hadjar,6,5,80143
fernando-alonso,6,6,80424
lewis-hamilton,6,7,80225
esteban-ocon,6,8,80506
liam-lawson,6,9,81542
alexander-albon,6,10,81426
carlos-sainz-jr,6,11,81056
nico-hulkenberg,6,12,80974
george-russell,6,13,80750
kimi-antonelli,6,14,80757
franco-colapinto,6,15,80746
lance-stroll,6,16,80306
yuki-tsunoda,6,17,78281
pierre-gasly,6,18,78054
oliver-bearman,6,19,74855
gabriel-bortoleto,6,20,75757
lando-norris,7,1,78470
charles-leclerc,7,2,78656
oscar-piastri,7,3,79261
max-verstappen,7,4,78968
isack-hadjar,7,5,79554
fernando-alonso,7,6,80222
lewis-hamilton,7,7,80931
esteban-ocon,7,8,80545
liam-lawson,7,9,81507
alexander-albon,7,10,81287
carlos-sainz-jr,7,11,81577
nico-hulkenberg,7,12,81264
george-russell,7,13,81214
kimi-antonelli,7,14,81194
franco-colapinto,7,15,80915
lance-stroll,7,16,81196
yuki-tsunoda,7,17,79157
pierre-gasly,7,18,79262
oliver-bearman,7,19,75058
gabriel-bortoleto,7,20,75721
lando-norris,8,1,77626
charles-leclerc,8,2,77990
oscar-piastri,8,3,78029
max-verstappen,8,4,77714
isack-hadjar,8,5,78388
fernando-alonso,8,6,79105
lewis-hamilton,8,7,79039
esteban-ocon,8,8,79207
liam-lawson,8,9,80351
alexander-albon,8,10,80471
carlos-sainz-jr,8,11,80384
nico-hulkenberg,8,12,80300
george-russell,8,13,80793
kimi-antonelli,8,14,80877
franco-colapinto,8,15,80987
lance-stroll,8,16,81663
yuki-tsunoda,8,17,83351
oliver-bearman,8,18,78303
gabriel-bortoleto,8,19,78331
lando-norris,9,1,82148
charles-leclerc,9,2,81212
oscar-piastri,9,3,82281
max-verstappen,9,4,81205
isack-hadjar,9,5,81968
fernando-alonso,9,6,82183
lewis-hamilton,9,7,82018
esteban-ocon,9,8,82712
liam-lawson,9,9,84550
alexander-albon,9,10,84151
carlos-sainz-jr,9,11,83673
nico-hulkenberg,9,12,84031
george-russell,9,13,83390
kimi-antonelli,9,14,83326
franco-colapinto,9,15,83197
lance-stroll,9,16,82321
yuki-tsunoda,9,17,79611
oliver-bearman,9,18,76467
