driver_id,lap,position,time_ms
oscar-piastri,1,1,78622
max-verstappen,1,2,79680
lando-norris,1,3,80728
isack-hadjar,1,4,81492
charles-leclerc,1,5,81699
george-russell,1,6,82385
lewis-hamilton,1,7,83037
liam-lawson,1,8,83530
carlos-sainz-jr,1,9,84115
alexander-albon,1,10,84528
yuki-tsunoda,1,11,84873
kimi-antonelli,1,12,85462
fernando-alonso,1,13,85933
pierre-gasly,1,14,86382
franco-colapinto,1,15,86770
esteban-ocon,1,16,87199
nico-hulkenberg,1,17,87451
gabriel-bortoleto,1,18,87716
lance-stroll,1,19,88275
oliver-bearman,1,20,91422
oscar-piastri,2,1,75745
max-verstappen,2,2,76304
lando-norris,2,3,76686
isack-hadjar,2,4,76550
charles-leclerc,2,5,77076
george-russell,2,6,76688
lewis-hamilton,2,7,76716
liam-lawson,2,8,76919
carlos-sainz-jr,2,9,76974
alexander-albon,2,10,77145
yuki-tsunoda,2,11,77298
kimi-antonelli,2,12,77453
fernando-alonso,2,13,77305
pierre-gasly,2,14,77590
franco-colapinto,2,15,77627
esteban-ocon,2,16,77655
nico-hulkenberg,2,17,77546
gabriel-bortoleto,2,18,77934
lance-stroll,2,19,77820
oliver-bearman,2,20,76926
oscar-piastri,3,1,75734
max-verstappen,3,2,76039
lando-norris,3,3,75994
isack-hadjar,3,4,76629
charles-leclerc,3,5,76295
george-russell,3,6,76576
lewis-hamilton,3,7,76449
liam-lawson,3,8,76709
carlos-sainz-jr,3,9,76751
alexander-albon,3,10,76823
yuki-tsunoda,3,11,76837
kimi-antonelli,3,12,76637
fernando-alonso,3,13,76875
pierre-gasly,3,14,76704
franco-colapinto,3,15,76743
nico-hulkenberg,3,16,76660
esteban-ocon,3,17,77406
lance-stroll,3,18,77336
gabriel-bortoleto,3,19,78142
oliver-bearman,3,20,77112
oscar-piastri,4,1,75460
max-verstappen,4,2,75816
lando-norris,4,3,76040
isack-hadjar,4,4,76077
charles-leclerc,4,5,76342
george-russell,4,6,76471
lewis-hamilton,4,7,76570
liam-lawson,4,8,76372
carlos-sainz-jr,4,9,76813
alexander-albon,4,10,76890
yuki-tsunoda,4,11,77028
kimi-antonelli,4,12,77032
fernando-alonso,4,13,77125
pierre-gasly,4,14,77528
franco-colapinto,4,15,77121
nico-hulkenberg,4,16,77250
esteban-ocon,4,17,77192
lance-stroll,4,18,76491
gabriel-bortoleto,4,19,77139
oliver-bearman,4,20,77026
oscar-piastri,5,1,75374
max-verstappen,5,2,75946
lando-norris,5,3,75845
isack-hadjar,5,4,76000
charles-leclerc,5,5,76038
george-russell,5,6,76094
lewis-hamilton,5,7,76432
liam-lawson,5,8,76408
carlos-sainz-jr,5,9,76804
alexander-albon,5,10,77083
yuki-tsunoda,5,11,76918
kimi-antonelli,5,12,77060
fernando-alonso,5,13,77019
franco-colapinto,5,14,76606
pierre-gasly,5,15,77542
nico-hulkenberg,5,16,77351
esteban-ocon,5,17,77541
lance-stroll,5,18,77400
gabriel-bortoleto,5,19,77395
oliver-bearman,5,20,76941
oscar-piastri,6,1,75251
max-verstappen,6,2,75748
lando-norris,6,3,75552
isack-hadjar,6,4,75905
charles-leclerc,6,5,75869
george-russell,6,6,75962
lewis-hamilton,6,7,75684
liam-lawson,6,8,76433
carlos-sainz-jr,6,9,76515
alexander-albon,6,10,76633
yuki-tsunoda,6,11,76696
kimi-antonelli,6,12,76671
fernando-alonso,6,13,76748
franco-colapinto,6,14,76900
pierre-gasly,6,15,76690
nico-hulkenberg,6,16,76598
esteban-ocon,6,17,76694
lance-stroll,6,18,76934
gabriel-bortoleto,6,19,76775
oliver-bearman,6,20,77150
oscar-piastri,7,1,75208
max-verstappen,7,2,75648
lando-norris,7,3,75236
isack-hadjar,7,4,75589
charles-leclerc,7,5,75362
george-russell,7,6,76007
lewis-hamilton,7,7,76036
liam-lawson,7,8,76237
carlos-sainz-jr,7,9,76345
alexander-albon,7,10,76570
yuki-tsunoda,7,11,76636
kimi-antonelli,7,12,76701
fernando-alonso,7,13,76789
franco-colapinto,7,14,76696
pierre-gasly,7,15,76734
nico-hulkenberg,7,16,77080
esteban-ocon,7,17,77064
lance-stroll,7,18,77080
gabriel-bortoleto,7,19,77010
oliver-bearman,7,20,76961
oscar-piastri,8,1,75271
max-verstappen,8,2,75753
lando-norris,8,3,75130
isack-hadjar,8,4,75539
charles-leclerc,8,5,75784
george-russell,8,6,75957
lewis-hamilton,8,7,75962
liam-lawson,8,8,76203
carlos-sainz-jr,8,9,76204
alexander-albon,8,10,76641
yuki-tsunoda,8,11,77034
kimi-antonelli,8,12,76739
fernando-alonso,8,13,76726
franco-colapinto,8,14,76742
pierre-gasly,8,15,76766
nico-hulkenberg,8,16,76748
esteban-ocon,8,17,76673
gabriel-bortoleto,8,18,76684
oliver-bearman,8,19,76819
lance-stroll,8,20,79763
oscar-piastri,9,1,75021
lando-norris,9,2,75061
max-verstappen,9,3,76606
isack-hadjar,9,4,75600
charles-leclerc,9,5,75970
george-russell,9,6,75985
lewis-hamilton,9,7,75856
liam-lawson,9,8,76153
carlos-sainz-jr,9,9,76292
alexander-albon,9,10,76511
yuki-tsunoda,9,11,76736
kimi-antonelli,9,12,76651
fernando-alonso,9,13,76733
franco-colapinto,9,14,76788
pierre-gasly,9,15,76843
nico-hulkenberg,9,16,76900
esteban-ocon,9,17,77085
gabriel-bortoleto,9,18,76593
oliver-bearman,9,19,76801
lance-stroll,9,20,91542
oscar-piastri,10,1,75117
lando-norris,10,2,74777
max-verstappen,10,3,75800
isack-hadjar,10,4,76075
charles-leclerc,10,5,75546
george-russell,10,6,76096
lewis-hamilton,10,7,76114
liam-lawson,10,8,76353
carlos-sainz-jr,10,9,76185
alexander-albon,10,10,76635
yuki-tsunoda,10,11,76791
kimi-antonelli,10,12,76693
fernando-alonso,10,13,76843
franco-colapinto,10,14,76981
pierre-gasly,10,15,77026
nico-hulkenberg,10,16,77065
esteban-ocon,10,17,77072
gabriel-bortoleto,10,18,77333
oliver-bearman,10,19,76730
lance-stroll,10,20,75242
oscar-piastri,11,1,74901
lando-norris,11,2,74708
max-verstappen,11,3,75927
isack-hadjar,11,4,75877
charles-leclerc,11,5,75772
george-russell,11,6,76198
lewis-hamilton,11,7,76558
liam-lawson,11,8,76296
carlos-sainz-jr,11,9,76462
alexander-albon,11,10,76610
yuki-tsunoda,11,11,76809
kimi-antonelli,11,12,76993
fernando-alonso,11,13,76794
franco-colapinto,11,14,76820
pierre-gasly,11,15,77012
nico-hulkenberg,11,16,77148
esteban-ocon,11,17,77171
gabriel-bortoleto,11,18,77581
oliver-bearman,11,19,77227
lance-stroll,11,20,75716
oscar-piastri,12,1,75250
lando-norris,12,2,74945
max-verstappen,12,3,76080
isack-hadjar,12,4,76066
charles-leclerc,12,5,76150
george-russell,12,6,76340
lewis-hamilton,12,7,76171
liam-lawson,12,8,76527
carlos-sainz-jr,12,9,76595
alexander-albon,12,10,76614
yuki-tsunoda,12,11,76967
kimi-antonelli,12,12,76887
fernando-alonso,12,13,76748
franco-colapinto,12,14,77067
pierre-gasly,12,15,76931
nico-hulkenberg,12,16,77072
esteban-ocon,12,17,77303
gabriel-bortoleto,12,18,77264
oliver-bearman,12,19,77113
lance-stroll,12,20,75880
oscar-piastri,13,1,75061
lando-norris,13,2,74996
