driver_id,lap,position,time_ms
oscar-piastri,1,1,87615
max-verstappen,1,2,88940
lando-norris,1,3,90050
kimi-antonelli,1,4,90716
carlos-sainz-jr,1,5,91371
fernando-alonso,1,6,92053
george-russell,1,7,92586
isack-hadjar,1,8,93119
pierre-gasly,1,9,93673
charles-leclerc,1,10,94322
nico-hulkenberg,1,11,94468
oliver-bearman,1,12,94986
liam-lawson,1,13,95435
lewis-hamilton,1,14,95868
esteban-ocon,1,15,96298
yuki-tsunoda,1,16,96981
alexander-albon,1,17,97045
gabriel-bortoleto,1,18,98152
lance-stroll,1,19,98154
franco-colapinto,1,20,98774
oscar-piastri,2,1,87150
max-verstappen,2,2,87349
lando-norris,2,3,87713
kimi-antonelli,2,4,87953
carlos-sainz-jr,2,5,88123
fernando-alonso,2,6,88246
george-russell,2,7,88310
isack-hadjar,2,8,88632
pierre-gasly,2,9,89291
nico-hulkenberg,2,10,88911
charles-leclerc,2,11,89405
oliver-bearman,2,12,89227
liam-lawson,2,13,89343
lewis-hamilton,2,14,89410
esteban-ocon,2,15,89487
yuki-tsunoda,2,16,89251
alexander-albon,2,17,89828
lance-stroll,2,18,89552
gabriel-bortoleto,2,19,89881
franco-colapinto,2,20,90394
oscar-piastri,3,1,86930
max-verstappen,3,2,87511
lando-norris,3,3,87673
kimi-antonelli,3,4,87737
carlos-sainz-jr,3,5,88030
fernando-alonso,3,6,88081
george-russell,3,7,88059
isack-hadjar,3,8,88346
pierre-gasly,3,9,88388
nico-hulkenberg,3,10,88362
charles-leclerc,3,11,88982
oliver-bearman,3,12,88950
liam-lawson,3,13,88929
lewis-hamilton,3,14,88899
esteban-ocon,3,15,89039
yuki-tsunoda,3,16,89116
alexander-albon,3,17,88892
lance-stroll,3,18,88850
gabriel-bortoleto,3,19,88921
franco-colapinto,3,20,88683
oscar-piastri,4,1,87217
max-verstappen,4,2,87324
lando-norris,4,3,87505
kimi-antonelli,4,4,87480
carlos-sainz-jr,4,5,87804
fernando-alonso,4,6,87928
george-russell,4,7,87944
isack-hadjar,4,8,88010
pierre-gasly,4,9,88333
nico-hulkenberg,4,10,88402
charles-leclerc,4,11,88281
oliver-bearman,4,12,88572
liam-lawson,4,13,88650
lewis-hamilton,4,14,89014
esteban-ocon,4,15,88848
yuki-tsunoda,4,16,88638
alexander-albon,4,17,88916
lance-stroll,4,18,88851
gabriel-bortoleto,4,19,88869
franco-colapinto,4,20,88758
oscar-piastri,5,1,86899
max-verstappen,5,2,86843
lando-norris,5,3,86946
kimi-antonelli,5,4,87505
carlos-sainz-jr,5,5,87699
fernando-alonso,5,6,87867
george-russell,5,7,88149
isack-hadjar,5,8,88115
pierre-gasly,5,9,88088
nico-hulkenberg,5,10,88139
charles-leclerc,5,11,88257
oliver-bearman,5,12,88363
liam-lawson,5,13,88424
lewis-hamilton,5,14,88266
esteban-ocon,5,15,88403
yuki-tsunoda,5,16,88604
alexander-albon,5,17,88583
lance-stroll,5,18,88778
gabriel-bortoleto,5,19,88669
franco-colapinto,5,20,88890
oscar-piastri,6,1,86720
max-verstappen,6,2,87123
lando-norris,6,3,86957
kimi-antonelli,6,4,87305
carlos-sainz-jr,6,5,87394
fernando-alonso,6,6,87726
george-russell,6,7,87772
isack-hadjar,6,8,87917
pierre-gasly,6,9,88260
nico-hulkenberg,6,10,88206
charles-leclerc,6,11,88042
oliver-bearman,6,12,87786
liam-lawson,6,13,88006
lewis-hamilton,6,14,88272
esteban-ocon,6,15,88328
yuki-tsunoda,6,16,88323
alexander-albon,6,17,88381
lance-stroll,6,18,88265
gabriel-bortoleto,6,19,88605
franco-colapinto,6,20,88866
oscar-piastri,7,1,98466
lando-norris,7,2,100154
max-verstappen,7,3,102211
kimi-antonelli,7,4,103942
carlos-sainz-jr,7,5,104711
fernando-alonso,7,6,105813
george-russell,7,7,105551
isack-hadjar,7,8,106437
charles-leclerc,7,9,107451
esteban-ocon,7,10,105277
oliver-bearman,7,11,108904
liam-lawson,7,12,109397
lewis-hamilton,7,13,109205
yuki-tsunoda,7,14,109215
alexander-albon,7,15,109685
gabriel-bortoleto,7,16,110552
lance-stroll,7,17,111704
franco-colapinto,7,18,110372
pierre-gasly,7,19,142022
oscar-piastri,8,1,147366
lando-norris,8,2,145116
max-verstappen,8,3,145760
esteban-ocon,8,4,127608
carlos-sainz-jr,8,5,139424
kimi-antonelli,8,6,142348
fernando-alonso,8,7,138694
isack-hadjar,8,8,137459
george-russell,8,9,141283
charles-leclerc,8,10,135814
oliver-bearman,8,11,135370
liam-lawson,8,12,134727
yuki-tsunoda,8,13,134372
alexander-albon,8,14,134429
lewis-hamilton,8,15,137824
gabriel-bortoleto,8,16,133875
lance-stroll,8,17,133958
franco-colapinto,8,18,134630
pierre-gasly,8,19,120853
oscar-piastri,9,1,142662
lando-norris,9,2,141108
max-verstappen,9,3,141444
carlos-sainz-jr,9,4,140901
kimi-antonelli,9,5,140912
fernando-alonso,9,6,141052
isack-hadjar,9,7,140656
george-russell,9,8,140378
charles-leclerc,9,9,141110
oliver-bearman,9,10,140719
liam-lawson,9,11,141771
yuki-tsunoda,9,12,141975
alexander-albon,9,13,141373
lewis-hamilton,9,14,141430
gabriel-bortoleto,9,15,141483
lance-stroll,9,16,142013
franco-colapinto,9,17,141235
pierre-gasly,9,18,132767
esteban-ocon,9,19,160736
oscar-piastri,10,1,140906
lando-norris,10,2,139394
max-verstappen,10,3,138630
carlos-sainz-jr,10,4,138332
kimi-antonelli,10,5,138427
fernando-alonso,10,6,137487
isack-hadjar,10,7,136900
george-russell,10,8,136061
charles-leclerc,10,9,134661
oliver-bearman,10,10,133887
liam-lawson,10,11,132500
yuki-tsunoda,10,12,131052
alexander-albon,10,13,130916
lewis-hamilton,10,14,129904
gabriel-bortoleto,10,15,129409
lance-stroll,10,16,128606
franco-colapinto,10,17,128541
pierre-gasly,10,18,128057
esteban-ocon,10,19,125828
oscar-piastri,11,1,85068
lando-norris,11,2,85639
max-verstappen,11,3,87109
carlos-sainz-jr,11,4,87424
kimi-antonelli,11,5,87485
fernando-alonso,11,6,87797
isack-hadjar,11,7,87769
george-russell,11,8,87823
charles-leclerc,11,9,88180
oliver-bearman,11,10,88174
liam-lawson,11,11,88204
yuki-tsunoda,11,12,88238
alexander-albon,11,13,88247
lewis-hamilton,11,14,89006
gabriel-bortoleto,11,15,88925
lance-stroll,11,16,89310
franco-colapinto,11,17,89282
esteban-ocon,11,18,89116
pierre-gasly,11,19,89849
oscar-piastri,12,1,85228
lando-norris,12,2,85615
max-verstappen,12,3,86659
carlos-sainz-jr,12,4,86928
kimi-antonelli,12,5,87330
fernando-alonso,12,6,87486
isack-hadjar,12,7,87752
george-russell,12,8,87928
charles-leclerc,12,9,87991
oliver-bearman,12,10,87958
liam-lawson,12,11,88190
yuki-tsunoda,12,12,88307
alexander-albon,12,13,88305
lewis-hamilton,12,14,88151
gabriel-bortoleto,12,15,88373
lance-stroll,12,16,88450
franco-colapinto,12,17,88550
esteban-ocon,12,18,88714
pierre-gasly,12,19,88678
oscar-piastri,13,1,85380
lando-norris,13,2,85702
max-verstappen,13,3,86550
carlos-sainz-jr,13,4,86850
kimi-antonelli,13,5,87005
fernando-alonso,13,6,87724
isack-hadjar,13,7,87714
george-russell,13,8,87619
charles-leclerc,13,9,87418
oliver-bearman,13,10,87660
liam-lawson,13,11,87641
yuki-tsunoda,13,12,87873
alexander-albon,13,13,88153
lewis-hamilton,13,14,88182
gabriel-bortoleto,13,15,88247
lance-stroll,13,16,88136
franco-colapinto,13,17,88380
esteban-ocon,13,18,88431
pierre-gasly,13,19,88815
oscar-piastri,14,1,85652
lando-norris,14,2,85843
max-verstappen,14,3,86148
carlos-sainz-jr,14,4,86711
kimi-antonelli,14,5,86878
fernando-alonso,14,6,87628
isack-hadjar,14,7,87743
george-russell,14,8,87735
charles-leclerc,14,9,87844
oliver-bearman,14,10,87641
liam-lawson,14,11,87821
yuki-tsunoda,14,12,87689
alexander-albon,14,13,87671
lewis-hamilton,14,14,87740
gabriel-bortoleto,14,15,87914
lance-stroll,14,16,88067
franco-colapinto,14,17,88167
esteban-ocon,14,18,88255
pierre-gasly,14,19,88262
oscar-piastri,15,1,85647
lando-norris,15,2,85786
max-verstappen,15,3,86298
carlos-sainz-jr,15,4,86884
kimi-antonelli,15,5,87361
fernando-alonso,15,6,87604
isack-hadjar,15,7,87631
george-russell,15,8,87675
charles-leclerc,15,9,87701
oliver-bearman,15,10,87871
liam-lawson,15,11,87788
yuki-tsunoda,15,12,87866
alexander-albon,15,13,87841
lewis-hamilton,15,14,87822
gabriel-bortoleto,15,15,87805
lance-stroll,15,16,87778
franco-colapinto,15,17,88027
esteban-ocon,15,18,88069
pierre-gasly,15,19,88203
oscar-piastri,16,1,85493
lando-norris,16,2,85940
max-verstappen,16,3,86042
carlos-sainz-jr,16,4,86710
kimi-antonelli,16,5,87033
fernando-alonso,16,6,87386
isack-hadjar,16,7,87410
george-russell,16,8,87337
charles-leclerc,16,9,87541
oliver-bearman,16,10,87573
liam-lawson,16,11,87629
yuki-tsunoda,16,12,87544
alexander-albon,16,13,87648
lewis-hamilton,16,14,87646
gabriel-bortoleto,16,15,87729
lance-stroll,16,16,87782
franco-colapinto,16,17,87879
esteban-ocon,16,18,87951
pierre-gasly,16,19,87845
oscar-piastri,17,1,85602
lando-norris,17,2,86043
max-verstappen,17,3,85977
carlos-sainz-jr,17,4,86832
kimi-antonelli,17,5,86994
fernando-alonso,17,6,87571
isack-hadjar,17,7,87476
george-russell,17,8,87623
charles-leclerc,17,9,87617
oliver-bearman,17,10,87551
liam-lawson,17,11,87598
yuki-tsunoda,17,12,87857
alexander-albon,17,13,87683
lewis-hamilton,17,14,87695
gabriel-bortoleto,17,15,87744
lance-stroll,17,16,87684
franco-colapinto,17,17,87746
esteban-ocon,17,18,87406
pierre-gasly,17,19,87994
oscar-piastri,18,1,85784
lando-norris,18,2,85935
max-verstappen,18,3,85759
carlos-sainz-jr,18,4,86874
kimi-antonelli,18,5,87021
fernando-alonso,18,6,87380
isack-hadjar,18,7,87427
george-russell,18,8,87477
charles-leclerc,18,9,87404
oliver-bearman,18,10,87617
liam-lawson,18,11,87597
yuki-tsunoda,18,12,87586
alexander-albon,18,13,87609
lewis-hamilton,18,14,87764
gabriel-bortoleto,18,15,87465
lance-stroll,18,16,87529
franco-colapinto,18,17,87691
esteban-ocon,18,18,88126
pierre-gasly,18,19,88081
oscar-piastri,19,1,85650
lando-norris,19,2,85797
max-verstappen,19,3,85727
carlos-sainz-jr,19,4,86738
kimi-antonelli,19,5,86617
fernando-alonso,19,6,87457
isack-hadjar,19,7,87396
george-russell,19,8,87536
charles-leclerc,19,9,87456
oliver-bearman,19,10,87489
liam-lawson,19,11,87545
yuki-tsunoda,19,12,87477
alexander-albon,19,13,87552
lewis-hamilton,19,14,87552
gabriel-bortoleto,19,15,87773
lance-stroll,19,16,87685
franco-colapinto,19,17,87825
esteban-ocon,19,18,87855
pierre-gasly,19,19,87683
oscar-piastri,20,1,85806
lando-norris,20,2,85903
max-verstappen,20,3,85864
carlos-sainz-jr,20,4,86975
kimi-antonelli,20,5,86509
fernando-alonso,20,6,87325
isack-hadjar,20,7,87400
george-russell,20,8,87269
charles-leclerc,20,9,87402
oliver-bearman,20,10,87258
liam-lawson,20,11,87374
yuki-tsunoda,20,12,87537
alexander-albon,20,13,87586
lewis-hamilton,20,14,87676
gabriel-bortoleto,20,15,87704
lance-stroll,20,16,87700
franco-colapinto,20,17,87646
esteban-ocon,20,18,87451
pierre-gasly,20,19,87692
oscar-piastri,21,1,85958
lando-norris,21,2,85853
max-verstappen,21,3,85803
carlos-sainz-jr,21,4,86693
kimi-antonelli,21,5,86522
fernando-alonso,21,6,87367
isack-hadjar,21,7,87355
george-russell,21,8,87413
charles-leclerc,21,9,87344
oliver-bearman,21,10,87548
liam-lawson,21,11,87355
yuki-tsunoda,21,12,87443
alexander-albon,21,13,87617
lewis-hamilton,21,14,87574
gabriel-bortoleto,21,15,87562
lance-stroll,21,16,87637
franco-colapinto,21,17,87590
esteban-ocon,21,18,87532
pierre-gasly,21,19,87701
oscar-piastri,22,1,85870
lando-norris,22,2,86161
max-verstappen,22,3,85921
carlos-sainz-jr,22,4,86647
kimi-antonelli,22,5,86748
fernando-alonso,22,6,87313
isack-hadjar,22,7,87338
george-russell,22,8,87306
charles-leclerc,22,9,87481
oliver-bearman,22,10,87095
liam-lawson,22,11,87470
yuki-tsunoda,22,12,87427
alexander-albon,22,13,87740
lewis-hamilton,22,14,87813
gabriel-bortoleto,22,15,87864
lance-stroll,22,16,87751
franco-colapinto,22,17,87612
esteban-ocon,22,18,87777
pierre-gasly,22,19,87731
oscar-piastri,23,1,85857
lando-norris,23,2,85953
max-verstappen,23,3,85877
carlos-sainz-jr,23,4,86646
kimi-antonelli,23,5,86735
fernando-alonso,23,6,87191
isack-hadjar,23,7,87128
george-russell,23,8,87219
charles-leclerc,23,9,87388
oliver-bearman,23,10,87638
liam-lawson,23,11,87610
yuki-tsunoda,23,12,87402
alexander-albon,23,13,87570
lewis-hamilton,23,14,87733
gabriel-bortoleto,23,15,87577
lance-stroll,23,16,87689
franco-colapinto,23,17,87777
esteban-ocon,23,18,87716
pierre-gasly,23,19,87527
lando-norris,24,1,85970
oscar-piastri,24,2,90513
max-verstappen,24,3,85740
carlos-sainz-jr,24,4,86650
kimi-antonelli,24,5,86626
fernando-alonso,24,6,86939
isack-hadjar,24,7,87030
george-russell,24,8,86954
charles-leclerc,24,9,87238
oliver-bearman,24,10,87196
liam-lawson,24,11,87312
yuki-tsunoda,24,12,87543
alexander-albon,24,13,87534
lewis-hamilton,24,14,87708
gabriel-bortoleto,24,15,88015
franco-colapinto,24,16,87705
esteban-ocon,24,17,87776
pierre-gasly,24,18,87844
lance-stroll,24,19,92338
max-verstappen,25,1,85618
lando-norris,25,2,90084
carlos-sainz-jr,25,3,86699
kimi-antonelli,25,4,86608
oscar-piastri,25,5,107924
fernando-alonso,25,6,87150
isack-hadjar,25,7,87152
george-russell,25,8,87243
charles-leclerc,25,9,87358
oliver-bearman,25,10,87506
liam-lawson,25,11,87297
yuki-tsunoda,25,12,87666
alexander-albon,25,13,87380
lewis-hamilton,25,14,87635
gabriel-bortoleto,25,15,87582
franco-colapinto,25,16,87420
esteban-ocon,25,17,87325
pierre-gasly,25,18,87372
lance-stroll,25,19,107491
max-verstappen,26,1,85431
carlos-sainz-jr,26,2,86776
kimi-antonelli,26,3,86574
oscar-piastri,26,4,84945
lando-norris,26,5,107589
fernando-alonso,26,6,87738
isack-hadjar,26,7,87695
george-russell,26,8,87569
charles-leclerc,26,9,87331
oliver-bearman,26,10,87291
liam-lawson,26,11,87208
yuki-tsunoda,26,12,87299
alexander-albon,26,13,87431
lewis-hamilton,26,14,87375
gabriel-bortoleto,26,15,87896
franco-colapinto,26,16,88413
esteban-ocon,26,17,88155
pierre-gasly,26,18,88017
lance-stroll,26,19,86151
max-verstappen,27,1,85606
carlos-sainz-jr,27,2,86560
kimi-antonelli,27,3,86425
oscar-piastri,27,4,84951
lando-norris,27,5,85304
fernando-alonso,27,6,86459
isack-hadjar,27,7,86752
george-russell,27,8,87224
charles-leclerc,27,9,87233
oliver-bearman,27,10,87437
liam-lawson,27,11,87592
yuki-tsunoda,27,12,87406
alexander-albon,27,13,87343
lewis-hamilton,27,14,87160
gabriel-bortoleto,27,15,87398
franco-colapinto,27,16,87396
esteban-ocon,27,17,87791
pierre-gasly,27,18,87609
lance-stroll,27,19,86624
max-verstappen,28,1,85477
carlos-sainz-jr,28,2,86195
kimi-antonelli,28,3,86554
oscar-piastri,28,4,85269
lando-norris,28,5,85065
fernando-alonso,28,6,86248
isack-hadjar,28,7,86714
george-russell,28,8,86998
charles-leclerc,28,9,87155
oliver-bearman,28,10,87698
liam-lawson,28,11,87477
yuki-tsunoda,28,12,87624
alexander-albon,28,13,87511
lewis-hamilton,28,14,87449
gabriel-bortoleto,28,15,87622
franco-colapinto,28,16,87402
esteban-ocon,28,17,87516
pierre-gasly,28,18,87523
lance-stroll,28,19,86479
max-verstappen,29,1,85481
carlos-sainz-jr,29,2,86418
