driver_id,lap,position,time_ms
lando-norris,1,1,78067
kimi-antonelli,1,2,79069
charles-leclerc,1,3,79556
oscar-piastri,1,4,80531
isack-hadjar,1,5,81320
liam-lawson,1,6,81830
george-russell,1,7,82173
pierre-gasly,1,8,83216
oliver-bearman,1,9,83362
fernando-alonso,1,10,84077
alexander-albon,1,11,84430
nico-hulkenberg,1,12,84736
carlos-sainz-jr,1,13,84958
yuki-tsunoda,1,14,85506
lance-stroll,1,15,86274
franco-colapinto,1,16,86575
lewis-hamilton,1,17,86869
max-verstappen,1,18,87191
esteban-ocon,1,19,88381
lando-norris,2,1,101996
kimi-antonelli,2,2,102524
charles-leclerc,2,3,103560
oscar-piastri,2,4,105122
isack-hadjar,2,5,106339
liam-lawson,2,6,107670
george-russell,2,7,109497
oliver-bearman,2,8,109412
pierre-gasly,2,9,111215
fernando-alonso,2,10,111123
alexander-albon,2,11,111703
carlos-sainz-jr,2,12,112471
nico-hulkenberg,2,13,114736
lance-stroll,2,14,116064
franco-colapinto,2,15,118185
yuki-tsunoda,2,16,119580
max-verstappen,2,17,120413
esteban-ocon,2,18,120336
lewis-hamilton,2,19,125836
lando-norris,3,1,114600
kimi-antonelli,3,2,113773
charles-leclerc,3,3,113343
oscar-piastri,3,4,111843
isack-hadjar,3,5,113008
liam-lawson,3,6,113614
george-russell,3,7,112274
oliver-bearman,3,8,112534
pierre-gasly,3,9,112063
fernando-alonso,3,10,112471
alexander-albon,3,11,112479
carlos-sainz-jr,3,12,112755
nico-hulkenberg,3,13,112587
lance-stroll,3,14,110806
franco-colapinto,3,15,109957
max-verstappen,3,16,109007
esteban-ocon,3,17,108726
yuki-tsunoda,3,18,114737
lewis-hamilton,3,19,120497
lando-norris,4,1,109769
kimi-antonelli,4,2,109802
charles-leclerc,4,3,110062
oscar-piastri,4,4,110295
isack-hadjar,4,5,109148
liam-lawson,4,6,108804
george-russell,4,7,109183
oliver-bearman,4,8,108538
pierre-gasly,4,9,108619
fernando-alonso,4,10,108514
