driver_id,lap,position,time_ms
george-russell,1,1,103905
max-verstappen,1,2,104887
lando-norris,1,3,105566
oscar-piastri,1,4,106982
charles-leclerc,1,5,107564
kimi-antonelli,1,6,107862
lewis-hamilton,1,7,108603
isack-hadjar,1,8,109417
fernando-alonso,1,9,110169
oliver-bearman,1,10,110644
nico-hulkenberg,1,11,111473
liam-lawson,1,12,111941
franco-colapinto,1,13,112427
lance-stroll,1,14,113822
gabriel-bortoleto,1,15,114057
yuki-tsunoda,1,16,115167
esteban-ocon,1,17,115463
carlos-sainz-jr,1,18,116072
pierre-gasly,1,19,116341
alexander-albon,1,20,116760
george-russell,2,1,99149
max-verstappen,2,2,99698
lando-norris,2,3,99639
oscar-piastri,2,4,100284
charles-leclerc,2,5,101077
kimi-antonelli,2,6,101392
lewis-hamilton,2,7,101350
isack-hadjar,2,8,101529
fernando-alonso,2,9,101359
oliver-bearman,2,10,101501
nico-hulkenberg,2,11,101360
liam-lawson,2,12,101671
franco-colapinto,2,13,101923
lance-stroll,2,14,101142
gabriel-bortoleto,2,15,101226
esteban-ocon,2,16,101132
yuki-tsunoda,2,17,102210
carlos-sainz-jr,2,18,102183
pierre-gasly,2,19,102454
alexander-albon,2,20,102374
george-russell,3,1,98035
max-verstappen,3,2,98481
lando-norris,3,3,98753
oscar-piastri,3,4,98968
charles-leclerc,3,5,99042
kimi-antonelli,3,6,99261
lewis-hamilton,3,7,99319
fernando-alonso,3,8,98983
isack-hadjar,3,9,100257
oliver-bearman,3,10,100033
nico-hulkenberg,3,11,99741
liam-lawson,3,12,99832
franco-colapinto,3,13,99789
lance-stroll,3,14,99963
gabriel-bortoleto,3,15,100081
esteban-ocon,3,16,100342
yuki-tsunoda,3,17,100188
carlos-sainz-jr,3,18,99996
pierre-gasly,3,19,100018
alexander-albon,3,20,100171
george-russell,4,1,97570
max-verstappen,4,2,98077
lando-norris,4,3,98211
oscar-piastri,4,4,98418
charles-leclerc,4,5,98265
kimi-antonelli,4,6,98206
lewis-hamilton,4,7,98690
fernando-alonso,4,8,99281
isack-hadjar,4,9,99326
oliver-bearman,4,10,98962
nico-hulkenberg,4,11,99542
liam-lawson,4,12,99536
franco-colapinto,4,13,99604
lance-stroll,4,14,99589
gabriel-bortoleto,4,15,99677
esteban-ocon,4,16,99425
yuki-tsunoda,4,17,99595
carlos-sainz-jr,4,18,99625
pierre-gasly,4,19,99753
alexander-albon,4,20,100091
george-russell,5,1,97184
max-verstappen,5,2,97504
lando-norris,5,3,98066
oscar-piastri,5,4,97949
charles-leclerc,5,5,98061
kimi-antonelli,5,6,98044
lewis-hamilton,5,7,97785
fernando-alonso,5,8,98617
isack-hadjar,5,9,98739
oliver-bearman,5,10,98673
nico-hulkenberg,5,11,98855
liam-lawson,5,12,98772
franco-colapinto,5,13,98907
lance-stroll,5,14,99240
gabriel-bortoleto,5,15,99452
esteban-ocon,5,16,99209
yuki-tsunoda,5,17,99162
carlos-sainz-jr,5,18,99431
pierre-gasly,5,19,99548
alexander-albon,5,20,99142
george-russell,6,1,96854
max-verstappen,6,2,97326
lando-norris,6,3,97597
oscar-piastri,6,4,97924
charles-leclerc,6,5,97827
kimi-antonelli,6,6,97733
lewis-hamilton,6,7,97836
fernando-alonso,6,8,98403
isack-hadjar,6,9,98554
oliver-bearman,6,10,98596
nico-hulkenberg,6,11,99136
liam-lawson,6,12,98838
franco-colapinto,6,13,99039
lance-stroll,6,14,99132
gabriel-bortoleto,6,15,99657
esteban-ocon,6,16,99324
yuki-tsunoda,6,17,99293
carlos-sainz-jr,6,18,100000
pierre-gasly,6,19,99870
alexander-albon,6,20,100670
george-russell,7,1,96768
max-verstappen,7,2,97149
lando-norris,7,3,97199
oscar-piastri,7,4,97249
charles-leclerc,7,5,97846
kimi-antonelli,7,6,97906
lewis-hamilton,7,7,97757
fernando-alonso,7,8,98371
isack-hadjar,7,9,98093
oliver-bearman,7,10,99020
nico-hulkenberg,7,11,98437
liam-lawson,7,12,98827
franco-colapinto,7,13,98844
lance-stroll,7,14,98951
gabriel-bortoleto,7,15,99072
esteban-ocon,7,16,99153
yuki-tsunoda,7,17,99199
carlos-sainz-jr,7,18,99300
pierre-gasly,7,19,99250
alexander-albon,7,20,99483
george-russell,8,1,96655
max-verstappen,8,2,97136
lando-norris,8,3,97032
oscar-piastri,8,4,97212
charles-leclerc,8,5,97422
kimi-antonelli,8,6,97588
lewis-hamilton,8,7,97899
fernando-alonso,8,8,98523
isack-hadjar,8,9,98577
oliver-bearman,8,10,98477
nico-hulkenberg,8,11,99127
liam-lawson,8,12,98966
franco-colapinto,8,13,98720
lance-stroll,8,14,98670
gabriel-bortoleto,8,15,98776
esteban-ocon,8,16,98887
yuki-tsunoda,8,17,98957
carlos-sainz-jr,8,18,99297
pierre-gasly,8,19,99485
alexander-albon,8,20,99480
george-russell,9,1,96726
max-verstappen,9,2,97165
lando-norris,9,3,97125
oscar-piastri,9,4,97212
charles-leclerc,9,5,97184
kimi-antonelli,9,6,97736
lewis-hamilton,9,7,97796
fernando-alonso,9,8,98360
isack-hadjar,9,9,98465
oliver-bearman,9,10,98668
nico-hulkenberg,9,11,98354
liam-lawson,9,12,98559
franco-colapinto,9,13,98760
lance-stroll,9,14,98790
gabriel-bortoleto,9,15,99153
esteban-ocon,9,16,99115
yuki-tsunoda,9,17,98981
carlos-sainz-jr,9,18,98858
pierre-gasly,9,19,99255
alexander-albon,9,20,99185
george-russell,10,1,96665
max-verstappen,10,2,97239
lando-norris,10,3,97259
oscar-piastri,10,4,97736
charles-leclerc,10,5,97730
kimi-antonelli,10,6,97905
lewis-hamilton,10,7,97743
fernando-alonso,10,8,98275
isack-hadjar,10,9,98280
oliver-bearman,10,10,98230
nico-hulkenberg,10,11,98304
liam-lawson,10,12,98379
franco-colapinto,10,13,98649
lance-stroll,10,14,98810
gabriel-bortoleto,10,15,98835
esteban-ocon,10,16,99079
yuki-tsunoda,10,17,99149
carlos-sainz-jr,10,18,98880
pierre-gasly,10,19,99733
alexander-albon,10,20,98941
george-russell,11,1,96712
max-verstappen,11,2,97223
lando-norris,11,3,97130
oscar-piastri,11,4,97428
charles-leclerc,11,5,97871
kimi-antonelli,11,6,97615
lewis-hamilton,11,7,97461
fernando-alonso,11,8,98325
isack-hadjar,11,9,98427
oliver-bearman,11,10,98494
nico-hulkenberg,11,11,98240
liam-lawson,11,12,98614
franco-colapinto,11,13,98670
lance-stroll,11,14,98647
gabriel-bortoleto,11,15,98816
esteban-ocon,11,16,98945
yuki-tsunoda,11,17,99007
carlos-sainz-jr,11,18,99052
pierre-gasly,11,19,98727
alexander-albon,11,20,98758
george-russell,12,1,96485
max-verstappen,12,2,97187
lando-norris,12,3,97157
oscar-piastri,12,4,97685
charles-leclerc,12,5,97618
kimi-antonelli,12,6,97615
lewis-hamilton,12,7,97309
fernando-alonso,12,8,98420
isack-hadjar,12,9,98335
oliver-bearman,12,10,98182
nico-hulkenberg,12,11,98408
liam-lawson,12,12,99222
franco-colapinto,12,13,98988
lance-stroll,12,14,99065
gabriel-bortoleto,12,15,98922
esteban-ocon,12,16,98889
yuki-tsunoda,12,17,98949
carlos-sainz-jr,12,18,99116
pierre-gasly,12,19,98848
alexander-albon,12,20,99603
george-russell,13,1,96630
max-verstappen,13,2,97332
lando-norris,13,3,97040
oscar-piastri,13,4,97334
charles-leclerc,13,5,97431
kimi-antonelli,13,6,97621
lewis-hamilton,13,7,98348
fernando-alonso,13,8,98431
isack-hadjar,13,9,98379
oliver-bearman,13,10,98419
nico-hulkenberg,13,11,98453
liam-lawson,13,12,98886
franco-colapinto,13,13,98869
lance-stroll,13,14,98954
esteban-ocon,13,15,98772
carlos-sainz-jr,13,16,99055
gabriel-bortoleto,13,17,104393
pierre-gasly,13,18,99338
alexander-albon,13,19,100215
yuki-tsunoda,13,20,105142
george-russell,14,1,96822
max-verstappen,14,2,97472
lando-norris,14,3,97333
oscar-piastri,14,4,97478
charles-leclerc,14,5,97493
kimi-antonelli,14,6,97711
