driver_id,lap,position,time_ms
oscar-piastri,1,1,82879
max-verstappen,1,2,83696
lando-norris,1,3,84658
lewis-hamilton,1,4,85349
charles-leclerc,1,5,86275
george-russell,1,6,86617
kimi-antonelli,1,7,87381
pierre-gasly,1,8,87934
isack-hadjar,1,9,88411
fernando-alonso,1,10,88761
nico-hulkenberg,1,11,88901
gabriel-bortoleto,1,12,89360
liam-lawson,1,13,89953
alexander-albon,1,14,90384
oliver-bearman,1,15,90837
esteban-ocon,1,16,91228
carlos-sainz-jr,1,17,91809
franco-colapinto,1,18,92318
yuki-tsunoda,1,19,93614
oscar-piastri,2,1,80211
max-verstappen,2,2,80083
lando-norris,2,3,80904
lewis-hamilton,2,4,81368
charles-leclerc,2,5,81421
george-russell,2,6,81564
kimi-antonelli,2,7,82112
pierre-gasly,2,8,82663
isack-hadjar,2,9,82858
nico-hulkenberg,2,10,82812
fernando-alonso,2,11,83387
gabriel-bortoleto,2,12,83275
liam-lawson,2,13,83220
alexander-albon,2,14,83703
oliver-bearman,2,15,83868
esteban-ocon,2,16,83815
carlos-sainz-jr,2,17,83851
franco-colapinto,2,18,83993
yuki-tsunoda,2,19,83482
oscar-piastri,3,1,79866
max-verstappen,3,2,80537
lando-norris,3,3,80690
lewis-hamilton,3,4,80753
charles-leclerc,3,5,80809
george-russell,3,6,81385
kimi-antonelli,3,7,81874
pierre-gasly,3,8,82133
isack-hadjar,3,9,81972
nico-hulkenberg,3,10,82138
fernando-alonso,3,11,82424
gabriel-bortoleto,3,12,82493
liam-lawson,3,13,82634
alexander-albon,3,14,82585
oliver-bearman,3,15,82603
esteban-ocon,3,16,82636
carlos-sainz-jr,3,17,82905
franco-colapinto,3,18,83061
yuki-tsunoda,3,19,83005
oscar-piastri,4,1,80359
max-verstappen,4,2,81032
lando-norris,4,3,80800
lewis-hamilton,4,4,80639
charles-leclerc,4,5,80725
george-russell,4,6,81126
kimi-antonelli,4,7,81374
pierre-gasly,4,8,81329
isack-hadjar,4,9,81781
nico-hulkenberg,4,10,81756
fernando-alonso,4,11,81965
gabriel-bortoleto,4,12,82114
liam-lawson,4,13,82031
alexander-albon,4,14,82127
oliver-bearman,4,15,82344
esteban-ocon,4,16,82373
carlos-sainz-jr,4,17,82370
franco-colapinto,4,18,82402
yuki-tsunoda,4,19,82585
oscar-piastri,5,1,80467
max-verstappen,5,2,80964
lando-norris,5,3,80644
lewis-hamilton,5,4,81109
charles-leclerc,5,5,80750
george-russell,5,6,81130
kimi-antonelli,5,7,81368
pierre-gasly,5,8,81681
isack-hadjar,5,9,81647
nico-hulkenberg,5,10,81710
fernando-alonso,5,11,81888
gabriel-bortoleto,5,12,82130
liam-lawson,5,13,82423
alexander-albon,5,14,82537
oliver-bearman,5,15,82177
esteban-ocon,5,16,82484
carlos-sainz-jr,5,17,82470
franco-colapinto,5,18,82336
yuki-tsunoda,5,19,82249
oscar-piastri,6,1,80254
max-verstappen,6,2,80822
lando-norris,6,3,80713
lewis-hamilton,6,4,81565
charles-leclerc,6,5,81368
george-russell,6,6,81383
kimi-antonelli,6,7,81477
pierre-gasly,6,8,81791
isack-hadjar,6,9,81820
nico-hulkenberg,6,10,81740
fernando-alonso,6,11,81670
gabriel-bortoleto,6,12,82166
liam-lawson,6,13,82137
oliver-bearman,6,14,82587
esteban-ocon,6,15,82586
carlos-sainz-jr,6,16,82836
franco-colapinto,6,17,82776
alexander-albon,6,18,86284
yuki-tsunoda,6,19,82860
oscar-piastri,7,1,80931
max-verstappen,7,2,80760
lando-norris,7,3,80837
lewis-hamilton,7,4,81623
charles-leclerc,7,5,81722
george-russell,7,6,81684
kimi-antonelli,7,7,81707
pierre-gasly,7,8,81964
isack-hadjar,7,9,82164
nico-hulkenberg,7,10,82315
fernando-alonso,7,11,82247
gabriel-bortoleto,7,12,82531
liam-lawson,7,13,82695
oliver-bearman,7,14,82068
esteban-ocon,7,15,82280
carlos-sainz-jr,7,16,82908
franco-colapinto,7,17,83079
yuki-tsunoda,7,18,82950
alexander-albon,7,19,107640
oscar-piastri,8,1,80828
max-verstappen,8,2,81019
lando-norris,8,3,80902
lewis-hamilton,8,4,81929
charles-leclerc,8,5,81841
george-russell,8,6,81738
kimi-antonelli,8,7,81857
pierre-gasly,8,8,82313
isack-hadjar,8,9,82317
nico-hulkenberg,8,10,82263
fernando-alonso,8,11,82421
gabriel-bortoleto,8,12,83133
liam-lawson,8,13,82930
esteban-ocon,8,14,82643
carlos-sainz-jr,8,15,83405
oliver-bearman,8,16,86186
franco-colapinto,8,17,83385
yuki-tsunoda,8,18,87017
alexander-albon,8,19,80543
oscar-piastri,9,1,80767
