driver_id,lap,position,time_ms
lance-stroll,1,1,119973
sergio-perez,1,2,123644
sebastian-vettel,1,3,128656
max-verstappen,1,4,129685
alexander-albon,1,5,131074
lewis-hamilton,1,6,131904
daniel-ricciardo,1,7,132618
kimi-raikkonen,1,8,134918
carlos-sainz-jr,1,9,135726
kevin-magnussen,1,10,137492
antonio-giovinazzi,1,11,137762
daniil-kvyat,1,12,139499
pierre-gasly,1,13,140954
charles-leclerc,1,14,141526
lando-norris,1,15,143668
romain-grosjean,1,16,144084
george-russell,1,17,147980
valtteri-bottas,1,18,148432
esteban-ocon,1,19,153513
nicholas-latifi,1,20,158785
lance-stroll,2,1,115125
sergio-perez,2,2,116790
sebastian-vettel,2,3,118303
max-verstappen,2,4,119069
alexander-albon,2,5,118566
lewis-hamilton,2,6,119881
daniel-ricciardo,2,7,120881
kimi-raikkonen,2,8,120377
carlos-sainz-jr,2,9,122115
kevin-magnussen,2,10,124042
antonio-giovinazzi,2,11,124423
daniil-kvyat,2,12,125252
pierre-gasly,2,13,124663
charles-leclerc,2,14,124853
lando-norris,2,15,124681
romain-grosjean,2,16,126933
valtteri-bottas,2,17,123530
george-russell,2,18,129862
nicholas-latifi,2,19,132459
esteban-ocon,2,20,137982
lance-stroll,3,1,114247
sergio-perez,3,2,115002
sebastian-vettel,3,3,116056
max-verstappen,3,4,115266
alexander-albon,3,5,117469
lewis-hamilton,3,6,116659
daniel-ricciardo,3,7,117046
kimi-raikkonen,3,8,118478
carlos-sainz-jr,3,9,117336
kevin-magnussen,3,10,119226
antonio-giovinazzi,3,11,121884
daniil-kvyat,3,12,121207
pierre-gasly,3,13,121401
charles-leclerc,3,14,121375
lando-norris,3,15,120938
valtteri-bottas,3,16,120309
romain-grosjean,3,17,124367
george-russell,3,18,122790
esteban-ocon,3,19,119312
nicholas-latifi,3,20,130767
lance-stroll,4,1,114170
sergio-perez,4,2,114339
sebastian-vettel,4,3,115377
max-verstappen,4,4,115259
alexander-albon,4,5,114568
lewis-hamilton,4,6,115018
daniel-ricciardo,4,7,115701
kimi-raikkonen,4,8,116508
carlos-sainz-jr,4,9,116216
kevin-magnussen,4,10,117789
antonio-giovinazzi,4,11,120200
daniil-kvyat,4,12,119909
pierre-gasly,4,13,120133
charles-leclerc,4,14,119889
lando-norris,4,15,119566
valtteri-bottas,4,16,117473
romain-grosjean,4,17,119439
george-russell,4,18,120833
esteban-ocon,4,19,114844
nicholas-latifi,4,20,126716
lance-stroll,5,1,113516
sergio-perez,5,2,113215
sebastian-vettel,5,3,114100
max-verstappen,5,4,114134
alexander-albon,5,5,113656
lewis-hamilton,5,6,114724
daniel-ricciardo,5,7,114539
carlos-sainz-jr,5,8,115227
kimi-raikkonen,5,9,118955
kevin-magnussen,5,10,117631
antonio-giovinazzi,5,11,117415
daniil-kvyat,5,12,118074
pierre-gasly,5,13,118285
charles-leclerc,5,14,118425
lando-norris,5,15,118176
valtteri-bottas,5,16,118254
romain-grosjean,5,17,118713
george-russell,5,18,118792
esteban-ocon,5,19,115387
nicholas-latifi,5,20,123251
lance-stroll,6,1,114053
sergio-perez,6,2,113030
sebastian-vettel,6,3,113284
max-verstappen,6,4,113330
alexander-albon,6,5,113544
lewis-hamilton,6,6,113283
daniel-ricciardo,6,7,113434
carlos-sainz-jr,6,8,113255
kimi-raikkonen,6,9,116634
kevin-magnussen,6,10,115193
antonio-giovinazzi,6,11,116650
daniil-kvyat,6,12,117199
pierre-gasly,6,13,116787
charles-leclerc,6,14,117786
lando-norris,6,15,117099
valtteri-bottas,6,16,118218
romain-grosjean,6,17,118901
george-russell,6,18,116634
esteban-ocon,6,19,116832
nicholas-latifi,6,20,126551
lance-stroll,7,1,113335
sergio-perez,7,2,114219
sebastian-vettel,7,3,112899
max-verstappen,7,4,112893
alexander-albon,7,5,112985
lewis-hamilton,7,6,112562
daniel-ricciardo,7,7,113289
carlos-sainz-jr,7,8,113171
kimi-raikkonen,7,9,115279
kevin-magnussen,7,10,114266
antonio-giovinazzi,7,11,117201
daniil-kvyat,7,12,116003
pierre-gasly,7,13,116140
lando-norris,7,14,115263
valtteri-bottas,7,15,116556
romain-grosjean,7,16,115997
george-russell,7,17,115621
esteban-ocon,7,18,115294
charles-leclerc,7,19,130329
nicholas-latifi,7,20,122473
lance-stroll,8,1,114094
sergio-perez,8,2,112989
sebastian-vettel,8,3,113094
max-verstappen,8,4,112703
alexander-albon,8,5,112239
lewis-hamilton,8,6,114401
daniel-ricciardo,8,7,112799
carlos-sainz-jr,8,8,112726
kimi-raikkonen,8,9,115858
kevin-magnussen,8,10,115785
antonio-giovinazzi,8,11,116474
pierre-gasly,8,12,116916
lando-norris,8,13,116555
daniil-kvyat,8,14,119309
romain-grosjean,8,15,117507
george-russell,8,16,114228
charles-leclerc,8,17,113315
esteban-ocon,8,18,115056
valtteri-bottas,8,19,129177
nicholas-latifi,8,20,127212
lance-stroll,9,1,113336
sergio-perez,9,2,113194
max-verstappen,9,3,111091
alexander-albon,9,4,111613
daniel-ricciardo,9,5,112342
carlos-sainz-jr,9,6,111671
sebastian-vettel,9,7,130845
lewis-hamilton,9,8,128857
pierre-gasly,9,9,112755
lando-norris,9,10,114627
kevin-magnussen,9,11,133342
kimi-raikkonen,9,12,139440
charles-leclerc,9,13,109771
george-russell,9,14,112942
esteban-ocon,9,15,114115
valtteri-bottas,9,16,110923
antonio-giovinazzi,9,17,136363
daniil-kvyat,9,18,134555
romain-grosjean,9,19,135743
nicholas-latifi,9,20,139487
sergio-perez,10,1,112914
max-verstappen,10,2,108610
alexander-albon,10,3,110440
lance-stroll,10,4,131349
daniel-ricciardo,10,5,113727
carlos-sainz-jr,10,6,112789
sebastian-vettel,10,7,109322
lewis-hamilton,10,8,105872
pierre-gasly,10,9,112699
kevin-magnussen,10,10,111561
kimi-raikkonen,10,11,110839
charles-leclerc,10,12,110429
george-russell,10,13,111091
valtteri-bottas,10,14,112489
lando-norris,10,15,126018
esteban-ocon,10,16,114935
antonio-giovinazzi,10,17,113659
daniil-kvyat,10,18,113346
romain-grosjean,10,19,112232
nicholas-latifi,10,20,118190
max-verstappen,11,1,109567
alexander-albon,11,2,110423
lance-stroll,11,3,107275
sergio-perez,11,4,131088
sebastian-vettel,11,5,109439
lewis-hamilton,11,6,109209
daniel-ricciardo,11,7,128902
carlos-sainz-jr,11,8,127973
kevin-magnussen,11,9,109969
charles-leclerc,11,10,110700
kimi-raikkonen,11,11,112458
george-russell,11,12,109730
valtteri-bottas,11,13,106579
lando-norris,11,14,108431
pierre-gasly,11,15,128010
antonio-giovinazzi,11,16,111122
daniil-kvyat,11,17,112051
romain-grosjean,11,18,109985
esteban-ocon,11,19,128922
nicholas-latifi,11,20,115835
alexander-albon,12,1,110231
lance-stroll,12,2,106571
sergio-perez,12,3,107380
max-verstappen,12,4,127358
sebastian-vettel,12,5,110603
lewis-hamilton,12,6,110239
daniel-ricciardo,12,7,108547
carlos-sainz-jr,12,8,107450
kevin-magnussen,12,9,108826
charles-leclerc,12,10,106893
george-russell,12,11,109594
valtteri-bottas,12,12,108940
kimi-raikkonen,12,13,112178
lando-norris,12,14,107864
pierre-gasly,12,15,107230
daniil-kvyat,12,16,109868
romain-grosjean,12,17,111162
esteban-ocon,12,18,109531
nicholas-latifi,12,19,125966
lance-stroll,13,1,109736
sergio-perez,13,2,108306
max-verstappen,13,3,110639
sebastian-vettel,13,4,113100
lewis-hamilton,13,5,114471
alexander-albon,13,6,133494
daniel-ricciardo,13,7,117130
carlos-sainz-jr,13,8,116781
charles-leclerc,13,9,124007
kevin-magnussen,13,10,126997
george-russell,13,11,122770
valtteri-bottas,13,12,122471
kimi-raikkonen,13,13,123240
lando-norris,13,14,124355
pierre-gasly,13,15,124542
daniil-kvyat,13,16,124256
romain-grosjean,13,17,124988
esteban-ocon,13,18,126086
nicholas-latifi,13,19,126037
lance-stroll,14,1,131538
sergio-perez,14,2,128386
max-verstappen,14,3,127347
sebastian-vettel,14,4,127391
lewis-hamilton,14,5,126654
alexander-albon,14,6,126329
daniel-ricciardo,14,7,125923
carlos-sainz-jr,14,8,126450
charles-leclerc,14,9,126421
kevin-magnussen,14,10,126797
george-russell,14,11,126410
valtteri-bottas,14,12,126620
kimi-raikkonen,14,13,126323
lando-norris,14,14,125619
pierre-gasly,14,15,125219
daniil-kvyat,14,16,124705
esteban-ocon,14,17,121433
romain-grosjean,14,18,123798
nicholas-latifi,14,19,113841
lance-stroll,15,1,111012
sergio-perez,15,2,114009
max-verstappen,15,3,111995
sebastian-vettel,15,4,115131
alexander-albon,15,5,111892
lewis-hamilton,15,6,115353
daniel-ricciardo,15,7,112095
carlos-sainz-jr,15,8,111374
charles-leclerc,15,9,106652
kevin-magnussen,15,10,110182
george-russell,15,11,111523
kimi-raikkonen,15,12,110474
lando-norris,15,13,109966
valtteri-bottas,15,14,114699
pierre-gasly,15,15,109695
daniil-kvyat,15,16,108900
esteban-ocon,15,17,106990
romain-grosjean,15,18,111290
nicholas-latifi,15,19,115751
lance-stroll,16,1,106317
sergio-perez,16,2,105323
max-verstappen,16,3,105353
alexander-albon,16,4,105092
sebastian-vettel,16,5,108022
lewis-hamilton,16,6,107193
daniel-ricciardo,16,7,106657
carlos-sainz-jr,16,8,106712
charles-leclerc,16,9,104173
kevin-magnussen,16,10,110705
george-russell,16,11,109674
lando-norris,16,12,108632
kimi-raikkonen,16,13,109911
pierre-gasly,16,14,109076
valtteri-bottas,16,15,115273
daniil-kvyat,16,16,108315
esteban-ocon,16,17,106084
romain-grosjean,16,18,108027
nicholas-latifi,16,19,113611
lance-stroll,17,1,104386
sergio-perez,17,2,105211
max-verstappen,17,3,105189
alexander-albon,17,4,103350
sebastian-vettel,17,5,106067
lewis-hamilton,17,6,106044
daniel-ricciardo,17,7,105990
carlos-sainz-jr,17,8,105807
charles-leclerc,17,9,102570
kevin-magnussen,17,10,106891
george-russell,17,11,106993
lando-norris,17,12,106872
kimi-raikkonen,17,13,107584
pierre-gasly,17,14,106555
valtteri-bottas,17,15,105484
esteban-ocon,17,16,105275
daniil-kvyat,17,17,114086
romain-grosjean,17,18,106960
nicholas-latifi,17,19,121307
lance-stroll,18,1,103951
sergio-perez,18,2,105370
alexander-albon,18,3,102525
sebastian-vettel,18,4,105212
lewis-hamilton,18,5,105723
max-verstappen,18,6,120327
daniel-ricciardo,18,7,105300
carlos-sainz-jr,18,8,105464
charles-leclerc,18,9,102857
kevin-magnussen,18,10,105215
george-russell,18,11,106182
lando-norris,18,12,106273
kimi-raikkonen,18,13,106662
pierre-gasly,18,14,105902
valtteri-bottas,18,15,104979
esteban-ocon,18,16,104266
daniil-kvyat,18,17,106155
romain-grosjean,18,18,106215
nicholas-latifi,18,19,108535
lance-stroll,19,1,105624
sergio-perez,19,2,103377
alexander-albon,19,3,102325
sebastian-vettel,19,4,104705
lewis-hamilton,19,5,104116
daniel-ricciardo,19,6,105116
carlos-sainz-jr,19,7,104270
max-verstappen,19,8,119670
charles-leclerc,19,9,102641
kevin-magnussen,19,10,105254
george-russell,19,11,105415
lando-norris,19,12,105042
kimi-raikkonen,19,13,107418
pierre-gasly,19,14,107118
valtteri-bottas,19,15,104741
esteban-ocon,19,16,104584
daniil-kvyat,19,17,104660
romain-grosjean,19,18,106478
nicholas-latifi,19,19,106879
lance-stroll,20,1,105144
sergio-perez,20,2,103531
alexander-albon,20,3,102141
sebastian-vettel,20,4,103418
lewis-hamilton,20,5,103948
daniel-ricciardo,20,6,104697
carlos-sainz-jr,20,7,105156
max-verstappen,20,8,102093
charles-leclerc,20,9,101990
kevin-magnussen,20,10,105234
george-russell,20,11,105021
lando-norris,20,12,105125
kimi-raikkonen,20,13,105095
pierre-gasly,20,14,105469
valtteri-bottas,20,15,105390
esteban-ocon,20,16,104128
daniil-kvyat,20,17,104067
romain-grosjean,20,18,106434
nicholas-latifi,20,19,107430
lance-stroll,21,1,104249
sergio-perez,21,2,103267
alexander-albon,21,3,102464
sebastian-vettel,21,4,102734
lewis-hamilton,21,5,102909
daniel-ricciardo,21,6,103969
carlos-sainz-jr,21,7,104343
max-verstappen,21,8,101479
charles-leclerc,21,9,102409
kevin-magnussen,21,10,104263
george-russell,21,11,104358
lando-norris,21,12,104615
kimi-raikkonen,21,13,104923
pierre-gasly,21,14,104809
esteban-ocon,21,15,104671
daniil-kvyat,21,16,104369
valtteri-bottas,21,17,117855
romain-grosjean,21,18,106432
nicholas-latifi,21,19,106092
lance-stroll,22,1,104459
sergio-perez,22,2,104075
alexander-albon,22,3,103120
sebastian-vettel,22,4,102820
lewis-hamilton,22,5,103593
daniel-ricciardo,22,6,103653
carlos-sainz-jr,22,7,103667
max-verstappen,22,8,104400
charles-leclerc,22,9,101670
kevin-magnussen,22,10,104802
george-russell,22,11,104204
lando-norris,22,12,103991
kimi-raikkonen,22,13,104470
pierre-gasly,22,14,104479
esteban-ocon,22,15,103790
daniil-kvyat,22,16,104193
valtteri-bottas,22,17,104353
romain-grosjean,22,18,105477
nicholas-latifi,22,19,108581
lance-stroll,23,1,104864
sergio-perez,23,2,103681
alexander-albon,23,3,103259
sebastian-vettel,23,4,103142
lewis-hamilton,23,5,104136
daniel-ricciardo,23,6,103448
carlos-sainz-jr,23,7,103325
max-verstappen,23,8,103546
charles-leclerc,23,9,102444
kevin-magnussen,23,10,104526
george-russell,23,11,104551
lando-norris,23,12,104359
kimi-raikkonen,23,13,105747
pierre-gasly,23,14,105781
esteban-ocon,23,15,104886
daniil-kvyat,23,16,103981
valtteri-bottas,23,17,104057
romain-grosjean,23,18,106478
nicholas-latifi,23,19,108427
lance-stroll,24,1,105034
sergio-perez,24,2,104516
