driver_id,lap,position,time_ms
valtteri-bottas,1,1,100317
max-verstappen,1,2,101552
lewis-hamilton,1,3,103228
charles-leclerc,1,4,104832
lando-norris,1,5,105748
sebastian-vettel,1,6,106688
daniel-ricciardo,1,7,106886
pierre-gasly,1,8,107505
carlos-sainz-jr,1,9,108208
kevin-magnussen,1,10,108938
alexander-albon,1,11,109520
kimi-raikkonen,1,12,109596
nico-hulkenberg,1,13,110500
romain-grosjean,1,14,110931
daniil-kvyat,1,15,111478
antonio-giovinazzi,1,16,112013
lance-stroll,1,17,112606
sergio-perez,1,18,113540
robert-kubica,1,19,113845
george-russell,1,20,114574
valtteri-bottas,2,1,101436
max-verstappen,2,2,101456
lewis-hamilton,2,3,101043
charles-leclerc,2,4,102605
lando-norris,2,5,103433
daniel-ricciardo,2,6,102902
sebastian-vettel,2,7,104089
pierre-gasly,2,8,104253
carlos-sainz-jr,2,9,104543
kevin-magnussen,2,10,104529
kimi-raikkonen,2,11,104351
nico-hulkenberg,2,12,104332
romain-grosjean,2,13,104594
daniil-kvyat,2,14,104754
antonio-giovinazzi,2,15,104924
lance-stroll,2,16,104938
sergio-perez,2,17,104620
robert-kubica,2,18,106284
george-russell,2,19,106387
alexander-albon,2,20,130508
valtteri-bottas,3,1,100986
max-verstappen,3,2,101104
lewis-hamilton,3,3,101259
charles-leclerc,3,4,101743
lando-norris,3,5,102971
daniel-ricciardo,3,6,103193
sebastian-vettel,3,7,103091
pierre-gasly,3,8,103246
carlos-sainz-jr,3,9,103318
kevin-magnussen,3,10,103617
kimi-raikkonen,3,11,103889
nico-hulkenberg,3,12,103768
romain-grosjean,3,13,103884
daniil-kvyat,3,14,103710
antonio-giovinazzi,3,15,104021
lance-stroll,3,16,104357
sergio-perez,3,17,104333
robert-kubica,3,18,105047
george-russell,3,19,104934
alexander-albon,3,20,100155
valtteri-bottas,4,1,100789
max-verstappen,4,2,101011
lewis-hamilton,4,3,101231
charles-leclerc,4,4,101504
lando-norris,4,5,102311
daniel-ricciardo,4,6,102353
sebastian-vettel,4,7,102300
pierre-gasly,4,8,102794
carlos-sainz-jr,4,9,102688
kevin-magnussen,4,10,103394
kimi-raikkonen,4,11,103358
nico-hulkenberg,4,12,103395
daniil-kvyat,4,13,103300
romain-grosjean,4,14,104728
antonio-giovinazzi,4,15,103864
lance-stroll,4,16,103730
sergio-perez,4,17,103702
robert-kubica,4,18,104695
george-russell,4,19,104650
alexander-albon,4,20,100377
valtteri-bottas,5,1,100429
max-verstappen,5,2,100651
lewis-hamilton,5,3,100861
charles-leclerc,5,4,101759
lando-norris,5,5,102262
daniel-ricciardo,5,6,102257
sebastian-vettel,5,7,102194
pierre-gasly,5,8,102481
carlos-sainz-jr,5,9,102757
kevin-magnussen,5,10,103230
kimi-raikkonen,5,11,103231
nico-hulkenberg,5,12,103268
daniil-kvyat,5,13,103204
romain-grosjean,5,14,103759
antonio-giovinazzi,5,15,103877
lance-stroll,5,16,104027
sergio-perez,5,17,103972
robert-kubica,5,18,104602
george-russell,5,19,104732
alexander-albon,5,20,100398
valtteri-bottas,6,1,100847
max-verstappen,6,2,100895
lewis-hamilton,6,3,100945
charles-leclerc,6,4,101722
lando-norris,6,5,102148
daniel-ricciardo,6,6,102204
sebastian-vettel,6,7,102165
pierre-gasly,6,8,102402
carlos-sainz-jr,6,9,103048
kevin-magnussen,6,10,103127
kimi-raikkonen,6,11,103322
nico-hulkenberg,6,12,103410
daniil-kvyat,6,13,103288
romain-grosjean,6,14,103218
antonio-giovinazzi,6,15,103713
lance-stroll,6,16,103743
sergio-perez,6,17,103907
george-russell,6,18,104009
robert-kubica,6,19,105802
alexander-albon,6,20,101410
valtteri-bottas,7,1,101578
max-verstappen,7,2,101796
lewis-hamilton,7,3,101368
charles-leclerc,7,4,102576
lando-norris,7,5,102774
daniel-ricciardo,7,6,102559
sebastian-vettel,7,7,102603
pierre-gasly,7,8,103118
carlos-sainz-jr,7,9,103306
kevin-magnussen,7,10,103773
kimi-raikkonen,7,11,103436
nico-hulkenberg,7,12,103341
daniil-kvyat,7,13,103136
romain-grosjean,7,14,104157
antonio-giovinazzi,7,15,104492
lance-stroll,7,16,104160
sergio-perez,7,17,103988
george-russell,7,18,104049
alexander-albon,7,19,101781
robert-kubica,7,20,106033
valtteri-bottas,8,1,101390
max-verstappen,8,2,101346
lewis-hamilton,8,3,101367
charles-leclerc,8,4,102048
daniel-ricciardo,8,5,102528
lando-norris,8,6,104128
pierre-gasly,8,7,103406
carlos-sainz-jr,8,8,103326
kevin-magnussen,8,9,104145
kimi-raikkonen,8,10,103950
nico-hulkenberg,8,11,103865
daniil-kvyat,8,12,103754
romain-grosjean,8,13,103737
antonio-giovinazzi,8,14,103994
lance-stroll,8,15,104176
sergio-perez,8,16,104276
alexander-albon,8,17,103037
george-russell,8,18,105502
robert-kubica,8,19,106003
valtteri-bottas,9,1,102044
max-verstappen,9,2,101983
lewis-hamilton,9,3,101614
charles-leclerc,9,4,102567
daniel-ricciardo,9,5,102900
lando-norris,9,6,103391
pierre-gasly,9,7,103190
carlos-sainz-jr,9,8,103010
kimi-raikkonen,9,9,102570
nico-hulkenberg,9,10,103093
kevin-magnussen,9,11,105470
daniil-kvyat,9,12,104088
romain-grosjean,9,13,104083
antonio-giovinazzi,9,14,103858
lance-stroll,9,15,104553
sergio-perez,9,16,104027
alexander-albon,9,17,101830
george-russell,9,18,104370
robert-kubica,9,19,106506
valtteri-bottas,10,1,100988
max-verstappen,10,2,101218
lewis-hamilton,10,3,101321
charles-leclerc,10,4,101953
daniel-ricciardo,10,5,102579
lando-norris,10,6,103095
pierre-gasly,10,7,103390
carlos-sainz-jr,10,8,103061
kimi-raikkonen,10,9,103376
nico-hulkenberg,10,10,103262
daniil-kvyat,10,11,103266
kevin-magnussen,10,12,105899
romain-grosjean,10,13,104421
antonio-giovinazzi,10,14,104200
sergio-perez,10,15,103221
alexander-albon,10,16,102007
george-russell,10,17,104490
robert-kubica,10,18,106208
lance-stroll,10,19,123698
valtteri-bottas,11,1,101535
max-verstappen,11,2,101851
lewis-hamilton,11,3,101761
charles-leclerc,11,4,102440
daniel-ricciardo,11,5,103280
lando-norris,11,6,103430
pierre-gasly,11,7,103658
carlos-sainz-jr,11,8,103493
kimi-raikkonen,11,9,103173
nico-hulkenberg,11,10,103463
daniil-kvyat,11,11,103550
kevin-magnussen,11,12,104700
romain-grosjean,11,13,104367
sergio-perez,11,14,103864
antonio-giovinazzi,11,15,105565
alexander-albon,11,16,104069
george-russell,11,17,104732
robert-kubica,11,18,106476
lance-stroll,11,19,103342
valtteri-bottas,12,1,101354
max-verstappen,12,2,101879
lewis-hamilton,12,3,101578
charles-leclerc,12,4,102593
daniel-ricciardo,12,5,102841
lando-norris,12,6,103161
pierre-gasly,12,7,103363
carlos-sainz-jr,12,8,103554
kimi-raikkonen,12,9,103179
nico-hulkenberg,12,10,103207
daniil-kvyat,12,11,103167
kevin-magnussen,12,12,104042
romain-grosjean,12,13,103789
sergio-perez,12,14,103218
alexander-albon,12,15,102601
antonio-giovinazzi,12,16,104838
george-russell,12,17,104492
lance-stroll,12,18,102415
robert-kubica,12,19,125768
valtteri-bottas,13,1,101069
max-verstappen,13,2,101800
lewis-hamilton,13,3,101424
charles-leclerc,13,4,102328
daniel-ricciardo,13,5,102790
lando-norris,13,6,102847
pierre-gasly,13,7,103042
carlos-sainz-jr,13,8,103350
kimi-raikkonen,13,9,102997
nico-hulkenberg,13,10,103307
daniil-kvyat,13,11,103237
kevin-magnussen,13,12,103938
sergio-perez,13,13,102915
romain-grosjean,13,14,105021
alexander-albon,13,15,103552
antonio-giovinazzi,13,16,104651
george-russell,13,17,104227
lance-stroll,13,18,102440
robert-kubica,13,19,103931
valtteri-bottas,14,1,101054
lewis-hamilton,14,2,100350
charles-leclerc,14,3,101866
max-verstappen,14,4,118764
daniel-ricciardo,14,5,102900
lando-norris,14,6,102722
pierre-gasly,14,7,102958
carlos-sainz-jr,14,8,102936
kimi-raikkonen,14,9,103091
nico-hulkenberg,14,10,102953
daniil-kvyat,14,11,103057
sergio-perez,14,12,102477
kevin-magnussen,14,13,105310
alexander-albon,14,14,103271
romain-grosjean,14,15,105248
antonio-giovinazzi,14,16,104428
george-russell,14,17,104064
lance-stroll,14,18,102360
robert-kubica,14,19,104991
lewis-hamilton,15,1,100647
charles-leclerc,15,2,102183
valtteri-bottas,15,3,119238
max-verstappen,15,4,99604
daniel-ricciardo,15,5,102648
lando-norris,15,6,102832
pierre-gasly,15,7,103024
carlos-sainz-jr,15,8,103413
kimi-raikkonen,15,9,103272
nico-hulkenberg,15,10,102952
daniil-kvyat,15,11,103146
sergio-perez,15,12,102670
alexander-albon,15,13,101765
kevin-magnussen,15,14,104965
romain-grosjean,15,15,104336
antonio-giovinazzi,15,16,104551
george-russell,15,17,104492
lance-stroll,15,18,102758
robert-kubica,15,19,105375
lewis-hamilton,16,1,101193
valtteri-bottas,16,2,99201
max-verstappen,16,3,100230
charles-leclerc,16,4,104010
daniel-ricciardo,16,5,102732
lando-norris,16,6,103079
pierre-gasly,16,7,103061
carlos-sainz-jr,16,8,103330
kimi-raikkonen,16,9,102974
nico-hulkenberg,16,10,103272
daniil-kvyat,16,11,102893
sergio-perez,16,12,102345
alexander-albon,16,13,102230
kevin-magnussen,16,14,103916
romain-grosjean,16,15,103906
antonio-giovinazzi,16,16,104295
george-russell,16,17,104456
lance-stroll,16,18,102524
robert-kubica,16,19,105076
lewis-hamilton,17,1,101183
valtteri-bottas,17,2,98943
max-verstappen,17,3,99798
charles-leclerc,17,4,102847
daniel-ricciardo,17,5,102660
lando-norris,17,6,102807
pierre-gasly,17,7,103213
carlos-sainz-jr,17,8,103408
kimi-raikkonen,17,9,103366
nico-hulkenberg,17,10,103091
daniil-kvyat,17,11,103274
sergio-perez,17,12,102502
alexander-albon,17,13,102384
kevin-magnussen,17,14,103759
romain-grosjean,17,15,103519
antonio-giovinazzi,17,16,105183
george-russell,17,17,104365
lance-stroll,17,18,103342
robert-kubica,17,19,104748
lewis-hamilton,18,1,100863
valtteri-bottas,18,2,98969
max-verstappen,18,3,99967
charles-leclerc,18,4,102450
daniel-ricciardo,18,5,102741
lando-norris,18,6,103427
pierre-gasly,18,7,103566
carlos-sainz-jr,18,8,103713
kimi-raikkonen,18,9,103841
nico-hulkenberg,18,10,103124
daniil-kvyat,18,11,103309
sergio-perez,18,12,102375
alexander-albon,18,13,102371
kevin-magnussen,18,14,103621
romain-grosjean,18,15,103337
lance-stroll,18,16,102494
george-russell,18,17,106719
antonio-giovinazzi,18,18,122799
robert-kubica,18,19,106101
lewis-hamilton,19,1,100986
valtteri-bottas,19,2,98916
max-verstappen,19,3,99835
charles-leclerc,19,4,102726
daniel-ricciardo,19,5,102724
lando-norris,19,6,103932
pierre-gasly,19,7,103938
nico-hulkenberg,19,8,102476
daniil-kvyat,19,9,103245
sergio-perez,19,10,102577
alexander-albon,19,11,102802
carlos-sainz-jr,19,12,120820
romain-grosjean,19,13,104767
kimi-raikkonen,19,14,120963
lance-stroll,19,15,102405
george-russell,19,16,104933
kevin-magnussen,19,17,122895
antonio-giovinazzi,19,18,101163
robert-kubica,19,19,106416
lewis-hamilton,20,1,101899
valtteri-bottas,20,2,100135
max-verstappen,20,3,100191
charles-leclerc,20,4,103822
daniel-ricciardo,20,5,103287
nico-hulkenberg,20,6,102951
daniil-kvyat,20,7,103954
sergio-perez,20,8,103025
alexander-albon,20,9,103470
lando-norris,20,10,122548
carlos-sainz-jr,20,11,101763
pierre-gasly,20,12,123185
kimi-raikkonen,20,13,102603
romain-grosjean,20,14,106845
lance-stroll,20,15,102042
george-russell,20,16,105349
kevin-magnussen,20,17,102776
antonio-giovinazzi,20,18,102198
robert-kubica,20,19,106516
lewis-hamilton,21,1,101446
valtteri-bottas,21,2,99927
max-verstappen,21,3,100746
daniel-ricciardo,21,4,103950
nico-hulkenberg,21,5,102797
charles-leclerc,21,6,126846
sergio-perez,21,7,103009
daniil-kvyat,21,8,105721
lando-norris,21,9,100378
carlos-sainz-jr,21,10,101094
pierre-gasly,21,11,101569
kimi-raikkonen,21,12,102057
romain-grosjean,21,13,104760
lance-stroll,21,14,102282
alexander-albon,21,15,120052
kevin-magnussen,21,16,101938
george-russell,21,17,106602
antonio-giovinazzi,21,18,104009
robert-kubica,21,19,104394
lewis-hamilton,22,1,101898
